id,point,pointname,pointtype,txt,boxid,buff1,buff2,buff3,reward1,rewardnum1,reward2,rewardnum2,reward3,rewardnum3,mapid,index_show
1,1,亚萨园,1,敌将城池亚萨园,0,0,0,0,91000001,20000,91000023,7,91000024,10,110102,1
2,2,瓦尔哈,1,敌将城池瓦尔哈,0,0,0,0,91000001,20000,91000023,7,91000024,10,110102,2
3,3,宝箱奖励,2,开宝箱的机会来了！,40001,0,0,0,0,0,0,0,0,0,0,0
4,4,星堡,1,敌将城池星堡,0,0,0,0,91000001,25000,91000023,8,91000024,10,110102,3
5,5,补给站,3,补给一下再上路。,0,10001,20001,30001,0,0,0,0,0,0,0,0
6,6,阿萨,1,敌将城池阿萨,0,0,0,0,91000001,25000,91000023,8,91000024,10,110102,4
7,7,宝箱奖励,2,开宝箱的机会来了！,40002,0,0,0,0,0,0,0,0,0,0,0
8,8,紫杉谷,1,敌将城池紫杉谷,0,0,0,0,91000001,30000,91000023,9,91000024,10,110102,5
9,9,补给站,3,补给一下再上路。,0,10001,20001,30001,0,0,0,0,0,0,0,0
10,10,巴里,1,敌将城池巴里,0,0,0,0,91000001,30000,91000023,9,91000024,10,110102,6
11,11,宝箱奖励,2,开宝箱的机会来了！,40003,0,0,0,0,0,0,0,0,0,0,0
12,12,铁森林,1,敌将城池铁森林,0,0,0,0,91000001,35000,91000023,10,91000024,10,110102,7
13,13,补给站,3,补给一下再上路。,0,10001,20001,30001,0,0,0,0,0,0,0,0
14,14,冰之波,1,敌将城池冰之波,0,0,0,0,91000001,35000,91000023,10,91000024,10,110102,8
15,15,宝箱奖励,2,开宝箱的机会来了！,40004,0,0,0,0,0,0,0,0,0,0,0
16,16,吉欧尔,1,敌将城池吉欧尔,0,0,0,0,91000001,40000,91000023,11,91000024,10,110102,9
17,17,补给站,3,补给一下再上路。,0,10001,20001,30001,0,0,0,0,0,0,0,0
18,18,格尼巴,1,敌将城池格尼巴,0,0,0,0,91000001,40000,91000023,11,91000024,10,110102,10
19,19,宝箱奖励,2,开宝箱的机会来了！,40005,0,0,0,0,0,0,0,0,0,0,0
20,20,金伦加,1,敌将城池金伦加,0,0,0,0,91000001,45000,91000023,12,91000024,10,110102,11
21,21,补给站,3,补给一下再上路。,0,10001,20001,30001,0,0,0,0,0,0,0,0
22,22,维穆尔,1,敌将城池维穆尔,0,0,0,0,91000001,45000,91000023,12,91000024,10,110102,12
23,23,宝箱奖励,2,开宝箱的机会来了！,40006,0,0,0,0,0,0,0,0,0,0,0
24,24,吉欧尔,1,敌将城池吉欧尔,0,0,0,0,91000001,50000,91000023,13,91000024,10,110102,13
25,25,补给站,3,补给一下再上路。,0,10001,20001,30001,0,0,0,0,0,0,0,0
26,26,希恩达,1,敌将城池希恩达,0,0,0,0,91000001,50000,91000023,13,91000024,10,110102,14
27,27,宝箱奖励,2,开宝箱的机会来了！,40007,0,0,0,0,0,0,0,0,0,0,0
