fate_story,fate_name,legend
101,帝国荣耀,      乌可诺三人的故事，要从一次聚会说起，那天是伯爵夫人的生日宴会，到场的都是贵族或者在联邦出名的人物，而乌可诺当时被任命为伯爵护卫长，贴身保护伯爵夫人，身为贵族的索德颂当然也参加了这场宴会。\n      在客人都到齐后，伯爵夫人邀请客人们欣赏她的新项链，宴会厅里的灯光暗下来，一束光照亮会厅中央，一副镶满珠宝的项链出现在众人眼前，天鹅绒的首饰垫将项链衬托得高贵迷人，客人们纷纷上前观看，就在大家认真欣赏项链时，光突然熄灭，宴会厅一片漆黑，人们惊慌地乱跑，而当宴会厅再度亮起来时，那条项链消失了！伯爵夫人伤心地哭了起来，伯爵一边安慰一边命令乌可诺出去寻找，而大厅外响起一阵枪声，乌可诺赶忙追了出去，看到的是正好巡逻至此的皇家火枪队，那声枪声正是当时身为火枪队队长的马斯克，马斯克说道：刚才我看到有一个黑影闪了过去本能的开了一枪，发生了什么？乌可诺拉上马斯克话也没说就追了上去，索德颂觉得好奇也跟了上去。\n      三人一路沿着线索来到了北城外的一块空地，正当他们四处张望时，那个黑影突然出现，笑着说道：一条项链，至于这么穷追不舍么？乌可诺不耐烦地说：快把项链交出来！黑影大声笑着说：我就从来没有被抓到过。随后一阵黑雾飘出，那个黑影消失得无影无踪，仿佛就是为了戏耍一下他们。\n      追捕失败的乌可诺和马斯克受到了伯爵夫人的呵斥，下令要将他们关起来，但善良的索德颂不停地请求夫人轻罚，哪曾想夫人连同索德颂一起将他们三人遣散到北部军营充军，索德颂的父母身份较低而当时的伯爵又颇有影响，只能忍气吞声看着儿子前往北境。\n      就这样原本不相识的三人被命运连在一起，开始了他们的北境生活，但他们的目标始终未变，那就是找到那个黑影，夺回自己的荣耀。
104,守护者联盟,神峰秘境的森林防线十分森严，不仅在每条防线上有驻守的守护者，防线之间也有巡逻者，但最关键的一环则是守护在土龙石像周围的几位，所有入侵者的最终目的就是土龙石像的自然魔力。\n      所以，诺伊德和阿尔密斯的任务十分艰巨，他们要在土龙石像周围巡逻同时还要时刻注意土龙石像。\n      这天，诺伊德和阿尔密斯像往常一样在周边森林巡逻，突然前面的树林中冲出来一只狼向他们扑来，诺伊德和阿尔密斯以为是发疯的野兽，于是准备释放魔法，可这只狼却从他们中间穿过扑倒了藏在他们身后发疯的野兽。\n      这时诺伊德才发现，这匹狼不是实体，他的下半身是像灵魂一样的，而看向连接着的方向，一个体型巨大的石头人走了出来，他身上覆盖着绿色的树叶看来并不是敌人，石头人默念咒语那头发疯的野兽平静下来，诺伊德和阿尔密斯十分吃惊，一直让他们头疼的野兽居然就这样被驯服了，诺伊德很开心向石头人发出邀请，希望他能加入守护者的阵营，但被石头人拒绝了，他说道：“不好意思，我一个人独来独往惯了，不喜欢和别人一起，守护森林是我应该做的，我叫格伦，以后有困难可以来找我，就这样再见。”说完便向森林里走去，留下不知所措的诺伊德和阿尔密斯，诺伊德摸着胡须说道：“看来是个喜欢自由的孩子，也罢，只要不是敌人就是朋友，他能驯服发疯的野兽的能力对以后都很有帮助。”阿尔密斯点了点头说：“我从他身上能感受到那种与动物心灵相通的力量，我也是靠土龙魔力才变成半兽人的，以后就由我来和他沟通吧，或许会少些障碍”诺伊德默许了。\n      就这样，神峰守护者的队伍又再次壮大，有了格伦的能力，他们更有信心对抗那躲在黑暗处的力量！
103,密林之眼,         丛林深处，一只失控的野狼正在四处游荡，它身上散发着黑雾，看来又是被巨石污染的生物。它十分警觉，四肢都绷紧了似乎随时能发动攻击，而蹲在草丛里的斐娜，更是小心翼翼的潜伏。\n         她知道被污染后的生物各方面的能力都会大幅提升，只要她现在稍微有一点动作或者呼吸稍有急促，都会被那家伙发现。她现在只能静静地等待，等待它松懈的时候，但运气似乎不太好，她的身后突然钻出一只松鼠，碰到草丛发出了声响。\n         那匹狼猛地回头，眼中闪着光，发现了伏在草丛里的斐娜，糟了！斐娜一惊，连忙向后一撤，狼扑了个空，紧接着两支不同颜色的箭从斐娜身后射出，击中了野狼的双眼，野狼哀嚎着四处乱撞。斐娜找准时机，一个步子冲上去，双刃如同两片树叶掠过野狼的身体，野狼瞬间倒在地上，身后的树林中温迪洛尔和塔尔兰达走了出来，像是两个大姐姐一般的在训斥斐娜：“你怎么又被提前发现了？”斐娜感到很委屈说道：“不怪我啊，是那只松···”\n         还没说完就被塔尔兰达打断，温迪洛尔一脸严肃地说道：“比起这个，最近发狂失去控制的动物越来越多，我看我们还是去告知下智者吧。”\n         于是三人向山上走去，而她们不知道的是，现在的麦杰卓根大陆已经充满危机。
106,圣焰之誓,         雷欧玛彻与弗里奥的相遇似乎是命运的决定，他们两人都属于半兽人，但经历的不同，让两人最开始并不是很看好对方，身为圣焰最强的战士，雷欧玛彻受到圣焰最高等的荣耀，得到族人们的敬重，在战场上战斗，捍卫荣耀。\n         但身为半兽人的弗里奥，虽然有着高超的战斗技巧，娴熟的回旋双斧，却被埋没在半兽人部落。对于弗里奥来说他的前半生都是生活在暗淡的世界里，没有色彩，整日与族人练习，与木桩对抗。\n         直到那天，雷欧玛彻的到来，他的世界开始有了光，他来到了圣焰部落，与雷欧玛彻并肩作战，在他们的配合下击败了雷鸣之城指挥官，一阵喧闹的欢呼声把弗里奥从回忆中拉了回来。\n         此刻他正站在高台上，下面是成群的圣焰人，对了，今天是他的圣焰仪式，他的战功得到了圣焰人的认可，这个仪式过后，他就是与雷欧玛彻一样的战士了！站在他旁边的雷欧玛彻似乎比他还要高兴，将他的手举起，喊道：“圣焰之心，部落之誓！”弗里奥还有所有圣焰人一起跟着喊道：“圣焰之心，部落之誓！”弗里奥打了个激灵，这才完全回过神，他已经是一名身负责任的战士了，于是用尽全力喊道：“圣焰之誓！”台下响起了如雷鸣般的欢呼与掌声!!!
108,遁入暗影,      距离雷鸣之城迁移过去了一年，雷鸣之城也迎来了一位神秘的客人，他拄着一根法杖，身披斗篷，向城内的雷鸣之城人询问法影和魔罗的下落。\n      尽管没有打听到什么有用的价值，但他对雷鸣之城的迁移还有族人的变化很是满意，看来雷鸣之城统治整个大陆指日可待。\n      他，露达尔，经过五十年的修行，就为了寻找能够让雷鸣之城强大的力量，而就在二十几年前，他发现了那块巨石，机缘巧合下利用受伤的法影和魔罗开启了法阵，唤醒了沉睡百年的力量，使他们三人都获得了超乎常理的能力，但考虑到他们的危险性，他只能将他们两人送回观察。\n      想不到的是这二十年后，雷鸣之城居然能有这么大的变化，正当露达尔感慨时，一个声音从他背后响起：“好久不见呀～老朋友。”露达尔转过身，法影和魔罗正站在他身后，三人不约而同地笑了起来，魔罗说道：“好了，我们要带你去见个人了，这可关乎到雷鸣之城未来。”\n      说完便带着露达尔朝雷鸣之城中心区域走去。
105,热血狩猎,      随着法拉的宣布，圣焰的狩猎大会开始了，猎手们都跃跃欲试想要在比赛上拿到好成绩，狩猎比赛的规则也很简单，谁在一天之内狩猎到的猎物最多谁就是这届的冠军，猎手们开始了狩猎，观众们也都欢呼鼓掌。\n      在赛场的一片树林中而正当卢克寻找猎物时，他的眼前突然出现了那张熟悉的面具，卢克本能地往后一跃，可还没站稳那个人又是一支长矛向卢克投来，这下怕是要遭殃了，但下一秒，那支长矛却从他耳边飞过，随后身后传来一声嚎叫，卢克转身一看一只眼里闪着光的棕熊被那支矛击中，正嗷嗷地叫。\n      那个面具人快步走到卢克身边说道：“还愣着干什么，想成它的晚餐么。”卢克这才回过神来虽然他不清楚这个人为什么要帮他，但眼前这个奇怪的棕熊才是最需要解决的，两人迅速分散开来，向棕熊发起攻击，连续的长矛和弓箭射向棕熊，它就如同一个活靶子一样，突然棕熊眼里的光变了，它的体型也瞬间增长了数倍，它开始反击，四脚着地向那个面具人冲了过去，但面具人似乎并不是十分敏捷，显然他躲不过棕熊的冲撞。\n      就在这时，一支刻满咒文的图腾出现在棕熊与面具人中间，那只图腾发出强烈的波动，将棕熊吸引住了，看到这个图腾卢克长舒一口气，大祭司法拉正站在远处，他的图腾能使人强制转移攻击目标，卢克和面具人抓准时机，又是漫天的长矛箭矢向棕熊射去，棕熊发疯似的摆脱控制用巨大的熊掌挥击，树木都被折断，扬起灰尘，渐渐的卢克二人没有了视野，等灰尘散去，棕熊已经消失不见，卢克很是气愤，他发誓一定要将那头棕熊抓住，守住他身为猎人的荣耀。
107,荣耀依在,      在几百年前，那时距古书记载的至暗时刻已经过去了五十年，四族人民将自己的领地重建完成了，于是各族开始为了巩固根基推举首领，怒涛联邦的首领任命为国王，圣焰的首领任命为酋长，神峰虽然没有等级制，但他们都会听从土龙选择的智者，而雷鸣之城，则是靠洛瑞克和萨瑟斯完成的统一，当时的雷鸣之城四分五裂，直到那一场战役。\n      雷鸣之城各派系为了争夺雷龙湖的使用权利，雷龙湖位于雷龙石像前，对于雷鸣之城人来说那就是圣湖，因为只有在湖中浸过的铁器才能锋利无比坚不可摧。\n      而洛瑞克与萨瑟斯带领着军队将雷鸣之城各派系击败，之后在洛瑞克的统一下，雷鸣之城再次团结起来，他们将洛瑞克奉为王，而他的贴身护卫萨瑟斯则成为了雷鸣之城军队指挥官，雷鸣之城也在洛瑞克的带领下逐渐繁荣，但好景不长，一次洛瑞克和萨瑟斯带领十几名士兵为了探寻大陆中央的巨石的秘密，但就快要到达时，他们遭到了圣焰的埋伏，突如其来的偷袭让洛瑞克他们毫无防备，士兵都被击败，而洛瑞克和萨瑟斯以二人之力也无力抵抗圣焰部队，最终倒在敌人的刀下。\n      雷鸣之城人将他们的遗体带回了领地用冰块封藏了起来，雷鸣之城人十分伤心，洛瑞克和萨瑟斯将他们团结在一起，为了雷鸣之城尽心尽力，而现在没有了他们雷鸣之城人不知该怎么办才好，这时有人提出将雷鸣之城划分成几个部分，各司其职，没有最高领袖，只为了族人，这个方法得到了大家的认同，就这样雷鸣之城在这样的制度下生活了几百年。\n      但他们不知道的是，那位王和他的护卫会在几百年后重新回到他们身边。
112,深林梦境,      尤格恩塔当初来到神峰领地时并不容易，虽然凭借自己优秀的治愈能力突破了第一道防线，但当他再次反应过来时，已经进入了斯卡萨的梦境。\n      在梦里，他被无限带入到以前的经历中，这让他痛苦万分，他虽然能治疗肉体上的伤痛，却无法磨灭心灵的创伤。\n      不知道重复了多少遍后，他突然醒了过来，大口呼吸着，突然发现斯卡萨正站在他旁边，问道：“我能看到你的梦，你只有这一个痛苦的回忆而且你并不是错误的一方，我很好奇你为什么要执意闯入神峰领地。”尤格恩塔叹了一口气说道：“这世上并没有对与错，我只是想加入你们，无论做什么，只希望能为守护大陆尽一份力。”斯卡萨笑了笑，他从来没有遇到过这么执着的人，他扶起尤格恩塔说道：“既然如此，我就带你去见智者吧，但是去是留，得看他的决定。”\n      说完两人一同向山顶走去。
110,探寻真相,      诺伯尔只身前往东部密林寻找消失多年的姐姐，但来到东部密林才知道，这森林实在太大了，该从何处找起呢？\n      诺伯尔决定先到密林最深处看看，听说有人曾在那里发现过人居住的痕迹，诺伯尔一直走到了晚上，森林中的光更暗，诺伯尔只能一边摸着树一边向前走，又不知道走了多久突然诺伯尔看到远处有亮光，说不定那里有人！\n      诺伯尔兴奋地跑过去，就在这时他的右边也出现了亮光，不对！是火焰弹！敏锐的诺伯尔一个侧步躲开了，可没等他站稳又飞来三个火焰弹，这下怕是要吃亏了，就在这时眼前闪出一个身影用剑弹开了三个火焰弹，诺伯尔一看居然是艾尔温！艾尔温没等他问就说道：“是老伯爵让我来的，他怕你有危险让我暗中保护你。”诺伯尔感觉很没面子说：“我还需要别人来保护？我···”还没说完又是三枚飞弹射过来被艾尔温一一弹开，诺伯尔闭上了嘴，那个袭击者也从暗处走了出来，看上去是个圣焰部落的女性，“怒涛联邦的？”那个女人打量着他们俩说道“虽然我已经不再插手两族的恩怨了，但这好歹是圣焰的领地，你们还是自觉点赶快离开。”诺伯尔见状说道：“不好意思，我只是来找我姐姐的，听说她曾经出现在这片森林里所以···”“你姐姐？怒涛联邦的人怎么可能有命一直呆在圣焰的领地里？”女人笑道，诺伯尔连忙说：“不会的，我姐姐是怒涛联邦最有名的大魔法师，没人能打败她。”那个女人听后一愣，看着诺伯尔说道：“有意思，我知道她，现在你只要告诉我一件事，怒涛联邦现在还是那套老土的制度么？”诺伯尔愣愣地点了点头，“哈哈哈，那你就见不到你姐姐啦！”女人笑着转身准备走，诺伯尔感觉自己被戏耍了一个步子冲上去想要给这个女人一点教训，这时一只巨大的火鸟从诺伯尔面前掠过挡下了诺伯尔那一剑。\n      艾尔温一把将诺伯尔拉了回来，远处传来一个声音：“佩蕾，我跟你说了多少次了怒涛联邦的人来直接赶走就行，不要和他们多说！”女人显然不太高兴头也不回地走进了密林，诺伯尔听到这个声音十分兴奋，这声音再熟悉不过了！他想要追过去却被艾尔温拦住：“老伯爵让我保护你，可接下来要是再往里走我不能确定自己是否有能力···”诺伯尔显然争不过她，那两人应该已经走远了，诺伯尔只能垂头丧气地离开，回到怒涛联邦。\n      这次虽然没找到姐姐，但至少姐姐在东部密林的消息是准确的，下次！下次一定要找到姐姐问明白她离开怒涛联邦的的原因！
102,父与女,      怒涛联邦每年都会进行一次狩猎活动，今年也不例外，国王艾斯壮格当然也带上了他的宝贝女儿爱奎尔，以往每次带女儿出来都是无比艰难，无论怎么劝说就是不愿意和艾斯壮格同行，但今年却不一样，自从女儿那次独自从森林里回来后就吵着要再去一趟森林，这次正好让女儿陪同狩猎顺便带她去森林。\n      狩猎队伍人数不多，士兵加上随行的贵族不到一百人，艾斯壮格不喜欢太多人跟着，他要尽情享受狩猎的乐趣。\n      到了狩猎地点，士兵贵族散开，艾斯壮格拿出弓箭却觉得有一丝不对劲，这块区域的动物都是比较警觉的，以前只要他们在做狩猎准备时，森林的动物都会还是往深处跑，不管如何都会有动静，可现在整片森林都静悄悄的，安静得有些吓人，他命令士兵戒备，一人向森林走去。\n      爱奎尔紧跟着父亲，就当他们走到森林入口时，一声怪异的叫声从森林里传来，紧接着一群人型的怪物冲了出来，他们有着人类的四肢却嘴里长满了尖牙，手中拿着木棍，斧头，弓箭，艾斯壮格立马护住爱奎尔，转头让士兵们防守，可已经晚了，从后面出现了一大波怪物已经袭击了队伍，虽然有精良的装备，但无奈人数不占优势，士兵们败下阵来，手无寸铁的贵族也只能被怪物打败。\n      短短的几分钟狩猎部队只剩下艾斯壮格和爱奎尔，而且从森林里还冲出来许多发疯的野兽，他们俩被一百多只极具攻击性的怪物围住，爱奎尔有些害怕，往父亲身边缩了缩，但艾斯壮格似乎并不慌张甚至充满自信，他集中力量将圣光之力灌注在周围，一个半圆的保护罩形成，怪物与野兽挥舞着利爪与武器向他们攻击却只打在保护罩上，成群的怪物扑了上去，拼命地想要破坏保护罩，可都无济于事，这时艾斯壮格对爱奎尔说道：“女儿，我的力量只能集中在防御上而且照这个情况并不能撑太久，所以现在需要你来反攻！”爱奎尔点了点头口中默念咒语，随后挥舞法杖，无数道圣光从天而降，周围的怪物瞬间化为灰烬，艾斯壮格收回保护罩看着爱奎尔高兴地笑了，说：“看来我们怒涛联邦是得到了龙的眷顾啊，能让我们拥有圣光的力量，哈哈哈哈哈！”爱奎尔白了父亲一眼说道：“有圣光有什么用，能找回我母亲么？”艾斯壮格一愣，有些不知所措，爱奎尔的母亲一直是父女俩之间的隔阂，但他无论如何都不能说，这关乎到怒涛联邦的稳定。\n      爱奎尔叹了口气说道：“算了，现在先回去吧，我们得问问水龙石像，这次偷袭是早有预谋的，背后一定有更大的阴谋。”艾斯壮格连忙笑着说：“嘿嘿，对对，我们回去，一定要弄清真相！”
