group,gid,gvalue,level,value,itemid,count,name
1,1,10000,0,1,71000002,3,玉佩
1,1,0,0,1,71000002,3,玉佩
1,1,0,0,1,71000002,3,玉佩
2,1,10000,0,1,71000002,4,玉佩
2,1,0,0,1,71000002,4,玉佩
2,1,0,0,1,71000002,4,玉佩
2,1,0,0,1,71000002,4,玉佩
3,1,10000,0,1,71000002,4,玉佩
3,1,0,0,1,71000002,5,玉佩
3,1,0,0,1,71000002,6,玉佩
3,1,0,0,1,71000003,1,古陶器
4,1,10000,0,4,71000002,6,玉佩
4,1,0,0,4,71000003,1,古陶器
4,1,0,0,1,71000003,2,古陶器
100,1,5000,0,1,79500101,1,墨羽头巾
100,1,0,0,1,79500102,1,赤羽项链
100,1,0,0,1,79500103,1,腾蛇手链
100,1,0,0,1,79500104,1,独灼耳环
100,1,0,0,1,79500105,1,玄晶虎皮衣
100,1,0,0,1,79500106,1,地煞戒
100,1,0,0,1,79500201,1,绮罗梦钗
100,1,0,0,1,79500202,1,凤翎项链
100,1,0,0,1,79500203,1,银月镯
100,1,0,0,1,79500204,1,舞风耳环
100,1,0,0,1,79500205,1,青花上衣
100,1,0,0,1,79500206,1,金虹羽扇
100,1,0,0,1,79500301,1,凤翎发簪
100,1,0,0,1,79500302,1,飞花项链
100,1,0,0,1,79500303,1,玄冰镯
100,1,0,0,1,79500304,1,赤霞耳环
100,1,0,0,1,79500305,1,月冷纱衣
100,1,0,0,1,79500306,1,天蝉羽扇
100,1,0,0,1,79500401,1,点星钗
100,1,0,0,1,79500402,1,苍羽项链
100,1,0,0,1,79500403,1,月裳铃
100,1,0,0,1,79500404,1,水灵耳环
100,1,0,0,1,79500405,1,丹霞仙衣
100,1,0,0,1,79500406,1,天幻羽扇
100,1,0,0,1,79500501,1,寒梅簪
100,1,0,0,1,79500502,1,白光项链
100,1,0,0,1,79500503,1,银光手环
100,1,0,0,1,79500504,1,紫光耳环
100,1,0,0,1,79500505,1,雪雾裳
100,1,0,0,1,79500506,1,日月琴
100,1,0,0,1,79500601,1,翼轸凤冠
100,1,0,0,1,79500602,1,白凤项链
100,1,0,0,1,79500603,1,凤羽手环
100,1,0,0,1,79500604,1,龙腾凰耳环
100,1,0,0,1,79500605,1,阳灵凤裳
100,1,0,0,1,79500606,1,飞凤琴
100,1,0,0,1,79500701,1,天舞钗
100,1,0,0,1,79500702,1,蝴蝶项链
100,1,0,0,1,79500703,1,水灵镯
100,1,0,0,1,79500704,1,紫羽耳环
100,1,0,0,1,79500705,1,凌霄裳
100,1,0,0,1,79500706,1,白月扇
100,1,0,0,1,79500801,1,满月钗
100,1,0,0,1,79500802,1,梅月项链
100,1,0,0,1,79500803,1,月卷手环
100,1,0,0,1,79500804,1,飞星耳环
100,1,0,0,1,79500805,1,燕影裳
100,1,0,0,1,79500806,1,玉女扇
100,2,1000,0,1,80500101,1,野性之魂
100,2,0,0,1,80500201,1,娇虎之魂
100,2,0,0,1,80500301,1,闭月之魂
100,2,0,0,1,80500401,1,才貌之魂
100,2,0,0,1,80500501,1,琴音之魂
100,2,0,0,1,80500601,1,洛神之魂
100,2,0,0,1,80500701,1,琉璃之魂
100,2,0,0,1,80500801,1,玲珑之魂
100,3,4000,0,1,80000011,4,灵光石
101,1,10000,0,50,81900001,5,兵符
101,1,0,0,35,81400601,1,招募令
101,1,0,0,5,81400602,1,名将招募令
101,1,0,0,10,84100001,1,一级战法书
102,1,10000,0,80,81900021,3,神器进阶石
102,1,0,0,20,50000004,1,神器宝箱钥匙
