ordernumber,taskid,taskname,level,checkpoint,pretask,uicontent,content,tasktypes,n1,n2,n3,n4,tasktypes2,itemid,numberofcycles,reward1,number1,reward2,number2,reward3,number3,reward4,number4,iconid,taskindexes,taskindexes2
1,101001,加入公会,1,110220,0,0,加入公会,124,1,0,0,0,0,0,0,91000002,10000,0,0,0,0,0,0,0,0,0
2,102001,获得紫色英雄,1,110201,0,0,获得1个紫色英雄,11,1,4,0,0,0,0,0,91000002,30000,91000044,20,91000041,5000,0,0,0,0,0
3,103001,通过异界迷宫,1,110412,0,0,通过地牢1层,61,1,1,0,0,0,0,0,91000051,5000,0,0,0,0,0,0,0,0,0
4,104001,通过异界迷宫,1,110412,0,0,通过地牢2层,61,1,2,0,0,0,0,0,91000051,10000,0,0,0,0,0,0,0,0,0
5,105001,通过异界迷宫,1,110412,0,0,通过地牢3层,61,1,3,0,0,0,0,0,91000051,15000,0,0,0,0,0,0,0,0,0
6,111001,领主成长,1,0,0,0,领主等级达到10级,1,10,0,0,0,0,0,0,91000002,10000,91000022,60,0,0,0,0,0,0,0
7,111002,领主成长,1,0,111001,0,领主等级达到20级,1,20,0,0,0,0,0,0,91000002,10000,91000022,80,0,0,0,0,0,0,0
8,111003,领主成长,1,0,111002,0,领主等级达到30级,1,30,0,0,0,0,0,0,91000002,10000,91000022,100,0,0,0,0,0,0,0
9,111004,领主成长,1,0,111003,0,领主等级达到40级,1,40,0,0,0,0,0,0,91000002,10000,91000022,150,0,0,0,0,0,0,0
10,111005,领主成长,1,0,111004,0,领主等级达到50级,1,50,0,0,0,0,0,0,91000002,20000,91000022,200,0,0,0,0,0,0,0
11,111006,领主成长,1,0,111005,0,领主等级达到60级,1,60,0,0,0,0,0,0,91000002,20000,91000022,350,0,0,0,0,0,0,0
12,111007,领主成长,1,0,111006,0,领主等级达到70级,1,70,0,0,0,0,0,0,91000002,20000,91000022,500,0,0,0,0,0,0,0
13,111008,领主成长,1,0,111007,0,领主等级达到80级,1,80,0,0,0,0,0,0,91000002,30000,91000022,700,0,0,0,0,0,0,0
14,111009,领主成长,1,0,111008,0,领主等级达到90级,1,90,0,0,0,0,0,0,91000002,30000,91000022,900,0,0,0,0,0,0,0
15,111010,领主成长,1,0,111009,0,领主等级达到100级,1,100,0,0,0,0,0,0,91000002,30000,91000022,1200,0,0,0,0,0,0,0
16,111011,领主成长,1,0,111010,0,领主等级达到110级,1,110,0,0,0,0,0,0,91000002,30000,91000022,1500,0,0,0,0,0,0,0
17,111012,领主成长,1,0,111011,0,领主等级达到120级,1,120,0,0,0,0,0,0,91000002,30000,91000022,1800,0,0,0,0,0,0,0
18,111013,领主成长,1,0,111012,0,领主等级达到130级,1,130,0,0,0,0,0,0,91000002,30000,91000022,2100,0,0,0,0,0,0,0
19,111014,领主成长,1,0,111013,0,领主等级达到140级,1,140,0,0,0,0,0,0,91000002,30000,91000022,2400,0,0,0,0,0,0,0
20,111015,领主成长,1,0,111014,0,领主等级达到150级,1,150,0,0,0,0,0,0,91000002,30000,91000022,2700,0,0,0,0,0,0,0
21,111016,领主成长,1,0,111015,0,领主等级达到160级,1,160,0,0,0,0,0,0,91000002,30000,91000022,3000,0,0,0,0,0,0,0
