taskid,sort,group,taskname,type,taskrank,awardtype,tasktypes,n1,n2,n3,n4,uicontent,content,teamexp,item1,itemnum1,value1,item2,itemnum2,value2,item3,itemnum3,value3,item4,itemnum4,value4,iconid,latertask
1001001,1,1,清剿匪徒I,1,普通,1,186,1,0,0,0,清剿侵犯帝国的匪徒,剧情副本通关 1次,0,10101001,1,100,10102001,1,100,10103001,1,100,10104001,1,100,renwu_01_010,1001002
1001002,2,1,清剿匪徒I,1,普通,1,186,1,0,0,0,清剿侵犯帝国的匪徒,剧情副本通关 1次,0,10101001,1,100,10102001,1,100,10103001,1,100,10104001,1,100,renwu_01_010,1001003
1001003,3,1,清剿匪徒I,1,普通,2,186,1,0,0,0,清剿侵犯帝国的匪徒,剧情副本通关 1次,0,21000001,1,100,0,0,0,0,0,0,0,0,0,renwu_01_010,0
1002001,1,2,珍品贸易I,1,普通,1,186,1,0,0,0,击败商路上的流寇,剧情副本通关 1次,0,10101001,1,100,10102001,1,100,10103001,1,100,10104001,1,100,renwu_01_010,1002002
1002002,2,2,珍品贸易I,1,普通,1,186,1,0,0,0,击败商路上的流寇,剧情副本通关 1次,0,10101001,1,100,10102001,1,100,10103001,1,100,10104001,1,100,renwu_01_010,1002003
1002003,3,2,珍品贸易I,1,普通,2,186,1,0,0,0,击败商路上的流寇,剧情副本通关 1次,0,21000002,1,100,0,0,0,0,0,0,0,0,0,renwu_01_010,0
1003001,1,3,税款征收I,1,普通,1,186,1,0,0,0,拘捕扰乱商人经营的流氓,剧情副本通关 1次,0,10101001,1,100,10102001,1,100,10103001,1,100,10104001,1,100,renwu_01_010,1003002
1003002,2,3,税款征收I,1,普通,1,186,1,0,0,0,拘捕扰乱商人经营的流氓,剧情副本通关 1次,0,10101001,1,100,10102001,1,100,10103001,1,100,10104001,1,100,renwu_01_010,1003003
1003003,3,3,税款征收I,1,普通,2,186,1,0,0,0,拘捕扰乱商人经营的流氓,剧情副本通关 1次,0,21000003,1,100,0,0,0,0,0,0,0,0,0,renwu_01_010,0
1004001,1,4,招兵募马I,1,普通,1,2,202,0,0,0,响应王国号召，帮助募兵,向王国提交,0,10101001,1,100,10102001,1,100,10103001,1,100,10104001,1,100,renwu_01_010,1004002
