id,description,maintype,subtype,opacity,scene_tag,open_touch,reset_id,back_id,next_id,open_name,open_event,open_event1,open_subui,ui_name,node_name,btn_event1,btn_event2,special_event,special_eventfunc,delaytime,showfinger,fingertype,savenow,hide_node,story,pos,add_x,add_y,city_x,city_y,dec,jump_x,jump_y
1,选择主公,1,2,0,1,0,1,1,2,levelMapUI,0,0,createplayer,createplayer,"{""pan_main"",""btn_create""}","ui_mgr.openUI(""select_campUI"")",0,0,0,0,2,1,2,0,0,0,0,0,0,0,0,0,0
2,选择阵营,1,2,0,1,0,2,2,3,levelMapUI,0,0,select_campUI,select_campUI,"{""pan_main"",""btn_ok""}",0,0,0,0,0,2,1,2,0,0,0,0,0,0,0,0,0,0
3,阵营弹出框,1,2,0,1,0,4,4,4,select_camp_showUI,0,0,0,select_camp_showUI,this,"ui_mgr.openUI(""levelMapUI"")",0,0,0,0,2,1,2,0,0,0,0,0,0,0,0,0,0
4,点击第一章,1,1,0,1,1,4,4,5,levelMapUI,0,0,0,levelMapUI,"{""pan_main"",""movePanel"",""map"",""item1"",""guide_image""}",0,0,0,0,0.01,1,1,1,0,1010001,0,0,0,0,0,0,0,0
5,点击左上角 1-1 营救骑士,1,1,0,4,1,4,4,6,newChapterMainUI,0,0,0,newChapterMainUI,"{""pan_main"",""pan_mixin"",""bg""}",0,0,0,0,0,1,1,1,0,1010101,0,0,0,0,0,0,0,0
6,点击战斗（1-1),1,1,0,4,1,4,4,7,newChapterFightUI,0,0,0,newChapterFightUI,"{""pan_center_right"",""bg"",""pan_fight"",""btn_fight""}",0,0,0,0,0,1,1,1,0,1010201,0,0,0,0,0,0,0,0
7,第一次技能触发,1,1,0,4,1,4,4,8,0,0,0,0,fight_pvpUI,"{""pan_hero"",""item_1"",""item_hero"",""icon_hero""}",0,0,0,0,0,1,1,1,0,0,1,840,140,0,0,能量已经蓄满，可以施放大招了！烧焦他们！,0,0
8,战斗结算界面,1,2,0,4,0,9,9,10,fight_winUI,0,0,0,fight_winUI,this,0,0,0,0,0,2,1,2,0,0,0,0,0,0,0,0,0,0
9,点击第一章(掉线),1,1,0,1,1,9,9,10,levelMapUI,0,0,0,levelMapUI,"{""pan_main"",""movePanel"",""map"",""item1"",""guide_image""}",0,0,0,0,0.01,1,1,1,0,0,0,0,0,0,0,0,0,0
10,点击阵容,1,1,0,4,1,9,9,11,newChapterMainUI,0,0,0,newChapterMainUI,"{""pan_right_down"",""btn_list"",""btn_1""}",0,0,0,0,0,1,1,1,0,1010501,0,0,0,0,0,0,0,0
11,点击英雄,1,1,0,4,1,9,9,12,battle_arrayUI,0,0,0,battle_arrayUI,"{""pan_center"",""bg"",""hero_list"",""img_hero""}",0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
12,点击第一个星格,1,1,0,4,1,9,9,13,hero_systemUI,0,0,0,hero_systemUI,"{""pan_center_right"",""bg"",""skill_bg"",""icon_1""}",0,0,0,0,0.25,1,1,1,0,1010504,0,0,0,0,0,0,0,0
13,点击激活,1,1,0,4,1,9,9,14,hero_starUpUI,0,0,0,hero_starUpUI,"{""pan_main"",""btn_star""}","guide_mgr.doGuideOpenStep(""hero_systemUI"")",0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
14,点击返回,1,1,0,4,1,16,16,15,hero_systemUI,0,0,0,hero_systemUI,"{""pan_top_left"",""bg"",""btn_back""}","ui_mgr.openUI(""battle_arrayUI"")",0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
15,点击返回,1,1,0,4,1,16,16,17,battle_arrayUI,0,0,0,battle_arrayUI,"{""pan_top_left"",""img_bg"",""btn_back""}","ui_mgr.openUI(""newChapterMainUI"")",0,0,0,0.25,1,1,1,0,0,0,0,0,0,0,0,0,0
16,点击第一章(掉线),1,1,0,1,1,16,16,17,levelMapUI,0,0,0,levelMapUI,"{""pan_main"",""movePanel"",""map"",""item1"",""guide_image""}",0,0,0,0,0.01,1,1,1,0,0,0,0,0,0,0,0,0,0
17,点击左上角 1-2 精灵狐妖,1,1,0,4,1,16,16,18,newChapterMainUI,0,0,0,newChapterMainUI,"{""pan_main"",""pan_mixin"",""bg""}",0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
18,点击前往,1,1,0,4,1,16,16,19,newChapterFightUI,0,0,0,newChapterFightUI,"{""pan_center_right"",""bg"",""pan_fight"",""pan_tanpan"",""img_desc"",""btn_go""}",0,0,0,0,0,1,1,1,0,1020401,0,0,0,0,0,0,0,0
