id,name,level,png,pngname,npc,text,npctext,n1,x1,n2,x2,n3,x3,monster1,hp1,monster2,hp2,monster3,hp3,monster4,hp4,att1,item1,att2,item2,att3,item3
1,灾祸使者,820001,1007,灾祸使者,我是李达康，你打我我抓你！,为了GDP，必须努力发展建设！不说多至少要完成一个小目标，比如说1个亿！,绞杀敌军,91000002,10,91000025,80,0,0,8200001,10000000,0,0,0,0,0,0,200,80001,3000,80013,10000,80025
2,女伯爵,820002,4009,女伯爵,我是李达康，你打我我抓你！,为了GDP，必须努力发展建设！不说多至少要完成一个小目标，比如说1个亿！,绞杀敌军,91000002,10,91000025,85,0,0,8200002,20000000,0,0,0,0,0,0,200,80002,3000,80014,10000,80026
3,圣殿先锋,820003,2006,圣殿先锋,我是李达康，你打我我抓你！,为了GDP，必须努力发展建设！不说多至少要完成一个小目标，比如说1个亿！,绞杀敌军,91000002,10,91000025,90,0,0,8200003,30000000,0,0,0,0,0,0,200,80003,3000,80015,10000,80027
4,北岭之弓,820004,3012,北岭之弓,我是李达康，你打我我抓你！,为了GDP，必须努力发展建设！不说多至少要完成一个小目标，比如说1个亿！,绞杀敌军,91000002,20,91000025,95,0,0,8200004,40000000,0,0,0,0,0,0,200,80004,3000,80016,10000,80028
5,星界猎人,820005,4001,星界猎人,我是李达康，你打我我抓你！,为了GDP，必须努力发展建设！不说多至少要完成一个小目标，比如说1个亿！,绞杀敌军,91000002,20,91000025,100,0,0,8200005,50000000,0,0,0,0,0,0,200,80005,3000,80017,10000,80029
6,觅血屠夫,820006,3008,觅血屠夫,我是李达康，你打我我抓你！,为了GDP，必须努力发展建设！不说多至少要完成一个小目标，比如说1个亿！,绞杀敌军,91000002,20,91000025,105,0,0,8200006,60000000,0,0,0,0,0,0,200,80006,3000,80018,10000,80030
7,灵翼刺客,820007,1010,灵翼刺客,我是李达康，你打我我抓你！,为了GDP，必须努力发展建设！不说多至少要完成一个小目标，比如说1个亿！,绞杀敌军,91000002,30,91000025,110,0,0,8200007,70000000,0,0,0,0,0,0,200,80007,3000,80019,10000,80031
8,魅魔女王,820008,3003,魅魔女王,我是李达康，你打我我抓你！,为了GDP，必须努力发展建设！不说多至少要完成一个小目标，比如说1个亿！,绞杀敌军,91000002,30,91000025,115,0,0,8200008,80000000,0,0,0,0,0,0,200,80008,3000,80020,10000,80032
9,刀魂,820009,3005,刀魂,我是李达康，你打我我抓你！,为了GDP，必须努力发展建设！不说多至少要完成一个小目标，比如说1个亿！,绞杀敌军,91000002,30,91000025,120,0,0,8200009,100000000,0,0,0,0,0,0,200,80009,3000,80021,10000,80033
10,风暴之眼,820010,2008,风暴之眼,我是李达康，你打我我抓你！,为了GDP，必须努力发展建设！不说多至少要完成一个小目标，比如说1个亿！,绞杀敌军,91000002,40,91000025,125,0,0,8200010,120000000,0,0,0,0,0,0,200,80010,3000,80022,10000,80034
11,雷霆之王,820011,4002,雷霆之王,我是李达康，你打我我抓你！,为了GDP，必须努力发展建设！不说多至少要完成一个小目标，比如说1个亿！,绞杀敌军,91000002,40,91000025,130,0,0,8200011,160000000,0,0,0,0,0,0,200,80011,3000,80023,10000,80035
12,荒漠可汗,820012,2005,荒漠可汗,我是李达康，你打我我抓你！,为了GDP，必须努力发展建设！不说多至少要完成一个小目标，比如说1个亿！,绞杀敌军,91000002,40,91000025,135,0,0,8200012,200000000,0,0,0,0,0,0,200,80012,3000,80024,10000,80036
13,暮光骑士,820013,2001,暮光骑士,我是李达康，你打我我抓你！,为了GDP，必须努力发展建设！不说多至少要完成一个小目标，比如说1个亿！,绞杀敌军,91000002,50,91000025,140,0,0,8200013,300000000,0,0,0,0,0,0,200,82113,3000,82213,10000,82313
14,影之牙,820014,1011,影之牙,我是李达康，你打我我抓你！,为了GDP，必须努力发展建设！不说多至少要完成一个小目标，比如说1个亿！,绞杀敌军,91000002,50,91000025,145,0,0,8200014,400000000,0,0,0,0,0,0,200,82114,3000,82214,10000,82314
15,爆裂队长,820015,1005,爆裂队长,我是李达康，你打我我抓你！,为了GDP，必须努力发展建设！不说多至少要完成一个小目标，比如说1个亿！,绞杀敌军,91000002,50,91000025,150,0,0,8200015,600000000,0,0,0,0,0,0,200,82115,3000,82215,10000,82315
16,黑羽之箭,820016,3002,黑羽之箭,我是李达康，你打我我抓你！,为了GDP，必须努力发展建设！不说多至少要完成一个小目标，比如说1个亿！,绞杀敌军,91000002,60,91000025,155,0,0,8200016,1000000000,0,0,0,0,0,0,200,82116,3000,82216,10000,82316
17,原力法师,820017,2009,原力法师,我是李达康，你打我我抓你！,为了GDP，必须努力发展建设！不说多至少要完成一个小目标，比如说1个亿！,绞杀敌军,91000002,60,91000025,160,0,0,8200017,1500000000,0,0,0,0,0,0,200,82117,3000,82217,10000,82317
18,恶魔之拥,820018,3010,恶魔之拥,我是李达康，你打我我抓你！,为了GDP，必须努力发展建设！不说多至少要完成一个小目标，比如说1个亿！,绞杀敌军,91000002,60,91000025,165,0,0,8200018,2000000000,0,0,0,0,0,0,200,82118,3000,82218,10000,82318
19,复仇天使,820019,1003,复仇天使,我是李达康，你打我我抓你！,为了GDP，必须努力发展建设！不说多至少要完成一个小目标，比如说1个亿！,绞杀敌军,91000002,70,91000025,170,0,0,8200019,2100000000,0,0,0,0,0,0,200,82119,3000,82219,10000,82319
20,破誓者,820020,1004,破誓者,我是李达康，你打我我抓你！,为了GDP，必须努力发展建设！不说多至少要完成一个小目标，比如说1个亿！,绞杀敌军,91000002,70,91000025,175,0,0,8200020,2100000000,0,0,0,0,0,0,200,82120,3000,82220,10000,82320
