id,layers,lvmin,lvmax,hurtbase,reward
1,1,0,100,1000000,28
2,112,101,112,3000000,30
3,124,113,124,6000000,32
4,136,125,136,10000000,34
5,148,137,148,15000000,36
6,160,149,160,20000000,38
7,172,161,172,25000000,40
8,180,173,180,30000000,42
9,184,181,184,32000000,44
10,188,185,188,34000000,46
11,192,189,192,36000000,48
12,196,193,196,38000000,50
13,200,197,200,40000000,52
14,204,201,204,42000000,54
15,208,205,208,44000000,56
16,212,209,212,46000000,58
17,216,213,216,48000000,60
18,220,217,220,50000000,62
19,224,221,224,53000000,64
20,228,225,228,56000000,66
21,232,229,232,59000000,68
22,236,233,236,62000000,70
23,240,237,240,65000000,72
24,244,241,244,68000000,74
25,248,245,248,71000000,76
26,252,249,252,74000000,78
27,256,253,256,77000000,80
28,260,257,260,80000000,82
29,264,261,264,84000000,84
30,268,265,268,88000000,86
31,272,269,272,92000000,88
32,276,273,276,96000000,90
33,280,277,280,100000000,92
34,284,281,284,105000000,94
35,288,285,288,110000000,96
36,300,289,300,120000000,100
