lv,exp,changeexp,population,lively,changelively,elder,fearless,activelimit,guildexplimit,guildactivelimit,guildflag
1,3000,1,30,27000,1,2,3,100,3000,3000,4
2,24500,1,35,31500,1,2,3,100,3500,3500,5
3,60000,1,40,36000,1,2,4,100,4000,4000,6
4,157500,1,45,40500,1,2,4,100,4500,4500,7
5,300000,1,50,45000,1,3,5,100,5000,5000,8
6,495000,1,55,49500,1,3,5,100,5500,5500,9
7,720000,1,60,54000,1,3,6,100,6000,6000,10
8,975000,1,65,58500,1,3,6,100,6500,6500,10
9,1260000,1,70,63000,1,3,7,100,7000,7000,10
10,1575000,1,75,67500,1,4,7,100,7500,7500,10
11,1920000,1,80,72000,1,4,8,100,8000,8000,10
12,2295000,1,85,76500,1,4,8,100,8500,8500,10
13,2700000,1,90,81000,1,4,9,100,9000,9000,10
14,3135000,1,95,85500,1,4,9,100,9500,9500,10
15,3600000,1,100,90000,1,5,10,100,10000,10000,10
