id,goldyield,heroexpyield,expyield,powderyield,basicstime,basicsdrop1,basicsdrop2,basicsdrop3,basicsdrop4,basicsdrop5,basicsdrop6,basicsdrop7,basicsdrop8,basicsdrop9,basicsdrop10,basicsdrop11,basicsdrop12,basicsdrop13,basicsdrop14,basicsdrop15,seniortime,seniordrop1,seniordrop2,seniordrop3,seniordrop4,seniordrop5,seniordrop6,seniordrop7,seniordrop8,seniordrop9,seniordrop10,seniordrop11,seniordrop12,seniordrop13,seniordrop14,seniordrop15
1,66,18,6,0,600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100001,72,18,6,0,600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7200,10001,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100002,72,18,9,0,600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7200,10001,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100003,75,21,12,6,600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7200,10001,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100004,81,21,15,6,600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7200,10001,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100005,87,21,15,6,600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7200,10001,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100006,87,24,18,6,600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7200,10001,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100007,90,24,18,6,600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7200,10001,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100008,90,24,21,6,600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7200,10001,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100009,96,27,21,6,600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7200,10001,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100010,96,27,24,6,600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7200,10001,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100011,102,27,24,6,600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7200,10001,10002,0,0,0,0,0,0,0,0,0,0,0,0,0
100012,102,30,27,6,600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7200,10001,10002,0,0,0,0,0,0,0,0,0,0,0,0,0
100013,102,30,30,6,600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7200,10001,10002,0,0,0,0,0,0,0,0,0,0,0,0,0
100014,105,30,30,6,600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7200,10001,10002,0,0,0,0,0,0,0,0,0,0,0,0,0
100015,105,33,33,6,600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7200,10001,10002,0,0,0,0,0,0,0,0,0,0,0,0,0
100016,111,33,33,6,600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7200,10001,10002,0,0,0,0,0,0,0,0,0,0,0,0,0
100017,111,33,36,6,600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7200,10001,10002,0,0,0,0,0,0,0,0,0,0,0,0,0
100018,111,36,39,6,600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7200,10001,10002,0,0,0,0,0,0,0,0,0,0,0,0,0
100019,117,36,39,6,600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7200,10001,10002,0,0,0,0,0,0,0,0,0,0,0,0,0
100020,117,36,42,6,600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7200,10001,10002,0,0,0,0,0,0,0,0,0,0,0,0,0
100021,117,39,45,6,600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7200,10001,10002,0,0,0,0,0,0,0,0,0,0,0,0,0
100022,120,39,48,6,600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7200,10001,10002,0,0,0,0,0,0,0,0,0,0,0,0,0
100023,120,42,51,6,600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7200,10001,10002,0,0,0,0,0,0,0,0,0,0,0,0,0
100024,126,42,51,6,600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7200,10001,10002,0,0,0,0,0,0,0,0,0,0,0,0,0
100025,126,45,54,6,600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7200,10001,10002,0,0,0,0,0,0,0,0,0,0,0,0,0
100026,126,45,57,6,600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7200,10001,10002,0,0,0,0,0,0,0,0,0,0,0,0,0
100027,132,48,60,6,600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7200,10001,10002,0,0,0,0,0,0,0,0,0,0,0,0,0
100028,132,48,63,6,600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7200,10001,10002,0,0,0,0,0,0,0,0,0,0,0,0,0
100029,132,51,66,6,600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7200,10001,10002,0,0,0,0,0,0,0,0,0,0,0,0,0
100030,135,51,72,6,600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7200,10001,10002,0,0,0,0,0,0,0,0,0,0,0,0,0
100031,135,54,75,6,600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7200,10001,10002,0,0,0,0,0,0,0,0,0,0,0,0,0
100032,135,54,78,6,600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7200,10001,10002,0,0,0,0,0,0,0,0,0,0,0,0,0
100033,141,57,81,6,600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7200,10001,10002,0,0,0,0,0,0,0,0,0,0,0,0,0
100034,141,60,84,6,600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7200,10001,10002,0,0,0,0,0,0,0,0,0,0,0,0,0
100035,147,60,90,6,600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7200,10001,10002,0,0,0,0,0,0,0,0,0,0,0,0,0
100036,147,63,93,6,600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7200,10001,10002,0,0,0,0,0,0,0,0,0,0,0,0,0
100037,147,66,96,6,600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7200,10001,10002,0,0,0,0,0,0,0,0,0,0,0,0,0
100038,150,66,102,6,600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7200,10001,10002,10003,0,0,0,0,0,0,0,0,0,0,0,0
100039,150,69,105,6,600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7200,10001,10002,10003,0,0,0,0,0,0,0,0,0,0,0,0
100040,150,72,111,6,600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7200,10001,10002,10003,0,0,0,0,0,0,0,0,0,0,0,0
100041,156,75,114,6,600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7200,10001,10002,10003,0,0,0,0,0,0,0,0,0,0,0,0
100042,156,75,120,6,600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7200,10001,10002,10003,0,0,0,0,0,0,0,0,0,0,0,0
100043,156,78,126,6,600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7200,10001,10002,10003,0,0,0,0,0,0,0,0,0,0,0,0
100044,162,81,129,6,600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7200,10001,10002,10003,0,0,0,0,0,0,0,0,0,0,0,0
100045,162,84,135,6,600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7200,10001,10002,10003,0,0,0,0,0,0,0,0,0,0,0,0
100046,162,87,141,6,600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7200,10001,10002,10003,0,0,0,0,0,0,0,0,0,0,0,0
100047,165,90,147,6,600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7200,10001,10002,10003,0,0,0,0,0,0,0,0,0,0,0,0
100048,165,90,153,6,600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7200,10001,10002,10003,0,0,0,0,0,0,0,0,0,0,0,0
100049,171,93,159,6,600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7200,10001,10002,10003,0,0,0,0,0,0,0,0,0,0,0,0
100050,171,96,165,6,600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7200,10001,10002,10003,0,0,0,0,0,0,0,0,0,0,0,0
100051,171,99,171,6,600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7200,10001,10002,10003,0,0,0,0,0,0,0,0,0,0,0,0
100052,177,102,177,6,600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7200,10001,10002,10003,0,0,0,0,0,0,0,0,0,0,0,0
100053,177,105,183,6,600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7200,10001,10002,10003,0,0,0,0,0,0,0,0,0,0,0,0
100054,177,108,192,6,600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7200,10001,10002,10003,0,0,0,0,0,0,0,0,0,0,0,0
100055,180,111,198,6,600,20001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7200,10001,10002,10003,0,0,0,0,0,0,0,0,0,0,0,0
100056,180,114,204,6,600,20001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7200,10001,10002,10003,0,0,0,0,0,0,0,0,0,0,0,0
100057,180,117,213,6,600,20001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7200,10001,10002,10003,0,0,0,0,0,0,0,0,0,0,0,0
100058,186,120,219,6,600,20001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7200,10001,10002,10003,0,0,0,0,0,0,0,0,0,0,0,0
100059,186,123,228,6,600,20001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7200,10001,10002,10003,0,0,0,0,0,0,0,0,0,0,0,0
100060,192,126,234,6,600,20001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7200,10001,10002,10003,0,0,0,0,0,0,0,0,0,0,0,0
100061,192,129,243,6,600,20001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7200,10001,10002,10003,0,0,0,0,0,0,0,0,0,0,0,0
100062,192,132,252,6,600,20001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7200,10001,10002,10003,0,0,0,0,0,0,0,0,0,0,0,0
100063,198,135,261,6,600,20001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7200,10001,10002,10003,0,0,0,0,0,0,0,0,0,0,0,0
100064,198,138,267,6,600,20001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7200,10001,10002,10003,0,0,0,0,0,0,0,0,0,0,0,0
