heroid,heroname,normalattack,manualskill,awakenskill,smallskill,bigskill,attackround1,attackround2,attackround3,attackround4,attackround5,attackround6,attackround7,attackround8,attackround9,attackround10,attackround11,attackround12,attackround13,attackround14,attackround15,attackround16,attackround17,attackround18,attackround19,attackround20
1001,天命骑士,100100,100104,100104,100100,0,100103,100102,100101,100100,100100,100100,100103,100102,100101,100100,100100,100100:2|100103:4,100100:2|100102:4,100100:2|100101:4,100100,100100,100100,100100:2|100103:4,100100:2|100102:4,100100:2|100101:4
1002,水占巫女,100200,100204,100204,100200,0,100200,100201,100203,100200,100200,100201,100200,100200,100200,100200:2|100201:4,100200,100200:2|100203:4,100200,100200:2|100201:4,100200,100200,100200,100200:2|100201:4,100200,100200
1003,天谴毒师,100300,100304,100304,100300,0,100300,100302,100301,100300,100300,100300,100300,100300,100300:2|100301:4,100300,100300,100300,100300,100300:2|100302:4,100300,100300,100300,100300,100300,100300:2|100301:2
1004,漫游灾星,100400,100404,100404,100400,0,100402,100400,100401,100400,100402,100400,100401,100400,100402,100400,100401,100400,100402,100400,100401,100400,100402,100400,100401,100400
1005,不落之壁,100500,100504,100504,100500,0,100500,100502,100503,100501,100502,100500,100500,100500,100500,100500:2|100502:6,100500:2|100503:6,100500:2|100501:6,100500:2|100502:6,100500,100500,100500,100500:2|100502:2,100500:2|100503:2,100500:2|100501:2,100500:2|100502:2
1006,贵族之刃,100600,100604,100604,100600,0,100600,100601,100600,100600,100600,100600,100601,100600,100600,100600,100600:2|100601:2,100600,100600,100600:2|100601:2,100600,100600,100600:2|100601:2,100600,100600,100600:2|100601:2
1007,惩戒骑士,100700,100704,100704,100700,0,100701,100700,100700,100703,100701,100700,100700,100703,100701,100700,100700,100703,100701,100700,100700,100703,100701,100700,100700,100703
1008,仙铃信使,100800,100804,100804,100800,0,100801,100800,100800,100800,100801,100800,100800,100800,100800:2|100801:2,100800,100800:2|100801:8,100800,100800:4|100801:2,100800,100800,100800:2|100801:8,100800,100800,100800,100800
1009,绝影柔弓,100900,100904,100904,100900,0,100900,100900,100900,100900,100900,100900,100900,100900,100900,100900,100900,100900,100900,100900,100900,100900,100900,100900,100900,100900
1010,奇想学徒,101000,101004,101004,101000,0,101000,101001,101000,101002,101000,101001,101000,101002,101000,101000:2|101001:2,101000,101000:2|101002:2,101000,101000:2|101001:2,101000,101000:2|101002:2,101000,101000:2|101001:2,101000,101000:2|101002:2
1011,诸海之灾,101100,101104,101104,101100,0,101102,101101,101100,101102,101100,101100,101100,101102,101101,101100,101100,101100,101101:2|101102:2,101100,101100,101101,101100,101100:2|101102:2,101100,101100
1012,北境之锤,101200,101204,101204,101200,0,101200,101201,101200,101200,101200,101201,101200,101200,101200,101201,101200,101200,101200,101201,101200,101200,101200,101201,101200,101200
1013,剑咏吟游,101300,101304,101304,101300,0,101300,101300,101301,101300,101300,101300,101300,101301,101300,101300,101300,101300,101301,101300,101300,101300,101300,101301,101300,101300
1014,狩魔鹰眼,101400,101404,101404,101400,0,101400,101401,101400,101400,101401,101400,101400,101401,101400,101400,101401,101400,101400,101401,101400,101400,101401,101400,101400,101400:2|101401:2
1015,魔导女爵,101500,101504,101504,101500,0,101501,101500,101502,101500,101501,101500,101500,101500,101500:2|100501:8,101500,101500:2|101502:6,101500,101500:2|101501:6,101500,101500,101500:2|101501:6,101500:2|101501:6,101500,101500:2|101502:2,101500
1016,秘境修士,101600,101604,101604,101600,0,101600,101601,101600,101601,101600,101601,101600,101601,101600,101601,101600,101601,101600,101601,101600,101601,101600,101601,101600,101601
1017,秘境护卫,101700,101704,101704,101700,0,101700,101701,101700,101700,101700,101700,101701,101700,101700,101700,101700,101701,101700,101700,101700,101700,101701,101700,101700,101700
1018,关羽,101800,101804,101804,101800,0,101802,101801,101800,101800,101800,101800,101801,101800,101800,101800,101800,101801,101800,101800,101800,101800,101801,101800,101800,101800
2001,狂刃怒兽,200100,200104,200104,200100,0,200100,200101,200100,200100,200100,200100,200100,200100,200100,200101,200100,200100,200100,200100,200100,200100,200100,200100:2|200101:2,200100,200100
2002,熔炉铁皇,200200,200204,200204,200200,0,200200,200202,200200,200200,200200,200200,200202,200200,200200,200200,200200,200202,200200,200200,200200,200200,200202,200200,200200,200200
2003,燎原暗箭,200300,200304,200304,200300,0,200300,200300,200302,200303,200300,200300,200300,200300,200300,200302,200303,200300,200300,200300,200300,200300,200300:2|200302:6,200300:2|200303:6,200300,200300
2004,炎魂祭司,200400,200404,200404,200400,0,200400,200402,200403,200401,200400,200400,200400,200400:2|200402:6,200400:2|200401:2,200400,200400:2|200403:6,200400,200400:2|200401:2,200400:2|200402:2,200400,200400,200400,200400:2|200401:2,200400:2|200403:8,200400:2|200402:2
2005,独行骑手,200500,200504,200504,200500,0,200500,200501,200500,200501,200500,200501:4|200500:2,200500,200501:2|200500:2,200500,200501:4|200500:2,200500,200501:2|200500:2,200500,200501:4|200500:2,200500,200501:2|200500:2,200500,200501:4|200500:2,200500,200501:2|200500:2
2006,街头霸王,200600,200604,200604,200600,0,200600,200601,200600,200600,200600,200600,200601,200600,200600,200600,200600,200601,200600,200600,200600,200600,200601,200600,200600,200600
