valuetype,name,cname,text,type,show,fightingnum,queue,icon1
1,basicstr,生命值,英雄的基础属性，决定了英雄承受伤害的能力,1,1,0,1,0
2,basicagi,攻击力,英雄的基础属性，决定了英雄造成伤害的能力,1,1,0,2,0
3,basicint,防御力,英雄的基础属性，影响英雄承受物理或者魔法伤害的减伤程度,1,1,0,3,0
4,str,物理暴击,英雄物理攻击时出发暴击的概率，触发暴击后，将造成双倍伤害,0,1,0,4,0
5,agi,魔法暴击,英雄魔法攻击时出发暴击的概率，触发暴击后，将造成双倍伤害,0,1,0,5,0
6,int,暴击率,英雄攻击时触发暴击的概率，触发暴击后，将造成双倍伤害,0,1,0,6,0
7,hp,物理抗暴,受到物理攻击时，减少被暴击的几率,0,1,20,7,0
8,attack,魔法抗暴,受到魔法攻击时，减少被暴击的几率,0,1,100,8,0
9,armor,抗暴,受到攻击时，减少被暴击的几率,0,1,100,9,0
10,magic,物暴倍数,英雄物理攻击触发暴击后，造成伤害的倍数,0,1,50,10,0
11,res,法暴倍数,英雄魔法攻击触发暴击后，造成伤害的倍数,0,1,50,11,0
12,attackspeed,暴击倍数,英雄攻击触发暴击后，造成伤害的倍数,0,1,0,12,0
13,movespeed,物理暴击伤害减免,英雄被物理伤害暴击时，减少受到的暴击伤害,0,1,0,13,0
14,hit,魔法暴击伤害减免,英雄被魔法伤害暴击时，减少受到的暴击伤害,0,1,0,14,0
15,dodge,暴伤减免,英雄被伤害暴击时，减少受到的暴击伤害,0,1,0,15,0
16,block,物理穿透,物理攻击时候，无视目标防御力的减伤比例,0,1,0,16,0
17,phycrit,魔法穿透,魔法攻击时候，无视目标防御力的减伤比例,0,1,0,17,0
18,magiccrit,穿透,攻击时候，无视目标防御力的减伤比例,1,1,0,18,0
19,phycrittimes,命中,影响物理类英雄攻击的准确率，数值越高攻击准确率越高,1,1,0,19,0
20,armorbreak,闪避,影响英雄闪避物理类英雄攻击的成功率,1,1,0,20,0
21,magicbreak,急速,英雄英雄的攻击和施法频率与动作速度,1,1,0,21,0
22,vampire,移速,英雄的移动速度，速度越高，速率越快,1,1,0,22,0
23,heal,破击,攻击目标时候，减少目标格挡的几率,1,1,0,23,0
24,physicaldamage,格挡,增加格挡的几率（受到物理攻击时，N%几率减少50%受到的物理伤害）,1,1,0,24,0
25,magichurt,吸血,影响英雄攻击造成伤害后获得生命值恢复的能力，数值越高，恢复的生命越多,1,1,0,25,0
26,immunitydamage,治疗,提升英雄造成治疗效果时的治疗量,1,1,0,26,0
27,phychance,重伤,受到的治疗效果降低,1,1,0,27,0
28,magicchance,治愈,提升英雄受到治疗效果时的治疗量,1,1,0,28,0
29,blockchance,韧性,降低受到控制的时间,1,1,0,29,0
30,mentalattack,抵抗,抵抗控制效果的几率,1,1,100,30,0
31,mentaldefense,生命恢复,战斗中每秒恢复的生命值,1,1,100,31,0
32,plusdamage,能量恢复,战斗中每秒恢复的能量值,1,1,0,32,0
33,damagenearly,物理增伤,英雄物理攻击时，增加伤害结果的比例,0,1,0,33,0
34,damagefar,魔法增伤,英雄魔法攻击时，增加伤害结果的比例,0,1,0,34,0
35,critnearlyavoid,增伤率,英雄攻击时，增加伤害结果的比例,0,1,0,35,0
36,critfaravoid,物理减伤,英雄受到物理伤害时减伤的比例,0,1,0,36,0
37,broken,魔法减伤,英雄受到魔法伤害时减伤的比例,0,1,0,37,0
38,magictimes,减伤率,英雄受到伤害时减伤的比例,0,1,0,38,0
39,nearlypower,真实攻击,提高英雄造成的真实伤害能力,1,1,0,39,0
40,farpower,真实防御,影响英雄承受真实伤害的减伤程度,1,1,0,40,0
41,powerdamage,真伤加成,提高英雄造成的真实伤害能力的比例,0,1,0,41,0
42,nearlypowerbreaks,真伤减免,影响英雄承受真实伤害的减伤程度的比例,0,1,0,42,0
99,fightpower,战斗力,用于计算战斗力的数值,0,0,0,43,0
