buffid,buffname,bufftype,timebase,timeadd,takeeffect,takeeffectnum,overlapnum,limitbuff,cleanbuff,benefit,effectid,effecttype1,effectbase1,effectadd1,effecttype2,effectbase2,effectadd2,effecttype3,effectbase3,effectadd3,effecttype4,effectbase4,effectadd4,buff_icon,trigger_buff,trigger_type,trigger_time,trigger_probability
100101,使自己和附近的友军提升30%攻击力,0,8000,0,0,0,1,0,0,1,10001,502,3000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100104,使敌人造成的伤害降低50%,0,8000,0,0,0,1,0,0,2,10017,35,-5000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100105,提升自己的攻击力和攻击速度,0,5000,0,0,0,1,0,0,1,10010404,502,2000,0,521,-1000,0,0,0,0,0,0,0,0,0,0,0,0
100106,降低受到的伤害30%,0,2000,0,0,0,1,0,0,1,10003,38,3000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100107,免疫控制,0,2000,0,0,0,1,0,0,1,0,4125,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100201,15%攻击15%暴击,1,10000,0,0,0,1,0,0,1,10007,502,1500,0,6,1500,0,0,0,0,0,0,0,0,0,0,0,0
100202,20%攻击20%暴击,1,10000,0,0,0,1,0,0,1,10007,502,2000,0,6,2000,0,0,0,0,0,0,0,0,0,0,0,0
100203,3%易伤,1,180000,0,0,0,8,0,0,2,0,38,-300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100204,降低50%命中,1,8000,0,0,0,1,0,0,2,10006,19,-5000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100301,能量恢复降低60%,0,6000,0,0,0,1,0,0,2,0,4501,-6000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100302,能量恢复降低60%,0,7500,0,0,0,1,0,0,2,0,4501,-6000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100303,移除战场,0,7000,0,0,0,1,0,0,2,0,4108,7,0,4115,7,0,0,0,0,0,0,0,0,0,0,0,0
100304,移除战场,0,8000,0,0,0,1,0,0,2,0,4108,8,0,4115,8,0,0,0,0,0,0,0,0,0,0,0,0
100305,移除战场,0,9000,0,0,0,1,0,0,2,0,4108,9,0,4115,9,0,0,0,0,0,0,0,0,0,0,0,0
100306,移除增益,2,5000,0,0,0,1,0,0,1,0,4126,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100307,移除减益,2,5000,0,0,0,1,0,0,1,0,4127,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100308,降低35%攻速,0,6000,0,0,0,1,0,0,2,10012,521,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100309,提升35%攻速,0,6000,0,0,0,1,0,0,1,10011,521,-2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100310,降低45%攻速,0,6000,0,0,0,1,0,0,2,10012,521,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100311,提升45%攻速,0,6000,0,0,0,1,0,0,1,10011,521,-2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100312,降低45%攻速,0,7500,0,0,0,1,0,0,2,10012,521,2500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100313,提升45%攻速,0,7500,0,0,0,1,0,0,1,10011,521,-2500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100401,锁定,0,180000,0,0,0,1,0,0,2,0,4112,180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100402,40%急速,0,180000,0,0,0,1,0,0,1,10040204,521,-2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100403,50%急速,0,180000,0,0,0,1,0,0,1,10040204,521,-2500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100404,60%急速,0,180000,0,0,0,1,0,0,1,10040204,521,-3000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100405,标记 15%额外伤害,0,8000,0,0,0,1,0,0,2,10040404,38,-1500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100406,标记 20%额外伤害,0,10000,0,0,0,1,0,0,2,10040404,38,-2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100407,标记 20%额外伤害,0,12000,0,0,0,1,0,0,2,10040404,38,-2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100408,暴击提高,0,10000,0,0,0,1,0,0,1,10007,6,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100409,全体增伤,0,180000,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100501,全体500%攻击吸收盾,1,8000,0,0,0,1,0,0,1,10050401,4311,50000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100502,全体500%攻击吸收盾,1,10000,0,0,0,1,0,0,1,10050401,4311,50000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100503,每秒3%生命,1,10000,0,1,500,1,0,0,1,40010402,4012,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
