buffid,buffname,buffshow,bufftype,unlimited,ifrefresh,ifdispel,cancelway,amount,overlapnum,limitbuff,benefit,buff_value_type1,effect1,pro1,type1_1,type2_1,type3_1,type4_1,type5_1,type6_1,type7_1,type8_1,type9_1,type10_1,type11_1,type12_1,type13_1,buff_value_type2,effect2,pro2,type1_2,type2_2,type3_2,type4_2,effectid,effecttype1,effectbase1
1,冰冻,1,0,0,1,1,1,2,1,0,2,15,9,10000,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,晕眩,1,0,0,1,0,1,0,1,0,2,15,9,10000,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,10%减速,0,0,0,1,1,1,0,1,0,2,1,10,10000,4,-1000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,寒冰掌握,1,0,0,0,0,1,0,1,0,2,14,3,10000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,扛控,1,0,0,0,1,1,0,1,0,1,1,10,10000,8,1000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,免伤,1,0,0,0,1,1,0,1,0,1,1,10,10000,11,2000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,治疗,1,0,0,0,1,1,0,1,0,1,1,10,10000,13,3000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,破甲,1,0,0,0,1,1,0,1,0,2,1,10,10000,3,-3000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,海水滋养,1,0,0,1,1,1,0,1,0,1,1,10,10000,1,3000,1,0,0,0,0,0,0,0,0,0,0,1,10,10000,5,1000,0,0,0,0,0
10,格挡盾1,1,0,0,1,1,3,1,1,0,1,4,16,10000,3,10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,格挡盾2,1,0,0,1,1,3,1,1,0,1,4,16,10000,3,10000,0,0,0,0,0,0,0,0,0,0,0,1,10,10000,1,2000,0,0,0,0,0
12,格挡盾3,1,0,0,1,1,3,1,1,0,1,4,16,10000,3,10000,0,0,0,0,0,0,0,0,0,0,0,1,10,10000,1,3000,0,0,0,0,0
13,寒冰护甲,1,0,0,1,1,1,0,1,0,1,4,17,4000,1,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,嘲讽,1,0,0,1,1,1,1,1,0,2,4,22,10000,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,灼烧,1,2,0,1,1,1,1,99,0,2,15,1,10000,1,1500,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,沉默,1,0,0,1,1,4,1,1,0,2,15,9,10000,4,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,20%伤害烈焰护盾(不可被驱散）,1,0,0,1,0,1,1,1,0,1,5,18,10000,5,2000,203,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,流血,1,1,0,1,1,1,1,1,0,2,15,18,10000,1,1500,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,虚弱,1,0,0,1,0,1,1,1,0,2,1,9,10000,5,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,10%伤害烈焰护盾(不可被驱散）,1,0,0,1,0,1,1,1,0,1,5,18,10000,5,1000,203,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,15%伤害烈焰护盾(不可被驱散）,1,0,0,1,0,1,1,1,0,1,5,18,10000,5,1500,203,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,7%生命值伤害，烈焰灼烧,0,4,0,1,1,1,1,1,0,2,15,18,10000,2,700,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,法术反噬,1,0,0,1,1,1,1,1,0,2,23,39,10000,2,1,3,2000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,缠绕,1,0,0,1,0,1,0,1,0,2,1,9,10000,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,离间,1,0,0,1,1,1,1,1,0,2,15,9,10000,4,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,双生催眠印记-3,0,0,0,1,0,1,1,99,0,3,1,44,10000,27,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,催眠印记-给敌方,1,0,0,0,1,1,1,10,0,2,15,43,10000,27,3,5,0,0,0,0,0,0,0,0,0,0,15,35,10000,13000,13000,0,0,0,0,0
28,催眠印记-给自己3%,0,0,0,1,0,1,1,99,0,1,15,14,10000,1,300,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,双生催眠印记-1,0,0,0,1,0,1,1,99,0,3,1,44,10000,30,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,催眠印记-给敌方,1,0,0,0,1,1,1,10,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,催眠印记-给自己2%,0,0,0,1,0,1,1,99,0,1,15,14,10000,1,200,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,双生催眠印记-2,0,0,0,1,0,1,1,99,0,3,1,44,10000,30,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,混乱,1,0,0,1,1,1,1,1,0,2,1,9,10000,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,光明印记（魔法）,1,8,0,1,1,1,1,1,0,2,4,18,10000,5,1000,2,1000,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,光明印记（物理）,1,8,0,1,1,1,1,1,0,2,4,18,10000,5,1000,1,1000,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,封印,1,0,0,1,1,1,1,1,0,2,1,9,10000,6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,神域印记,1,0,0,1,1,1,1,1,0,1,1,10,10000,11,1500,0,0,0,0,0,0,0,0,0,0,0,1,10,10000,14,2500,0,0,0,0,0
38,神域印记-给自己,0,0,0,0,0,1,1,1,0,1,22,2,10000,40,99,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,双生-神域,0,0,0,0,0,1,1,1,0,1,1,44,10000,37,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
