id,hero_name,fullname,describe,itemid,occupation,tie,firststar,laststar,material_type,hero_main_skill1,needclass1,needstar1_1,needstar2_1,hero_main_skill2,needclass2,needstar1_2,needstar2_2,hero_main_skill3,needclass3,needstar1_3,needstar2_3,hero_main_skill4,needclass4,needstar1_4,needstar2_4,hero_main_skill5,needclass5,needstar1_5,needstar2_5,base_type1,base_value1,base_type2,base_value2,base_type3,base_value3,base_type4,base_value4,base_type5,base_value5,base_type6,base_value6,base_type7,base_value7,base_type8,base_value8,base_type9,base_value9,base_type10,base_value10,base_type11,base_value11,getsound,posesound,attacksound,gethitsound,deadsound,png,spine,size,growthtype1,growthvalue1,growthtype2,growthvalue2,growthtype3,growthvalue3,growthtype4,growthvalue4,growthtype5,growthvalue5,growthtype6,growthvalue6,growthtype7,growthvalue7,growthtype8,growthvalue8,icon,idel,run,death
3001,杰克,杰克,水系法师,11100001,3,1,1,1,0,11001001,0,0,0,11001011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10,2,100,3,1,4,50,6,15000,10,10000,0,0,0,0,0,0,0,0,0,0,Hero/3001_get,Hero/3001_pose,0,0,Hero/3001_die,bg_wujiangjiemian_01,Artbeijing_01,130,1,10,2,100,3,1,4,50,0,0,0,0,0,0,0,0,hero3001,0,0,0
3002,咕噜,咕噜,水系法师,11200001,3,1,2,2,0,12001001,0,0,0,12001011,0,0,0,12001021,1,0,0,0,0,0,0,0,0,0,0,1,20,2,200,3,2,4,60,6,15000,10,10000,0,0,0,0,0,0,0,0,0,0,Hero/3002_get,Hero/3002_pose,0,0,Hero/3002_die,bg_wujiangjiemian_02,Artbeijing_03,130,1,20,2,200,3,2,4,60,0,0,0,0,0,0,0,0,hero3002,0,0,0
3003,冰舞女,冰舞女,水系法师,11300001,3,1,3,3,0,13001001,0,0,0,13001011,0,0,0,13001021,1,0,0,0,0,0,0,0,0,0,0,1,30,2,300,3,3,4,70,6,15000,10,10000,0,0,0,0,0,0,0,0,0,0,Hero/3003_get,Hero/3003_pose,0,0,Hero/3003_die,bg_wujiangjiemian_01,Artbeijing_04,130,1,30,2,300,3,3,4,70,0,0,0,0,0,0,0,0,hero3003,0,0,0
3004,雪怪,雪怪,水系坦克,11300002,1,1,3,3,0,13002001,0,0,0,13002011,0,0,0,13002021,1,0,0,0,0,0,0,0,0,0,0,1,30,2,300,3,3,4,70,6,15000,10,10000,0,0,0,0,0,0,0,0,0,0,Hero/3004_get,Hero/3004_pose,0,0,Hero/3004_die,bg_wujiangjiemian_01,Artbeijing_05,130,1,30,2,300,3,3,4,70,0,0,0,0,0,0,0,0,hero3004,0,0,0
3005,泰夫努特,泰夫努特,水系法师,11400001,3,1,4,5,0,14001001,0,0,0,14001011,0,0,0,14001021,1,0,0,14001031,3,0,0,0,0,0,0,1,30,2,300,3,3,4,70,6,15000,10,10000,0,0,0,0,0,0,0,0,0,0,Hero/3005_get,Hero/3005_pose,0,0,Hero/3005_die,bg_wujiangjiemian_01,Artbeijing_05,130,1,30,2,300,3,3,4,70,0,0,0,0,0,0,0,0,hero3005,0,0,0
3006,塞壬,塞壬,水系法师,11400002,3,1,4,5,0,14002001,0,0,0,14002011,0,0,0,14002021,1,0,0,14002031,3,0,0,0,0,0,0,1,30,2,300,3,3,4,70,6,15000,10,10000,0,0,0,0,0,0,0,0,0,0,Hero/3006_get,Hero/3006_pose,0,0,Hero/3006_die,bg_wujiangjiemian_01,Artbeijing_04,130,1,30,2,300,3,3,4,70,0,0,0,0,0,0,0,0,hero3006,0,0,0
3007,蒂阿兹,蒂阿兹,水系坦克,11400003,1,1,4,5,0,14003001,0,0,0,14003011,0,0,0,14003021,1,0,0,14003031,3,0,0,0,0,0,0,1,30,2,300,3,3,4,70,6,15000,10,10000,0,0,0,0,0,0,0,0,0,0,Hero/3007_get,Hero/3007_pose,0,0,Hero/3007_die,bg_wujiangjiemian_01,Artbeijing_09,130,1,30,2,300,3,3,4,70,0,0,0,0,0,0,0,0,hero3007,0,0,0
3008,普罗透斯,普罗透斯,水系辅助,11400004,4,1,4,5,0,14004001,0,0,0,14004011,0,0,0,14004021,1,0,0,14004031,3,0,0,0,0,0,0,1,30,2,300,3,3,4,70,6,15000,10,10000,0,0,0,0,0,0,0,0,0,0,Hero/3008_get,Hero/3008_pose,0,0,Hero/3008_die,bg_wujiangjiemian_01,Artbeijing_02,130,1,30,2,300,3,3,4,70,0,0,0,0,0,0,0,0,hero3008,0,0,0
3009,利维坦,利维坦,水系辅助,11500001,4,1,5,9,11400001,15001001,0,0,0,15001011,0,6,7,15001021,1,6,8,15001031,3,6,9,0,0,6,10,1,30,2,300,3,3,4,70,6,15000,10,10000,0,0,0,0,0,0,0,0,0,0,Hero/3009_get,Hero/3009_pose,0,0,Hero/3009_die,bg_wujiangjiemian_02,Artbeijing_03,130,1,30,2,300,3,3,4,70,0,0,0,0,0,0,0,0,hero3009,0,0,0
3010,刻托,刻托,水系法师,11500002,3,1,5,11,11400002,15002001,0,0,0,15002011,0,6,7,15002021,1,6,8,15002031,3,6,9,15002041,5,6,10,1,30,2,300,3,3,4,70,6,15000,10,10000,0,0,0,0,0,0,0,0,0,0,Hero/3010_get,Hero/3010_pose,0,0,Hero/3010_die,bg_wujiangjiemian_01,Artbeijing_02,130,1,30,2,300,3,3,4,70,0,0,0,0,0,0,0,0,hero3010,0,0,0
3011,塞特斯,塞特斯,水系战士,11500003,2,1,5,11,11400003,15003001,0,0,0,15003011,0,6,7,15003021,1,6,8,15003031,3,6,9,15003041,5,6,10,1,30,2,300,3,3,4,70,6,15000,10,10000,0,0,0,0,0,0,0,0,0,0,Hero/3011_get,Hero/3011_pose,0,0,Hero/3011_die,bg_wujiangjiemian_01,Artbeijing_01,130,1,30,2,300,3,3,4,70,0,0,0,0,0,0,0,0,hero3011,0,0,0
3012,克拉肯,克拉肯,水系坦克,11500004,1,1,5,11,11400004,15004001,0,0,0,15004011,0,6,7,15004021,1,6,8,15004031,3,6,9,15004041,5,6,10,1,30,2,300,3,3,4,70,6,15000,10,10000,0,0,0,0,0,0,0,0,0,0,Hero/3012_get,Hero/3012_pose,0,0,Hero/3012_die,bg_wujiangjiemian_01,Artbeijing_04,130,1,30,2,300,3,3,4,70,0,0,0,0,0,0,0,0,hero3012,0,0,0
3013,温蒂妮,温蒂妮,水系法师,11500005,3,1,5,11,11400002,15005001,0,0,0,15005011,0,6,7,15005021,1,6,8,15005031,3,6,9,15005041,5,6,10,1,30,2,300,3,3,4,70,6,15000,10,10000,0,0,0,0,0,0,0,0,0,0,Hero/3011_get,Hero/3011_pose,0,0,Hero/3011_die,bg_wujiangjiemian_01,Artbeijing_01,130,1,30,2,300,3,3,4,70,0,0,0,0,0,0,0,0,hero3013,0,0,0
3014,卡拉森,卡拉森,水系辅助,11500006,4,1,5,11,11400003,15006001,0,0,0,15006011,0,6,7,15006021,1,6,8,15006031,3,6,9,15006041,5,6,10,1,30,2,300,3,3,4,70,6,15000,10,10000,0,0,0,0,0,0,0,0,0,0,Hero/3012_get,Hero/3012_pose,0,0,Hero/3012_die,bg_wujiangjiemian_01,Artbeijing_04,130,1,30,2,300,3,3,4,70,0,0,0,0,0,0,0,0,hero3014,0,0,0
1001,维京人,维京人,火系战士,12100001,2,2,1,1,0,21001001,0,0,0,21001011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,30,2,300,3,3,4,70,6,15000,10,10000,0,0,0,0,0,0,0,0,0,0,Hero/1002_get,Hero/1002_pose,0,0,Hero/1002_die,bg_wujiangjiemian_01,Artbeijing_02,130,1,30,2,300,3,3,4,70,0,0,0,0,0,0,0,0,hero1001,0,0,0
