id,ect1,ect2,ect3,ect4,ect5,ect6,ect7,ect8,ect9,ect10,ect11,ect12,ect13,ect14,ect15,ect16,ect17,ect18,ect19,ect20,ect21
1001,3333,120,10010101,10010201,10010301,10010401,10010402,10010404,0,0,0,0,0,0,0,0,0,0,0,0,0
1002,3333,120,10020104,100200,10020302,10020402,10020303,10020401,0,0,0,0,0,0,0,0,0,0,0,0,0
1003,3333,120,10030101,10030201,10030401,10030104,10030102,10030202,10030402,0,0,0,0,0,0,0,0,0,0,0,0
1004,3333,120,10040401,10040204,10040202,10040402,10040203,10040404,0,0,0,0,0,0,0,0,0,0,0,0,0
1005,3333,120,10050101,10050401,10050402,10050404,10050301,10050304,0,0,0,0,0,0,0,0,0,0,0,0,0
1006,3333,120,10060104,10060102,10060202,10060402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1007,3333,120,10070101,10070401,10070304,10070402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1008,3333,120,10080401,10080404,10080204,10080205,10080206,10080207,10080102,10080103,10080403,0,0,0,0,0,0,0,0,0,0
1009,3333,120,10090401,10090104,10090102,10090402,10090103,10090202,10090302,10090203,10090303,0,0,0,0,0,0,0,0,0,0
1010,3333,120,10100404,10100405,10100101,10100102,10100103,10100104,0,0,0,0,0,0,0,0,0,0,0,0,0
1011,3333,120,10110101,10110201,10110401,10110403,10110104,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1012,3333,120,10120101,10120401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1013,3333,120,10130101,10130401,10130102,10130402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1014,3333,120,10140101,10140401,10140102,10140402,101400,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1015,3333,120,10150101,10150401,10150102,10150402,10150103,10150403,10150404,10150204,0,0,0,0,0,0,0,0,0,0,0
1016,3333,120,10160101,10160401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1017,3333,120,10170101,10170401,10170104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1018,3333,120,10180101,10180401,10180402,10180204,10180205,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001,3333,120,20010101,20010401,20010304,20010402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002,3333,120,200200,20020101,20020201,20020202,20020401,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003,3333,120,20030101,20030301,20030401,20030204,20030202,20030103,20030203,20030201,0,0,0,0,0,0,0,0,0,0,0
2004,3333,120,20040101,20040103,20040401,20040402,20040102,20040204,20040202,20040302,20040304,0,0,0,0,0,0,0,0,0,0
2005,3333,120,20050101,20050102,20050401,20050402,20050403,20050404,20050405,20050406,20050303,0,0,0,0,0,0,0,0,0,0
2006,3333,120,20060401,20060101,20060303,20060102,20060304,20060305,20060306,0,0,0,0,0,0,0,0,0,0,0,0
2007,3333,120,20070101,20070301,20070401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008,3333,120,20080101,20080201,20080301,20080401,20080204,20080304,20080102,20080402,20080103,0,0,0,0,0,0,0,0,0,0
2009,3333,120,20090201,20090404,20090402,20090101,20090301,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,3333,120,20100101,20100201,20100202,20100401,20100402,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,3333,120,20110101,20110201,20110204,20110102,20110202,20110402,20110401,0,0,0,0,0,0,0,0,0,0,0,0
2012,3333,120,20120101,20120401,20120104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,3333,120,20130201,20130401,20130204,20130404,201300,20130103,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,3333,120,20140101,20140401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,3333,120,20150101,20150401,20150102,20150402,201500,20150403,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,3333,120,20160101,20160201,20160301,20160401,20160302,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3001,3333,120,30010101,30010301,30010304,30010102,30010402,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3002,3333,120,30020101,30020401,30020102,30020402,30020103,30020202,30020201,0,0,0,0,0,0,0,0,0,0,0,0
3003,3333,120,30030101,30030401,30030304,30030302,30030303,30030402,0,0,0,0,0,0,0,0,0,0,0,0,0
3004,3333,120,30040101,30040201,30040401,30040402,30040204,30040403,30040103,30040102,0,0,0,0,0,0,0,0,0,0,0
3005,3333,120,30050101,30050401,30050204,30050404,30050203,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3006,3333,120,30060101,30060201,30060401,30060102,30060202,30060402,30060403,30060103,0,0,0,0,0,0,0,0,0,0,0
