halo_id,halo_type,halo_life_cycle,halo_scope_type,halo_user_type,halo_scope0,halo_scope1,halo_effect_id,halo_buff1,halo_buff2,halo_buff3,effect_layer,halo_existence
3001,2,9000000,0,1,99999,0,0,830001,0,0,1,0
3002,1,9000000,0,1,99999,0,0,830001,0,0,1,0
3003,2,9000000,0,1,99999,0,0,0,0,0,1,0
3004,4,9000000,0,1,99999,0,0,0,0,0,1,0
3005,2,9000000,0,1,99999,0,0,0,0,0,1,0
3006,4,9000000,0,1,99999,0,0,0,0,0,1,0
3007,2,9000000,0,1,99999,0,0,0,0,0,1,0
3008,2,9000000,0,1,99999,0,0,0,0,0,1,0
3009,2,9000000,0,1,99999,0,0,0,0,0,1,0
3010,4,9000000,0,1,99999,0,0,0,0,0,1,0
20080310,4,25000,1,1,200,283,0,200808,0,0,0,1
20080311,2,25000,1,1,200,283,20080304,200805,0,0,0,1
20080312,2,25000,1,1,200,283,20080304,200806,0,0,0,1
20080313,2,25000,1,1,200,283,20080304,200807,0,0,0,1
92500301,4,9000000,0,0,200,0,0,925031,0,0,1,0
92500302,4,9000000,0,0,200,0,0,925032,0,0,1,0
92500303,4,9000000,0,0,200,0,0,925033,0,0,1,0
92500501,2,9000000,0,0,200,0,50050205,500511,500504,0,1,0
92500502,2,9000000,0,0,200,0,50050205,500506,500504,0,1,0
70020410,4,5000,0,1,200,0,70020402,700209,700211,0,1,1
70020411,4,5000,0,1,200,0,70020402,700209,700212,0,1,1
70020412,4,5000,0,1,200,0,70020402,700209,700213,0,1,1
70020413,2,5000,0,1,200,0,0,700210,0,0,1,1
70020414,4,5000,0,1,200,0,70020404,700214,0,0,0,1
92101801,2,9000000,0,0,200,0,10180205,101804,0,0,1,0
92101802,2,9000000,0,0,200,0,10180205,101804,0,0,1,0
60010410,4,5000,0,1,200,0,60010404,600101,0,0,1,1
60010411,4,5000,0,1,200,0,60010404,600101,600102,0,1,1
40150214,4,5000,0,1,200,0,40150202,401504,401511,0,1,1
40150215,4,5000,0,1,200,0,40150202,401505,401511,0,1,1
40150216,4,5000,0,1,200,0,40150202,401505,401512,0,1,1
60070410,4,14000,0,1,99999,0,60070404,600701,0,0,1,1
60070411,4,14000,0,1,99999,0,60070404,600701,600702,0,1,1
60070412,4,16000,0,1,99999,0,60070404,600703,600702,0,1,1
80110302,4,5000,0,1,200,0,80110304,801106,801104,801108,1,1
