buynum,hmaxnum,buyneed,buyneednum
0,80,0,0
1,85,91000002,12000
2,90,91000002,12000
3,95,91000002,18000
4,100,91000002,18000
5,105,91000002,24000
6,110,91000002,24000
7,115,91000002,36000
8,120,91000002,36000
9,125,91000002,36000
10,130,91000002,36000
11,135,91000002,36000
12,140,91000002,36000
13,145,91000002,36000
14,150,91000002,36000
15,155,91000002,36000
16,160,91000002,36000
17,165,91000002,36000
18,170,91000002,36000
19,175,91000002,36000
20,180,91000002,36000
21,185,91000002,36000
22,190,91000002,36000
23,195,91000002,36000
24,200,91000002,36000
25,205,91000002,36000
26,210,91000002,36000
27,215,91000002,36000
28,220,91000002,36000
29,225,91000002,36000
30,230,91000002,36000
31,235,91000002,36000
32,240,91000002,36000
33,245,91000002,36000
34,250,91000002,36000
35,255,91000002,36000
36,260,91000002,36000
37,265,91000002,36000
38,270,91000002,36000
39,275,91000002,36000
40,280,91000002,36000
41,285,91000002,36000
42,290,91000002,36000
43,295,91000002,36000
44,300,91000002,36000
