skill_id,skill_name,type_show,skill_level,skill_levelmax,skill_china,skilllevel,skillcooldown,skill_description,skill_description2,skill_description3,skill_description4,skill_value_type1,skill_count1,skill_value_type2,skill_count2,skill_value_type3,skill_count3,skill_value_type4,skill_count4,skill_add_type,skill_add_value,skill_type,skill_sub_type,attack_before,attack_after,skill_range,skill_range1,skill_scope,skill_scope2,skill_object,skill_energy,buff_type1,buff_pro1,buff_type2,buff_pro2,buff_type3,buff_pro3,lua_name,skill_icon,storageeffect,sound,hit_sound,skill_sound,showpanel,blacktime,lighteffect,storageturn,army_effecttype_skill,army_effect_skill,army_effect_skill_speed,army_effect_hit,showtop_effect,attack_chant
10010001,普攻,物理,1,1,物理技能,1,0,0,0,0,0,1001,0,0,0,0,0,0,0,0,0,3,0,300,0,80,0,0,0,1,100,0,0,0,0,0,0,a10010001,100100,0,Weapon/Weapon_1001,0,Skill/VO_1001_weapon,0,0,0,0,0,0,0,0,0,0
10010101,冲刺,物理,1,4,物理技能,11,0,250,猛烈的冲锋使技能伤害增强至230%攻击力,猛烈的冲锋使技能伤害增强至240%攻击力，并击倒经过的敌人,猛烈的冲锋使伤害增强至260%攻击力,1001,10000,0,0,0,0,0,0,0,0,3,0,300,0,100,0,300,100,1,100,0,0,0,0,0,0,a10010101,100101,0,Skill/1001_skill01,0,0,0,0,0,0,0,0,0,0,4444,0
10010102,冲刺,物理,2,4,物理技能,21,0,艾尔温快速的向前方发起攻击，并返回，对击中的目标造成[1]200%[0]的攻击力的伤害,猛烈的冲锋使技能伤害增强至230%攻击力,猛烈的冲锋使技能伤害增强至240%攻击力，并击倒经过的敌人,猛烈的冲锋使伤害增强至260%攻击力,1001,13000,0,0,0,0,0,0,0,0,3,0,300,0,100,0,300,100,1,100,0,0,0,0,0,0,a10010102,100101,0,Skill/1001_skill01,0,0,0,0,0,0,0,0,0,0,4444,0
10010103,冲刺,物理,3,4,物理技能,101,0,艾尔温快速的向前方发起攻击，并返回，对击中的目标造成[1]200%[0]的攻击力的伤害,猛烈的冲锋使技能伤害增强至230%攻击力,猛烈的冲锋使技能伤害增强至240%攻击力，并击倒经过的敌人,猛烈的冲锋使伤害增强至260%攻击力,1001,14000,0,0,0,0,0,0,0,0,3,0,300,0,100,0,300,100,1,100,0,0,0,0,0,0,a10010103,100101,0,Skill/1001_skill01,0,0,0,0,0,0,0,0,0,0,4444,0
10010104,冲刺,物理,4,4,物理技能,181,0,艾尔温快速的向前方发起攻击，并返回，对击中的目标造成[1]200%[0]的攻击力的伤害,猛烈的冲锋使技能伤害增强至230%攻击力,猛烈的冲锋使技能伤害增强至240%攻击力，并击倒经过的敌人,猛烈的冲锋使伤害增强至260%攻击力,1001,16000,0,0,0,0,0,0,0,0,3,0,300,0,100,0,300,100,1,100,0,0,0,0,0,0,a10010104,100101,0,Skill/1001_skill01,0,0,0,0,0,0,0,0,0,0,4444,0
10010201,鼓舞士气,物理,1,3,物理技能,41,0,挥舞代表胜利的军旗，让自己和附近的友军增强[1]30%[0]攻击力，持续8秒,士气提升，令自己和友军恢复100点能量,强大的士气使能量恢复增强至150点,0,0,0,0,0,0,0,0,0,0,0,3,0,300,0,100,0,100,0,1,100,100101,10000,0,0,0,0,a10010201,100102,0,Skill/1001_skill02,0,0,0,0,0,0,0,0,0,0,4444,0
10010202,鼓舞士气,物理,2,3,物理技能,121,0,挥舞代表胜利的军旗，让自己和附近的友军增强[1]30%[0]攻击力，持续8秒,士气提升，令自己和友军恢复100点能量,强大的士气使能量恢复增强至150点,0,0,0,0,0,0,0,0,0,0,0,3,0,300,0,100,0,100,0,1,100,100101,10000,0,0,0,0,a10010202,100102,0,Skill/1001_skill02,0,0,0,0,0,0,0,0,0,0,4444,0
10010203,鼓舞士气,物理,3,3,物理技能,201,0,挥舞代表胜利的军旗，让自己和附近的友军增强[1]30%[0]攻击力，持续8秒,士气提升，令自己和友军恢复100点能量,强大的士气使能量恢复增强至150点,0,0,0,0,0,0,0,0,0,0,0,3,0,300,0,100,0,100,0,1,100,100101,10000,0,0,0,0,a10010203,100102,0,Skill/1001_skill02,0,0,0,0,0,0,0,0,0,0,4444,0
10010301,半月斩,物理,1,3,物理技能,61,0,艾尔温横扫巨剑对目标造成[1]200%[0]攻击力的伤害并使其造成的伤害降低[1]50%[0]，持续[1]8[0]秒,其他敌人也会被降低伤害,锋利的巨剑使伤害增强至250%攻击力,0,1001,10000,0,0,0,0,0,0,0,0,3,0,300,0,100,0,0,0,1,100,100104,10000,0,0,0,0,a10010301,100103,0,Skill/1001_skill03,0,0,0,0,0,0,0,0,0,0,0,0
10010302,半月斩,物理,2,3,物理技能,141,0,艾尔温横扫巨剑对目标造成[1]200%[0]攻击力的伤害并使其造成的伤害降低[1]50%[0]，持续[1]8[0]秒,其他敌人也会被降低伤害,锋利的巨剑使伤害增强至250%攻击力,0,1001,10000,0,0,0,0,0,0,0,0,3,0,300,0,100,0,0,0,1,100,100104,10000,0,0,0,0,a10010302,100103,0,Skill/1001_skill03,0,0,0,0,0,0,0,0,0,0,0,0
