skill_id,originalskill,skill_name,type_show,skill_level,consume_type1,consume_num1,consume_type2,consume_num2,rare,release_bout,count_down,upgrade,skill_china,skill_type,show,skill_description,buff_value_type,trigger_pro1,skill_effect1,finishjump1,unfinishjump1,trigger_pro2,skill_effect2,finishjump2,unfinishjump2,trigger_pro3,skill_effect3,finishjump3,unfinishjump3,trigger_pro4,skill_effect4,finishjump4,unfinishjump4,trigger_pro5,skill_effect5,finishjump5,unfinishjump5,trigger_pro6,skill_effect6,finishjump6,unfinishjump6,trigger_pro7,skill_effect7,finishjump7,unfinishjump7,trigger_pro8,skill_effect8,finishjump8,unfinishjump8,trigger_pro9,skill_effect9,finishjump9,unfinishjump9,trigger_pro10,skill_effect10,finishjump10,unfinishjump10,trigger_pro11,skill_effect11,finishjump11,unfinishjump11,trigger_pro12,skill_effect12,finishjump12,unfinishjump12,skill_add_type,skill_add_value,attack_before,attack_after,skill_range,skill_scope,skill_scope2,skill_object,skill_energy,lua_name,skill_icon,skill_sound,showpanel,blacktime,lighteffect,storageturn,showtop_effect,skill_Action_round
11001001,11001001,普攻,0,1,0,0,0,0,0,0,0,0,1,0,0,对目标进行一次物理上的打击,2,10000,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,slogo11001001,0,0,0,0,0,0,1|2|3
11001011,11001011,恶魔金币,主动技能,1,0,0,0,0,0,1,4,0,2,0,0,对敌方单体造成206%魔法伤害,2,10000,102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300,500,40,0,0,1,0,a100100,slogo11001011,0,0,0,0,0,0,0
12001001,12001001,普攻,0,1,0,0,0,0,0,0,0,0,1,0,0,对目标进行一次物理上的打击,2,10000,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,slogo12001001,0,0,0,0,0,0,0
12001011,12001011,冰箭,主动技能,1,0,0,0,0,0,1,4,0,2,0,0,对随机2个敌方单位造成104%魔法伤害，25%概率附加【冰冻】状态，持续1回合,2,10000,103,2,2,2500,104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300,500,0,0,0,0,0,a100101,slogo12001011,0,0,0,0,0,4444,0
12001021,12001021,胆小鬼,被动技能,1,0,0,0,0,0,0,0,0,3,0,0,攻击提升10%，生命提升5%,9,10000,10012,2,2,10000,10001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300,500,0,0,0,0,0,a100102,slogo12001021,0,0,0,0,0,4444,0
13001001,13001001,普攻,0,1,0,0,0,0,0,0,0,0,1,0,0,对目标进行一次物理上的打击,2,10000,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,slogo13001001,0,0,0,0,0,0,0
13001011,13001011,寒冰雨,主动技能,1,0,0,0,0,0,1,4,0,2,0,0,召唤寒冰雨，对敌方前中排造成117%魔法伤害，30%概率附加【冰冻】状态，持续1回合,2,10000,105,2,2,3000,104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300,500,0,0,0,0,0,p100103,slogo13001011,0,0,0,0,0,0,0
13001021,13001021,寒冰之力,被动技能,1,0,0,0,0,0,0,0,0,3,0,0,攻击提升10%，暴击提升6%,9,10000,10012,2,2,10000,10030,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300,500,500,100,0,1,0,a100104,slogo13001021,Hero/VO_1001_final,5,0,0,0,0,0
13002001,13002001,普攻,0,1,0,0,0,0,0,0,0,0,1,0,0,对目标进行一次物理上的打击,2,10000,101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,slogo13002001,0,0,0,0,0,0,0
13002011,13002011,冰雪冲撞,主动技能,1,0,0,0,0,0,1,4,0,2,0,0,冰雪覆盖全身进行冲撞，对前方单体造成187%物理伤害，提升自身15%免伤，持续2回合,2,10000,106,2,2,10000,107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300,500,40,0,0,1,0,a100200,slogo13002011,0,0,0,0,0,0,0
