id,dot,condition,judgedata,judgetarget,txt,item1,num1,item2,num2,item3,num3,base_type1,base_value1,base_type2,base_value2,base_type3,base_value3,base_type4,base_value4,base_type5,base_value5,base_type6,base_value6,base_type7,base_value7,base_type8,base_value8,base_type9,base_value9,base_type10,base_value10,base_type11,base_value11,return_type1,return_value1,return_type2,return_value2,return_type3,return_value3
1,100601,1,13,1006,黄月英达到红1星,12100601,300,30101000,20000,0,0,10,20000,99,2000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12100601,300,30101000,20000,0,0
2,100602,2,5,1006,黄月英所有神格达到5级,42100604,10,42000001,100,0,0,9,20000,99,2000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42100604,10,42000001,100,0,0
3,100801,1,13,1008,刘备达到红1星,12100801,300,30101000,20000,0,0,30,10000,99,2000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12100801,300,30101000,20000,0,0
4,100802,2,5,1008,刘备所有神格达到5级,42100804,10,42000001,100,0,0,29,10000,99,2000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42100804,10,42000001,100,0,0
5,200101,1,13,2001,关羽达到红1星,12200101,300,30101000,20000,0,0,8,10000,99,2000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12200101,300,30101000,20000,0,0
6,200102,2,5,2001,关羽所有神格达到5级,42200104,10,42000001,100,0,0,7,10000,99,2000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42200104,10,42000001,100,0,0
7,200301,1,13,2003,孙权达到红1星,12200301,300,30101000,20000,0,0,30,10000,99,2000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12200301,300,30101000,20000,0,0
8,200302,2,5,2003,孙权所有神格达到5级,42200304,10,42000001,100,0,0,29,10000,99,2000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42200304,10,42000001,100,0,0
9,200501,1,13,2005,张飞达到红1星,12200501,300,30101000,20000,0,0,8,10000,99,2000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12200501,300,30101000,20000,0,0
10,200502,2,5,2005,张飞所有神格达到5级,42200504,10,42000001,100,0,0,7,10000,99,2000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42200504,10,42000001,100,0,0
11,200701,1,13,2007,马超达到红1星,12200701,300,30101000,20000,0,0,10,20000,99,2000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12200701,300,30101000,20000,0,0
12,200702,2,5,2007,马超所有神格达到5级,42200704,10,42000001,100,0,0,9,20000,99,2000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42200704,10,42000001,100,0,0
13,200801,1,13,2008,袁绍达到红1星,12200801,300,30101000,20000,0,0,10,20000,99,2000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12200801,300,30101000,20000,0,0
