id,hero,name,dot1,icon1,dot2,icon2,dot3,icon3,dot4,icon4,dot5,icon5,index,base_type1,base_value1,base_type2,base_value2,base_type3,base_value3,base_type4,base_value4,base_type5,base_value5,base_type6,base_value6,base_type7,base_value7,base_type8,base_value8,base_type9,base_value9,base_type10,base_value10,base_type11,base_value11
1,1006,黄月英,100601,1,100602,1,900101,1,900203,1,900301,1,7,3,10,4,10,5,40,99,5000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1008,刘备,100801,1,100802,1,900102,1,900201,1,900301,1,7,3,10,4,20,5,10,99,5000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,2001,关羽,200101,1,200102,1,900103,1,900202,1,900401,1,7,3,20,4,10,5,10,99,5000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,2003,孙权,200301,1,200302,1,900102,1,900201,1,900301,1,7,3,10,4,20,5,10,99,5000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,2005,张飞,200501,1,200502,1,900103,1,900202,1,900401,1,7,3,20,4,10,5,10,99,5000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,2007,马超,200701,1,200702,1,900101,1,900203,1,900301,1,7,3,10,4,10,5,40,99,5000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,2008,袁绍,200801,1,200802,1,900101,1,900203,1,900301,1,7,3,10,4,10,5,40,99,5000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,2009,张角,200901,1,200902,1,900101,1,900203,1,900301,1,7,3,10,4,10,5,40,99,5000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,3002,黄忠,300201,1,300202,1,900103,1,900202,1,900401,1,7,3,20,4,10,5,10,99,5000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,3007,周泰,300701,1,300702,1,900103,1,900202,1,900401,1,7,3,20,4,10,5,10,99,5000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,3011,甄姬,301101,1,301102,1,900101,1,900203,1,900301,1,7,3,10,4,10,5,40,99,5000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,4002,陆逊,400201,1,400202,1,900101,1,900203,1,900301,1,7,3,10,4,10,5,40,99,5000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,4004,典韦,400401,1,400402,1,900103,1,900202,1,900401,1,7,3,20,4,10,5,10,99,5000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,4005,孙策,400501,1,400502,1,900103,1,900202,1,900401,1,7,3,20,4,10,5,10,99,5000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,4006,曹操,400601,1,400602,1,900102,1,900201,1,900401,1,7,3,10,4,20,5,10,99,5000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
