id,heroid,bresk,skillhave1,skillhave2,skillhave3,skillhave4,type1,value1
10010000,1001,1,10010401,0,0,0,99,10000
10010001,1001,11,10010401,10010101,0,0,99,20000
10010002,1001,21,10010401,10010102,0,0,99,30000
10010003,1001,41,10010401,10010102,10010201,0,99,40000
10010004,1001,61,10010401,10010102,10010201,10010301,99,50000
10010005,1001,81,10010402,10010102,10010201,10010301,99,60000
10010006,1001,101,10010402,10010103,10010201,10010301,99,70000
10010007,1001,121,10010402,10010103,10010202,10010301,99,80000
10010008,1001,141,10010402,10010103,10010202,10010302,99,90000
10010009,1001,161,10010403,10010103,10010202,10010302,99,100000
10010010,1001,181,10010403,10010104,10010202,10010302,99,110000
10010011,1001,201,10010403,10010104,10010203,10010302,99,120000
10010012,1001,221,10010403,10010104,10010203,10010303,99,130000
10010013,1001,600,10010403,10010104,10010203,10010303,99,140000
10020000,1002,1,10020401,0,0,0,99,10000
10020001,1002,11,10020401,10020101,0,0,99,20000
10020002,1002,21,10020401,10020102,0,0,99,30000
10020003,1002,41,10020401,10020102,10020201,0,99,40000
10020004,1002,61,10020401,10020102,10020201,10020301,99,50000
10020005,1002,81,10020402,10020102,10020201,10020301,99,60000
10020006,1002,101,10020402,10020103,10020201,10020301,99,70000
10020007,1002,121,10020402,10020103,10020202,10020301,99,80000
10020008,1002,141,10020402,10020103,10020202,10020302,99,90000
10020009,1002,161,10020403,10020103,10020202,10020302,99,100000
10020010,1002,181,10020403,10020104,10020202,10020302,99,110000
10020011,1002,201,10020403,10020104,10020203,10020302,99,120000
10020012,1002,221,10020403,10020104,10020203,10020303,99,130000
10020013,1002,600,10020403,10020104,10020203,10020303,99,140000
10030000,1003,1,10030401,0,0,0,99,10000
10030001,1003,11,10030401,10030101,0,0,99,20000
10030002,1003,21,10030401,10030102,0,0,99,30000
10030003,1003,41,10030401,10030102,10030201,0,99,40000
10030004,1003,61,10030401,10030102,10030201,10030301,99,50000
10030005,1003,81,10030402,10030102,10030201,10030301,99,60000
10030006,1003,101,10030402,10030103,10030201,10030301,99,70000
10030007,1003,121,10030402,10030103,10030202,10030301,99,80000
10030008,1003,141,10030402,10030103,10030202,10030302,99,90000
10030009,1003,161,10030403,10030103,10030202,10030302,99,100000
10030010,1003,181,10030403,10030104,10030202,10030302,99,110000
10030011,1003,201,10030403,10030104,10030203,10030302,99,120000
10030012,1003,221,10030403,10030104,10030203,10030303,99,130000
10030013,1003,600,10030403,10030104,10030203,10030303,99,140000
10040000,1004,1,10040401,0,0,0,99,10000
10040001,1004,11,10040401,10040101,0,0,99,20000
10040002,1004,21,10040401,10040102,0,0,99,30000
10040003,1004,41,10040401,10040102,10040201,0,99,40000
10040004,1004,61,10040401,10040102,10040201,10040301,99,50000
10040005,1004,81,10040402,10040102,10040201,10040301,99,60000
10040006,1004,101,10040402,10040103,10040201,10040301,99,70000
10040007,1004,121,10040402,10040103,10040202,10040301,99,80000
10040008,1004,141,10040402,10040103,10040202,10040302,99,90000
10040009,1004,161,10040403,10040103,10040202,10040302,99,100000
10040010,1004,181,10040403,10040104,10040202,10040302,99,110000
10040011,1004,201,10040403,10040104,10040203,10040302,99,120000
10040012,1004,221,10040403,10040104,10040203,10040303,99,130000
10040013,1004,600,10040403,10040104,10040203,10040303,99,140000
10050000,1005,1,10050401,0,0,0,99,10000
10050001,1005,11,10050401,10050101,0,0,99,20000
10050002,1005,21,10050401,10050102,0,0,99,30000
10050003,1005,41,10050401,10050102,10050201,0,99,40000
10050004,1005,61,10050401,10050102,10050201,10050301,99,50000
10050005,1005,81,10050402,10050102,10050201,10050301,99,60000
10050006,1005,101,10050402,10050103,10050201,10050301,99,70000
10050007,1005,121,10050402,10050103,10050202,10050301,99,80000
10050008,1005,141,10050402,10050103,10050202,10050302,99,90000
10050009,1005,161,10050403,10050103,10050202,10050302,99,100000
10050010,1005,181,10050403,10050104,10050202,10050302,99,110000
10050011,1005,201,10050403,10050104,10050203,10050302,99,120000
10050012,1005,221,10050403,10050104,10050203,10050303,99,130000
10050013,1005,600,10050403,10050104,10050203,10050303,99,140000
10060000,1006,1,10060401,0,0,0,99,10000
10060001,1006,11,10060401,10060101,0,0,99,20000
10060002,1006,21,10060401,10060102,0,0,99,30000
10060003,1006,41,10060401,10060102,10060201,0,99,40000
10060004,1006,61,10060401,10060102,10060201,10060301,99,50000
10060005,1006,81,10060402,10060102,10060201,10060301,99,60000
10060006,1006,101,10060402,10060103,10060201,10060301,99,70000
10060007,1006,121,10060402,10060103,10060202,10060301,99,80000
10060008,1006,141,10060402,10060103,10060202,10060302,99,90000
10060009,1006,161,10060403,10060103,10060202,10060302,99,100000
