base_id,treasurea_id,name,quality,stage_lv_show,stage_lv,cost_item1,cost_num1,cost_item2,cost_num2,attribute_type1,attribute1,attribute_type2,attribute2,attribute_type3,attribute3,attribute_type4,attribute4,extra_attributes_type1,extra_attribute_addvalue1,extra_attributes_type2,extra_attribute_addvalue2,announcement,icon,maxlevel
1,500101,王冠部件Ⅰ,6,0,0,79500101,1,0,0,1,0,0,0,0,0,99,0,0,0,0,0,0,elogo79500101,20
2,500101,王冠部件Ⅰ+1,6,1,1,79500101,4,80000011,3,1,400,0,0,0,0,99,12000,0,0,0,0,0,elogo79500101,20
3,500101,王冠部件Ⅰ+2,6,2,2,79500101,5,80000011,4,1,600,0,0,0,0,99,18000,0,0,0,0,0,elogo79500101,20
4,500101,王冠部件Ⅰ+3,6,3,3,79500101,7,80000011,5,1,800,0,0,0,0,99,24000,1,480,99,14400,0,elogo79500101,20
5,500101,王冠部件Ⅰ+4,6,4,4,79500101,9,80000011,7,1,1000,0,0,0,0,99,30000,0,0,0,0,0,elogo79500101,20
6,500101,王冠部件Ⅰ+5,6,5,5,79500101,12,80000011,9,1,1200,0,0,0,0,99,36000,0,0,0,0,0,elogo79500101,20
7,500101,王冠部件Ⅰ+6,6,6,6,79500101,15,80000011,12,1,1400,0,0,0,0,99,42000,0,0,0,0,0,elogo79500101,20
8,500101,王冠部件Ⅰ+7,6,7,7,79500101,20,80000011,15,1,1600,0,0,0,0,99,48000,0,0,0,0,0,elogo79500101,20
9,500101,王冠部件Ⅰ+8,6,8,8,79500101,26,80000011,19,1,2000,0,0,0,0,99,60000,0,0,0,0,0,elogo79500101,20
10,500101,王冠部件Ⅰ+9,6,9,9,79500101,34,80000011,25,1,2800,0,0,0,0,99,84000,0,0,0,0,0,elogo79500101,20
11,500101,王冠部件Ⅰ+10,6,10,10,79500101,44,80000011,33,1,3600,0,0,0,0,99,108000,0,0,0,0,0,elogo79500101,20
12,500101,王冠部件Ⅰ+11,6,11,11,79500101,57,80000011,43,1,4680,0,0,0,0,99,140400,1,2800,99,84000,0,elogo79500101,20
13,500101,王冠部件Ⅰ+12,6,12,12,79500101,74,80000011,56,1,6800,0,0,0,0,99,204000,0,0,0,0,0,elogo79500101,20
14,500101,王冠部件Ⅰ+13,6,13,13,79500101,96,80000011,72,1,9760,0,0,0,0,99,292800,0,0,0,0,0,elogo79500101,20
15,500101,王冠部件Ⅰ+14,6,14,14,79500101,125,80000011,94,1,13880,0,0,0,0,99,416400,0,0,0,0,0,elogo79500101,20
16,500101,王冠部件Ⅰ+15,6,15,15,79500101,163,80000011,122,1,19600,0,0,0,0,99,588000,0,0,0,0,1,elogo79500101,20
17,500101,王冠部件Ⅰ+16,6,16,16,79500101,212,80000011,159,1,27480,0,0,0,0,99,824400,0,0,0,0,1,elogo79500101,20
18,500101,王冠部件Ⅰ+17,6,17,17,79500101,275,80000011,206,1,38240,0,0,0,0,99,1147200,0,0,0,0,1,elogo79500101,20
19,500101,王冠部件Ⅰ+18,6,18,18,79500101,357,80000011,268,1,52960,0,0,0,0,99,1588800,0,0,0,0,1,elogo79500101,20
20,500101,王冠部件Ⅰ+19,6,19,19,79500101,465,80000011,349,1,72920,0,0,0,0,99,2187600,0,0,0,0,1,elogo79500101,20
21,500101,王冠部件Ⅰ+20,6,20,20,0,0,0,0,1,100000,0,0,0,0,99,3000000,1,60000,99,1800000,1,elogo79500101,20
22,500102,王冠部件Ⅱ,6,0,0,79500102,1,0,0,1,0,0,0,0,0,99,0,0,0,0,0,0,elogo79500102,20
23,500102,王冠部件Ⅱ+1,6,1,1,79500102,4,80000011,3,1,400,0,0,0,0,99,12000,0,0,0,0,0,elogo79500102,20
24,500102,王冠部件Ⅱ+2,6,2,2,79500102,5,80000011,4,1,600,0,0,0,0,99,18000,0,0,0,0,0,elogo79500102,20
25,500102,王冠部件Ⅱ+3,6,3,3,79500102,7,80000011,5,1,800,0,0,0,0,99,24000,1,480,99,14400,0,elogo79500102,20
26,500102,王冠部件Ⅱ+4,6,4,4,79500102,9,80000011,7,1,1000,0,0,0,0,99,30000,0,0,0,0,0,elogo79500102,20
27,500102,王冠部件Ⅱ+5,6,5,5,79500102,12,80000011,9,1,1200,0,0,0,0,99,36000,0,0,0,0,0,elogo79500102,20
28,500102,王冠部件Ⅱ+6,6,6,6,79500102,15,80000011,12,1,1400,0,0,0,0,99,42000,0,0,0,0,0,elogo79500102,20
29,500102,王冠部件Ⅱ+7,6,7,7,79500102,20,80000011,15,1,1600,0,0,0,0,99,48000,0,0,0,0,0,elogo79500102,20
30,500102,王冠部件Ⅱ+8,6,8,8,79500102,26,80000011,19,1,2000,0,0,0,0,99,60000,0,0,0,0,0,elogo79500102,20
31,500102,王冠部件Ⅱ+9,6,9,9,79500102,34,80000011,25,1,2800,0,0,0,0,99,84000,0,0,0,0,0,elogo79500102,20
32,500102,王冠部件Ⅱ+10,6,10,10,79500102,44,80000011,33,1,3600,0,0,0,0,99,108000,0,0,0,0,0,elogo79500102,20
33,500102,王冠部件Ⅱ+11,6,11,11,79500102,57,80000011,43,1,4680,0,0,0,0,99,140400,1,2800,99,84000,0,elogo79500102,20
34,500102,王冠部件Ⅱ+12,6,12,12,79500102,74,80000011,56,1,6800,0,0,0,0,99,204000,0,0,0,0,0,elogo79500102,20
35,500102,王冠部件Ⅱ+13,6,13,13,79500102,96,80000011,72,1,9760,0,0,0,0,99,292800,0,0,0,0,0,elogo79500102,20
36,500102,王冠部件Ⅱ+14,6,14,14,79500102,125,80000011,94,1,13880,0,0,0,0,99,416400,0,0,0,0,0,elogo79500102,20
37,500102,王冠部件Ⅱ+15,6,15,15,79500102,163,80000011,122,1,19600,0,0,0,0,99,588000,0,0,0,0,1,elogo79500102,20
38,500102,王冠部件Ⅱ+16,6,16,16,79500102,212,80000011,159,1,27480,0,0,0,0,99,824400,0,0,0,0,1,elogo79500102,20
39,500102,王冠部件Ⅱ+17,6,17,17,79500102,275,80000011,206,1,38240,0,0,0,0,99,1147200,0,0,0,0,1,elogo79500102,20
40,500102,王冠部件Ⅱ+18,6,18,18,79500102,357,80000011,268,1,52960,0,0,0,0,99,1588800,0,0,0,0,1,elogo79500102,20
41,500102,王冠部件Ⅱ+19,6,19,19,79500102,465,80000011,349,1,72920,0,0,0,0,99,2187600,0,0,0,0,1,elogo79500102,20
42,500102,王冠部件Ⅱ+20,6,20,20,0,0,0,0,1,100000,0,0,0,0,99,3000000,1,60000,99,1800000,1,elogo79500102,20
43,500103,王冠部件Ⅲ,6,0,0,79500103,1,0,0,1,0,0,0,0,0,99,0,0,0,0,0,0,elogo79500103,20
44,500103,王冠部件Ⅲ+1,6,1,1,79500103,4,80000011,3,1,400,0,0,0,0,99,12000,0,0,0,0,0,elogo79500103,20
45,500103,王冠部件Ⅲ+2,6,2,2,79500103,5,80000011,4,1,600,0,0,0,0,99,18000,0,0,0,0,0,elogo79500103,20
46,500103,王冠部件Ⅲ+3,6,3,3,79500103,7,80000011,5,1,800,0,0,0,0,99,24000,1,480,99,14400,0,elogo79500103,20
47,500103,王冠部件Ⅲ+4,6,4,4,79500103,9,80000011,7,1,1000,0,0,0,0,99,30000,0,0,0,0,0,elogo79500103,20
48,500103,王冠部件Ⅲ+5,6,5,5,79500103,12,80000011,9,1,1200,0,0,0,0,99,36000,0,0,0,0,0,elogo79500103,20
49,500103,王冠部件Ⅲ+6,6,6,6,79500103,15,80000011,12,1,1400,0,0,0,0,99,42000,0,0,0,0,0,elogo79500103,20
50,500103,王冠部件Ⅲ+7,6,7,7,79500103,20,80000011,15,1,1600,0,0,0,0,99,48000,0,0,0,0,0,elogo79500103,20
51,500103,王冠部件Ⅲ+8,6,8,8,79500103,26,80000011,19,1,2000,0,0,0,0,99,60000,0,0,0,0,0,elogo79500103,20
52,500103,王冠部件Ⅲ+9,6,9,9,79500103,34,80000011,25,1,2800,0,0,0,0,99,84000,0,0,0,0,0,elogo79500103,20
53,500103,王冠部件Ⅲ+10,6,10,10,79500103,44,80000011,33,1,3600,0,0,0,0,99,108000,0,0,0,0,0,elogo79500103,20
54,500103,王冠部件Ⅲ+11,6,11,11,79500103,57,80000011,43,1,4680,0,0,0,0,99,140400,1,2800,99,84000,0,elogo79500103,20
55,500103,王冠部件Ⅲ+12,6,12,12,79500103,74,80000011,56,1,6800,0,0,0,0,99,204000,0,0,0,0,0,elogo79500103,20
56,500103,王冠部件Ⅲ+13,6,13,13,79500103,96,80000011,72,1,9760,0,0,0,0,99,292800,0,0,0,0,0,elogo79500103,20
57,500103,王冠部件Ⅲ+14,6,14,14,79500103,125,80000011,94,1,13880,0,0,0,0,99,416400,0,0,0,0,0,elogo79500103,20
58,500103,王冠部件Ⅲ+15,6,15,15,79500103,163,80000011,122,1,19600,0,0,0,0,99,588000,0,0,0,0,1,elogo79500103,20
59,500103,王冠部件Ⅲ+16,6,16,16,79500103,212,80000011,159,1,27480,0,0,0,0,99,824400,0,0,0,0,1,elogo79500103,20
60,500103,王冠部件Ⅲ+17,6,17,17,79500103,275,80000011,206,1,38240,0,0,0,0,99,1147200,0,0,0,0,1,elogo79500103,20
61,500103,王冠部件Ⅲ+18,6,18,18,79500103,357,80000011,268,1,52960,0,0,0,0,99,1588800,0,0,0,0,1,elogo79500103,20
62,500103,王冠部件Ⅲ+19,6,19,19,79500103,465,80000011,349,1,72920,0,0,0,0,99,2187600,0,0,0,0,1,elogo79500103,20
63,500103,王冠部件Ⅲ+20,6,20,20,0,0,0,0,1,100000,0,0,0,0,99,3000000,1,60000,99,1800000,1,elogo79500103,20
64,500104,王冠部件Ⅳ,6,0,0,79500104,1,0,0,1,0,0,0,0,0,99,0,0,0,0,0,0,elogo79500104,20
65,500104,王冠部件Ⅳ+1,6,1,1,79500104,4,80000011,3,1,400,0,0,0,0,99,12000,0,0,0,0,0,elogo79500104,20
66,500104,王冠部件Ⅳ+2,6,2,2,79500104,5,80000011,4,1,600,0,0,0,0,99,18000,0,0,0,0,0,elogo79500104,20
67,500104,王冠部件Ⅳ+3,6,3,3,79500104,7,80000011,5,1,800,0,0,0,0,99,24000,1,480,99,14400,0,elogo79500104,20
68,500104,王冠部件Ⅳ+4,6,4,4,79500104,9,80000011,7,1,1000,0,0,0,0,99,30000,0,0,0,0,0,elogo79500104,20
69,500104,王冠部件Ⅳ+5,6,5,5,79500104,12,80000011,9,1,1200,0,0,0,0,99,36000,0,0,0,0,0,elogo79500104,20
70,500104,王冠部件Ⅳ+6,6,6,6,79500104,15,80000011,12,1,1400,0,0,0,0,99,42000,0,0,0,0,0,elogo79500104,20
71,500104,王冠部件Ⅳ+7,6,7,7,79500104,20,80000011,15,1,1600,0,0,0,0,99,48000,0,0,0,0,0,elogo79500104,20
72,500104,王冠部件Ⅳ+8,6,8,8,79500104,26,80000011,19,1,2000,0,0,0,0,99,60000,0,0,0,0,0,elogo79500104,20
73,500104,王冠部件Ⅳ+9,6,9,9,79500104,34,80000011,25,1,2800,0,0,0,0,99,84000,0,0,0,0,0,elogo79500104,20
74,500104,王冠部件Ⅳ+10,6,10,10,79500104,44,80000011,33,1,3600,0,0,0,0,99,108000,0,0,0,0,0,elogo79500104,20
75,500104,王冠部件Ⅳ+11,6,11,11,79500104,57,80000011,43,1,4680,0,0,0,0,99,140400,1,2800,99,84000,0,elogo79500104,20
76,500104,王冠部件Ⅳ+12,6,12,12,79500104,74,80000011,56,1,6800,0,0,0,0,99,204000,0,0,0,0,0,elogo79500104,20
77,500104,王冠部件Ⅳ+13,6,13,13,79500104,96,80000011,72,1,9760,0,0,0,0,99,292800,0,0,0,0,0,elogo79500104,20
78,500104,王冠部件Ⅳ+14,6,14,14,79500104,125,80000011,94,1,13880,0,0,0,0,99,416400,0,0,0,0,0,elogo79500104,20
79,500104,王冠部件Ⅳ+15,6,15,15,79500104,163,80000011,122,1,19600,0,0,0,0,99,588000,0,0,0,0,1,elogo79500104,20
80,500104,王冠部件Ⅳ+16,6,16,16,79500104,212,80000011,159,1,27480,0,0,0,0,99,824400,0,0,0,0,1,elogo79500104,20
81,500104,王冠部件Ⅳ+17,6,17,17,79500104,275,80000011,206,1,38240,0,0,0,0,99,1147200,0,0,0,0,1,elogo79500104,20
82,500104,王冠部件Ⅳ+18,6,18,18,79500104,357,80000011,268,1,52960,0,0,0,0,99,1588800,0,0,0,0,1,elogo79500104,20
83,500104,王冠部件Ⅳ+19,6,19,19,79500104,465,80000011,349,1,72920,0,0,0,0,99,2187600,0,0,0,0,1,elogo79500104,20
84,500104,王冠部件Ⅳ+20,6,20,20,0,0,0,0,1,100000,0,0,0,0,99,3000000,1,60000,99,1800000,1,elogo79500104,20
85,500105,王冠部件Ⅴ,6,0,0,79500105,1,0,0,1,0,0,0,0,0,99,0,0,0,0,0,0,elogo79500105,20
86,500105,王冠部件Ⅴ+1,6,1,1,79500105,4,80000011,3,1,400,0,0,0,0,99,12000,0,0,0,0,0,elogo79500105,20
87,500105,王冠部件Ⅴ+2,6,2,2,79500105,5,80000011,4,1,600,0,0,0,0,99,18000,0,0,0,0,0,elogo79500105,20
88,500105,王冠部件Ⅴ+3,6,3,3,79500105,7,80000011,5,1,800,0,0,0,0,99,24000,1,480,99,14400,0,elogo79500105,20
89,500105,王冠部件Ⅴ+4,6,4,4,79500105,9,80000011,7,1,1000,0,0,0,0,99,30000,0,0,0,0,0,elogo79500105,20
90,500105,王冠部件Ⅴ+5,6,5,5,79500105,12,80000011,9,1,1200,0,0,0,0,99,36000,0,0,0,0,0,elogo79500105,20
91,500105,王冠部件Ⅴ+6,6,6,6,79500105,15,80000011,12,1,1400,0,0,0,0,99,42000,0,0,0,0,0,elogo79500105,20
92,500105,王冠部件Ⅴ+7,6,7,7,79500105,20,80000011,15,1,1600,0,0,0,0,99,48000,0,0,0,0,0,elogo79500105,20
93,500105,王冠部件Ⅴ+8,6,8,8,79500105,26,80000011,19,1,2000,0,0,0,0,99,60000,0,0,0,0,0,elogo79500105,20
94,500105,王冠部件Ⅴ+9,6,9,9,79500105,34,80000011,25,1,2800,0,0,0,0,99,84000,0,0,0,0,0,elogo79500105,20
95,500105,王冠部件Ⅴ+10,6,10,10,79500105,44,80000011,33,1,3600,0,0,0,0,99,108000,0,0,0,0,0,elogo79500105,20
96,500105,王冠部件Ⅴ+11,6,11,11,79500105,57,80000011,43,1,4680,0,0,0,0,99,140400,1,2800,99,84000,0,elogo79500105,20
