count_type,access_type,max_count,count_cost,Get_props,base_value,parm1,parm2,luck_add,mcrate,mcrit1,mcrit2,mcrit3,city_value_group,description
1,0,10000,0,91000003,50,0,0,0,0,0,0,0,0,体力
1,1,1,25,91000003,50,0,0,0,0,0,0,0,0,体力
1,1,2,50,91000003,50,0,0,0,0,0,0,0,0,体力
1,1,4,50,91000003,50,0,0,0,0,0,0,0,0,体力
1,1,6,100,91000003,50,0,0,0,0,0,0,0,0,体力
1,1,8,150,91000003,50,0,0,0,0,0,0,0,0,体力
1,1,10,200,91000003,50,0,0,0,0,0,0,0,0,体力
1,1,12,300,91000003,50,0,0,0,0,0,0,0,0,体力
1,1,14,400,91000003,50,0,0,0,0,0,0,0,0,体力
1,1,16,500,91000003,50,0,0,0,0,0,0,0,0,体力
1,1,18,600,91000003,50,0,0,0,0,0,0,0,0,体力
1,1,20,700,91000003,50,0,0,0,0,0,0,0,0,体力
1,1,22,800,91000003,50,0,0,0,0,0,0,0,0,体力
1,1,24,900,91000003,50,0,0,0,0,0,0,0,0,体力
1,1,26,1000,91000003,50,0,0,0,0,0,0,0,0,体力
1,1,28,1100,91000003,50,0,0,0,0,0,0,0,0,体力
1,1,30,1200,91000003,50,0,0,0,0,0,0,0,0,体力
1,1,32,1300,91000003,50,0,0,0,0,0,0,0,0,体力
1,1,41,1400,91000003,50,0,0,0,0,0,0,0,0,体力
1,1,61,1500,91000003,50,0,0,0,0,0,0,0,0,体力
1,1,81,1600,91000003,50,0,0,0,0,0,0,0,0,体力
1,1,101,2000,91000003,50,0,0,0,0,0,0,0,0,体力
1,1,121,2000,91000003,50,0,0,0,0,0,0,0,0,体力
1,1,141,2500,91000003,50,0,0,0,0,0,0,0,0,体力
1,1,181,3000,91000003,50,0,0,0,0,0,0,0,0,体力
1,1,201,4000,91000003,50,0,0,0,0,0,0,0,0,体力
1,1,10000,5000,91000003,50,0,0,0,0,0,0,0,0,体力
2,0,10000,0,91000001,2000,0,0,3,8000,10,5,2,2,购买金币
2,1,1,20,91000001,2000,0,0,3,6500,10,5,2,2,购买金币
2,1,2,20,91000001,2000,0,0,3,6500,10,5,2,2,购买金币
2,1,3,25,91000001,2000,0,0,3,6500,10,5,2,2,购买金币
2,1,4,30,91000001,2000,0,0,3,6500,10,5,2,2,购买金币
2,1,5,35,91000001,2000,0,0,3,6500,10,5,2,2,购买金币
2,1,6,40,91000001,2000,0,0,3,6500,10,5,2,2,购买金币
2,1,7,45,91000001,2000,0,0,3,6500,10,5,2,2,购买金币
2,1,8,50,91000001,2000,0,0,3,6500,10,5,2,2,购买金币
2,1,10,55,91000001,2000,0,0,3,6500,10,5,2,2,购买金币
2,1,15,60,91000001,2000,0,0,3,6500,10,5,2,2,购买金币
2,1,20,65,91000001,2000,0,0,3,6500,10,5,2,2,购买金币
2,1,30,70,91000001,2000,0,0,3,6500,10,5,2,2,购买金币
2,1,50,80,91000001,2000,0,0,3,6500,10,5,2,2,购买金币
2,1,70,100,91000001,2000,0,0,3,6500,10,5,2,2,购买金币
2,1,90,150,91000001,2000,0,0,3,6500,10,5,2,2,购买金币
2,1,120,200,91000001,2000,0,0,3,6500,10,5,2,2,购买金币
2,1,150,300,91000001,2000,0,0,3,6500,10,5,2,2,购买金币
2,1,180,400,91000001,2000,0,0,3,6500,10,5,2,2,购买金币
2,1,210,500,91000001,2000,0,0,3,6500,10,5,2,2,购买金币
2,1,240,600,91000001,2000,0,0,3,6500,10,5,2,2,购买金币
2,1,270,800,91000001,2000,0,0,3,6500,10,5,2,2,购买金币
2,1,1000,1000,91000001,2000,0,0,3,6500,10,5,2,2,购买金币
2,1,10000,2000,91000001,2000,0,0,3,6500,10,5,2,2,购买金币
4,0,10000,0,91000020,10,0,0,0,0,0,0,0,0,行动力
4,1,1,60,91000020,10,0,0,0,0,0,0,0,0,行动力
4,1,2,60,91000020,10,0,0,0,0,0,0,0,0,行动力
4,1,3,75,91000020,10,0,0,0,0,0,0,0,0,行动力
4,1,4,90,91000020,10,0,0,0,0,0,0,0,0,行动力
4,1,5,105,91000020,10,0,0,0,0,0,0,0,0,行动力
4,1,6,120,91000020,10,0,0,0,0,0,0,0,0,行动力
4,1,11,150,91000020,10,0,0,0,0,0,0,0,0,行动力
4,1,21,300,91000020,10,0,0,0,0,0,0,0,0,行动力
4,1,31,450,91000020,10,0,0,0,0,0,0,0,0,行动力
4,1,41,600,91000020,10,0,0,0,0,0,0,0,0,行动力
4,1,61,800,91000020,10,0,0,0,0,0,0,0,0,行动力
4,1,81,1000,91000020,10,0,0,0,0,0,0,0,0,行动力
4,1,101,1200,91000020,10,0,0,0,0,0,0,0,0,行动力
4,1,121,1400,91000020,10,0,0,0,0,0,0,0,0,行动力
4,1,141,1600,91000020,10,0,0,0,0,0,0,0,0,行动力
4,1,181,1800,91000020,10,0,0,0,0,0,0,0,0,行动力
4,1,221,2000,91000020,10,0,0,0,0,0,0,0,0,行动力
4,1,301,2200,91000020,10,0,0,0,0,0,0,0,0,行动力
4,1,401,2400,91000020,10,0,0,0,0,0,0,0,0,行动力
4,1,501,2600,91000020,10,0,0,0,0,0,0,0,0,行动力
4,1,601,2800,91000020,10,0,0,0,0,0,0,0,0,行动力
4,1,1000,3000,91000020,10,0,0,0,0,0,0,0,0,行动力
3,0,10000,0,81900001,5,0,0,3,9000,10,5,2,0,兵符
3,1,1,20,81900001,5,0,0,3,9000,10,5,2,0,兵符
3,1,2,20,81900001,5,0,0,3,9000,10,5,2,0,兵符
3,1,3,25,81900001,5,0,0,3,9000,10,5,2,0,兵符
3,1,4,25,81900001,5,0,0,3,9000,10,5,2,0,兵符
3,1,5,30,81900001,5,0,0,3,9000,10,5,2,0,兵符
3,1,6,30,81900001,5,0,0,3,9000,10,5,2,0,兵符
3,1,7,40,81900001,5,0,0,3,9000,10,5,2,0,兵符
3,1,8,40,81900001,5,0,0,3,9000,10,5,2,0,兵符
3,1,9,50,81900001,5,0,0,3,9000,10,5,2,0,兵符
3,1,10,60,81900001,5,0,0,3,9000,10,5,2,0,兵符
3,1,11,70,81900001,5,0,0,3,9000,10,5,2,0,兵符
3,1,21,80,81900001,5,0,0,3,9000,10,5,2,0,兵符
3,1,31,100,81900001,5,0,0,3,9000,10,5,2,0,兵符
3,1,41,120,81900001,5,0,0,3,9000,10,5,2,0,兵符
3,1,51,140,81900001,5,0,0,3,9000,10,5,2,0,兵符
3,1,101,160,81900001,5,0,0,3,9000,10,5,2,0,兵符
3,1,151,200,81900001,5,0,0,3,9000,10,5,2,0,兵符
3,1,201,300,81900001,5,0,0,3,9000,10,5,2,0,兵符
3,1,301,400,81900001,5,0,0,3,9000,10,5,2,0,兵符
3,1,401,600,81900001,5,0,0,3,9000,10,5,2,0,兵符
3,1,501,800,81900001,5,0,0,3,9000,10,5,2,0,兵符
3,1,601,1000,81900001,5,0,0,3,9000,10,5,2,0,兵符
3,1,1000,1200,81900001,5,0,0,3,9000,10,5,2,0,兵符
3,1,10000,1500,81900001,5,0,0,3,9000,10,5,2,0,兵符
5,0,10000,0,50000002,100,0,10,3,6500,10,5,2,0,弓兵训练点
5,1,5,20,50000002,100,0,10,3,6500,10,5,2,0,弓兵训练点
5,1,10,30,50000002,100,0,10,3,6500,10,5,2,0,弓兵训练点
5,1,15,40,50000002,100,0,10,3,6500,10,5,2,0,弓兵训练点
5,1,10000,45,50000002,100,0,10,3,6500,10,5,2,0,弓兵训练点
6,0,10000,0,50000003,100,0,10,3,6500,10,5,2,0,骑兵训练点
6,1,5,20,50000003,100,0,10,3,6500,10,5,2,0,骑兵训练点
6,1,10,30,50000003,100,0,10,3,6500,10,5,2,0,骑兵训练点
6,1,15,40,50000003,100,0,10,3,6500,10,5,2,0,骑兵训练点
6,1,10000,45,50000003,100,0,10,3,6500,10,5,2,0,骑兵训练点
8,0,10000,0,88800043,1,0,0,3,9000,10,5,2,0,一级宝石袋
8,1,1,20,88800044,1,0,0,3,9000,10,5,2,0,一级宝石袋
8,1,2,20,88800045,1,0,0,3,9000,10,5,2,0,一级宝石袋
8,1,3,25,88800046,1,0,0,3,9000,10,5,2,0,一级宝石袋
8,1,4,25,88800047,1,0,0,3,9000,10,5,2,0,一级宝石袋
8,1,5,30,88800048,1,0,0,3,9000,10,5,2,0,一级宝石袋
8,1,6,30,88800049,1,0,0,3,9000,10,5,2,0,一级宝石袋
8,1,7,40,88800050,1,0,0,3,9000,10,5,2,0,一级宝石袋
8,1,8,40,88800051,1,0,0,3,9000,10,5,2,0,一级宝石袋
8,1,9,50,88800052,1,0,0,3,9000,10,5,2,0,一级宝石袋
8,1,10,60,88800053,1,0,0,3,9000,10,5,2,0,一级宝石袋
8,1,11,70,88800054,1,0,0,3,9000,10,5,2,0,一级宝石袋
8,1,21,80,88800055,1,0,0,3,9000,10,5,2,0,一级宝石袋
8,1,31,100,88800056,1,0,0,3,9000,10,5,2,0,一级宝石袋
8,1,41,120,88800057,1,0,0,3,9000,10,5,2,0,一级宝石袋
8,1,51,140,88800058,1,0,0,3,9000,10,5,2,0,一级宝石袋
8,1,101,160,88800059,1,0,0,3,9000,10,5,2,0,一级宝石袋
8,1,151,200,88800060,1,0,0,3,9000,10,5,2,0,一级宝石袋
8,1,201,300,88800061,1,0,0,3,9000,10,5,2,0,一级宝石袋
8,1,301,400,88800062,1,0,0,3,9000,10,5,2,0,一级宝石袋
8,1,401,600,88800063,1,0,0,3,9000,10,5,2,0,一级宝石袋
