id,attribute_list_group,index,weight,attribute_type1,attribute_valve1,attribute_type2,attribute_valve2
1,1,1,1,501,200,99,100000
2,1,2,1,502,200,99,100000
3,1,3,1,503,200,99,100000
4,1,4,1,6,200,99,100000
5,1,5,1,9,200,99,100000
6,1,6,1,19,200,99,100000
7,1,7,1,20,200,99,100000
8,1,8,1,35,200,99,100000
9,1,9,1,38,200,99,100000
10,1,10,1,23,200,99,100000
11,1,11,1,24,200,99,100000
12,1,12,1,26,200,99,100000
13,1,13,1,28,200,99,100000
14,1,14,1,29,200,99,100000
15,1,15,1,30,200,99,100000
16,2,1,1,501,400,99,200000
17,2,2,1,502,400,99,200000
18,2,3,1,503,400,99,200000
19,2,4,1,6,400,99,200000
20,2,5,1,9,400,99,200000
21,2,6,1,19,400,99,200000
22,2,7,1,20,400,99,200000
23,2,8,1,35,400,99,200000
24,2,9,1,38,400,99,200000
25,2,10,1,23,400,99,200000
26,2,11,1,24,400,99,200000
27,2,12,1,26,400,99,200000
28,2,13,1,28,400,99,200000
29,2,14,1,29,400,99,200000
30,2,15,1,30,400,99,200000
31,3,1,1,501,600,99,300000
32,3,2,1,502,600,99,300000
33,3,3,1,503,600,99,300000
34,3,4,1,6,600,99,300000
35,3,5,1,9,600,99,300000
36,3,6,1,19,600,99,300000
37,3,7,1,20,600,99,300000
38,3,8,1,35,600,99,300000
39,3,9,1,38,600,99,300000
40,3,10,1,23,600,99,300000
41,3,11,1,24,600,99,300000
42,3,12,1,26,600,99,300000
43,3,13,1,28,600,99,300000
44,3,14,1,29,600,99,300000
45,3,15,1,30,600,99,300000
46,4,1,1,501,1000,99,500000
47,4,2,1,502,1000,99,500000
48,4,3,1,503,1000,99,500000
49,4,4,1,6,1000,99,500000
50,4,5,1,9,1000,99,500000
51,4,6,1,19,1000,99,500000
52,4,7,1,20,1000,99,500000
53,4,8,1,35,1000,99,500000
54,4,9,1,38,1000,99,500000
55,4,10,1,23,1000,99,500000
56,4,11,1,24,1000,99,500000
57,4,12,1,26,1000,99,500000
58,4,13,1,28,1000,99,500000
59,4,14,1,29,1000,99,500000
60,4,15,1,30,1000,99,500000
