ID,level,need_lv,exp,horse_upper_limit,daily_normal_call,daily_higt_call,recovery_horse_time,recovery_horse_id,recovery_horse_num
1,1,1,30,8,80,0,10800,1001,1
2,2,1,40,9,80,0,10440,1001,1
3,3,1,50,10,80,0,10080,1001,1
4,4,1,60,11,80,0,9720,1001,1
5,5,1,80,12,80,0,9360,1001,1
6,6,1,100,13,80,0,9000,1001,1
7,7,1,120,14,80,0,8640,1001,1
8,8,1,140,15,80,0,8280,1001,1
9,9,1,160,16,80,0,7920,1001,1
10,10,1,200,17,80,0,7560,1001,1
11,11,1,240,18,80,0,7200,1001,1
12,12,1,300,19,80,0,6840,1001,1
13,13,1,400,20,80,0,6480,1001,1
14,14,1,500,20,80,0,6120,1001,1
15,15,1,600,20,80,0,5760,1001,1
16,16,1,700,20,80,0,5400,1001,1
17,17,1,800,20,80,0,5040,1001,1
18,18,1,900,20,80,0,4680,1001,1
19,19,1,1000,20,80,0,4320,1001,1
20,20,1,10000,20,80,0,3960,1001,1
21,21,1,12000,20,80,0,3960,1001,1
22,22,1,14000,20,80,0,3960,1001,1
23,23,1,16000,20,80,0,3960,1001,1
24,24,1,18000,20,80,0,3960,1001,1
25,25,1,20000,20,80,0,3960,1001,1
26,26,1,22000,20,80,0,3960,1001,1
27,27,1,24000,20,80,0,3960,1001,1
28,28,1,26000,20,80,0,3960,1001,1
29,29,1,28000,20,80,0,3960,1001,1
30,30,1,0,20,80,0,3960,1001,1
