id,name,type,item_id,item_num,lv,cost_item,cost_num
1,泰坦之心Ⅳ,1,14400101,1,1,91000030,50
2,泰坦之铠Ⅳ,1,14400201,1,1,91000030,50
3,泰坦之力Ⅳ,1,14400301,1,1,91000030,50
4,泰坦之魂Ⅳ,1,14400401,1,1,91000030,50
5,龙族之心Ⅳ,1,14400501,1,1,91000030,50
6,龙族之铠Ⅳ,1,14400601,1,1,91000030,50
7,龙族之力Ⅳ,1,14400701,1,1,91000030,50
8,龙族之魂Ⅳ,1,14400801,1,1,91000030,50
9,不朽之心Ⅳ,1,14400901,1,1,91000030,50
10,不朽之铠Ⅳ,1,14401001,1,1,91000030,50
11,不朽之力Ⅳ,1,14401101,1,1,91000030,50
12,不朽之魂Ⅳ,1,14401201,1,1,91000030,50
13,符文经验,2,91000027,200,1,91000030,50
