ID,type,quality,soul_type,name,attribute_name,attribute_type,attribute_typeone,attribute_base_valve,attribute_parm1,dragon_hole_attribute,dragon_hole_attributeone,dragon_hole_attribute_type1,dragon_hole_attribute1,upgrade_model,soul_mod,soul_icon
14100101,1,1,1,泰坦之心Ⅰ,生命值与暴击率,1,6,100,10,60000,1000,99,4000000,61,0,elogo14100101.png
14100201,1,1,2,泰坦之铠Ⅰ,生命值与抗暴,1,9,100,10,60000,1000,99,4000000,61,0,elogo14100201.png
14100301,1,1,3,龙族之心Ⅰ,攻击力与暴击率,2,6,100,10,6000,1000,99,4000000,71,0,elogo14100301.png
14100401,1,1,4,龙族之铠Ⅰ,攻击力与抗暴,2,9,100,10,6000,1000,99,4000000,71,0,elogo14100401.png
14100501,1,1,5,不朽之心Ⅰ,防御力与暴击率,3,6,100,10,6000,1000,99,4000000,71,0,elogo14100501.png
14200101,1,2,1,泰坦之心Ⅱ,生命值与暴击率,1,6,200,10,60000,1000,99,4000000,62,0,elogo14200101.png
14200201,1,2,2,泰坦之铠Ⅱ,生命值与抗暴,1,9,200,10,60000,1000,99,4000000,62,0,elogo14200201.png
14200301,1,2,3,泰坦之力Ⅱ,生命值与增伤,1,35,200,10,60000,1000,99,4000000,62,0,elogo14200301.png
14200401,1,2,4,龙族之心Ⅱ,攻击力与暴击率,2,6,200,10,6000,1000,99,4000000,72,0,elogo14200401.png
14200501,1,2,5,龙族之铠Ⅱ,攻击力与抗暴,2,9,200,10,6000,1000,99,4000000,72,0,elogo14200501.png
14200601,1,2,6,不朽之心Ⅱ,防御力与暴击率,3,6,200,10,6000,1000,99,4000000,72,0,elogo14200601.png
14200701,1,2,7,不朽之铠Ⅱ,防御力与抗暴,3,9,200,10,6000,1000,99,4000000,72,0,elogo14200701.png
14300101,1,4,1,泰坦之心Ⅲ,生命值与暴击率,1,6,400,10,60000,1000,99,4000000,63,0,elogo14300101.png
14300201,1,4,2,泰坦之铠Ⅲ,生命值与抗暴,1,9,400,10,60000,1000,99,4000000,63,0,elogo14300201.png
14300301,1,4,3,泰坦之力Ⅲ,生命值与增伤,1,35,400,10,60000,1000,99,4000000,63,0,elogo14300301.png
14300401,1,4,4,泰坦之魂Ⅲ,生命值与减伤,1,38,400,10,60000,1000,99,4000000,63,0,elogo14300401.png
14300501,1,4,5,龙族之心Ⅲ,攻击力与暴击率,2,6,400,10,6000,1000,99,4000000,73,0,elogo14300501.png
14300601,1,4,6,龙族之铠Ⅲ,攻击力与抗暴,2,9,400,10,6000,1000,99,4000000,73,0,elogo14300601.png
14300701,1,4,7,龙族之力Ⅲ,攻击力与增伤,2,35,400,10,6000,1000,99,4000000,73,0,elogo14300701.png
14300801,1,4,8,龙族之魂Ⅲ,攻击力与减伤,2,38,400,10,6000,1000,99,4000000,73,0,elogo14300801.png
14300901,1,4,9,不朽之心Ⅲ,防御力与暴击率,3,6,400,10,6000,1000,99,4000000,73,0,elogo14300901.png
14301001,1,4,10,不朽之铠Ⅲ,防御力与抗暴,3,9,400,10,6000,1000,99,4000000,73,0,elogo14301001.png
14301101,1,4,11,不朽之力Ⅲ,防御力与增伤,3,35,400,10,6000,1000,99,4000000,73,0,elogo14301101.png
14301201,1,4,12,不朽之魂Ⅲ,防御力与减伤,3,38,400,10,6000,1000,99,4000000,73,0,elogo14301201.png
14301301,1,4,13,旋涡,增伤率,0,0,400,10,0,0,99,4000000,1063,0,elogo14301301.png
14301401,1,4,14,共鸣,减伤率,0,0,400,10,0,0,99,4000000,1063,0,elogo14301401.png
14400101,1,6,1,泰坦之心Ⅳ,生命值与暴击率,1,6,800,10,60000,1000,99,4000000,64,0,elogo14400101.png
14400201,1,6,2,泰坦之铠Ⅳ,生命值与抗暴,1,9,800,10,60000,1000,99,4000000,64,0,elogo14400201.png
14400301,1,6,3,泰坦之力Ⅳ,生命值与增伤,1,35,800,10,60000,1000,99,4000000,64,0,elogo14400301.png
14400401,1,6,4,泰坦之魂Ⅳ,生命值与减伤,1,38,800,10,60000,1000,99,4000000,64,0,elogo14400401.png
14400501,1,6,5,龙族之心Ⅳ,攻击力与暴击率,2,6,800,10,6000,1000,99,4000000,74,0,elogo14400501.png
14400601,1,6,6,龙族之铠Ⅳ,攻击力与抗暴,2,9,800,10,6000,1000,99,4000000,74,0,elogo14400601.png
14400701,1,6,7,龙族之力Ⅳ,攻击力与增伤,2,35,800,10,6000,1000,99,4000000,74,0,elogo14400701.png
14400801,1,6,8,龙族之魂Ⅳ,攻击力与减伤,2,38,800,10,6000,1000,99,4000000,74,0,elogo14400801.png
14400901,1,6,9,不朽之心Ⅳ,防御力与暴击率,3,6,800,10,6000,1000,99,4000000,74,0,elogo14400901.png
14401001,1,6,10,不朽之铠Ⅳ,防御力与抗暴,3,9,800,10,6000,1000,99,4000000,74,0,elogo14401001.png
14401101,1,6,11,不朽之力Ⅳ,防御力与增伤,3,35,800,10,6000,1000,99,4000000,74,0,elogo14401101.png
14401201,1,6,12,不朽之魂Ⅳ,防御力与减伤,3,38,800,10,6000,1000,99,4000000,74,0,elogo14401201.png
14401301,1,6,13,心灵压制,抵抗,0,0,800,10,0,0,99,4000000,1064,0,elogo14401301.png
14401401,1,6,14,灵魂疗愈,治愈,0,0,800,10,0,0,99,4000000,1064,0,elogo14401401.png
14401501,1,6,15,元素旋涡,增伤率,0,0,800,10,0,0,99,4000000,1064,0,elogo14401501.png
14401601,1,6,16,元素共鸣,减伤率,0,0,800,10,0,0,99,4000000,1064,0,elogo14401601.png
