id,upgrade_model_group,level,cost_item,cost_num,decompose_item,decompose_num,value,valueone,attribute_type1,attribute_value1
1001,61,1,91000027,25,91000027,25,100,50,99,8000
1002,61,2,91000027,50,91000027,50,180,100,99,15400
1003,61,3,91000027,100,91000027,100,306,150,99,24180
1004,61,4,91000027,200,91000027,200,489,200,99,34670
1005,61,5,91000027,400,91000027,400,734,250,99,47020
1006,61,6,91000027,800,91000027,800,1028,300,99,60840
1007,61,7,91000027,1200,91000027,1600,1336,350,99,75080
1008,61,8,91000027,1600,91000027,2800,1737,400,99,92110
1009,61,9,91000027,2000,91000027,4400,2241,450,99,112230
1010,61,10,91000027,2600,91000027,6400,2869,500,99,136070
1011,61,11,91000027,3200,91000027,9000,3643,550,99,164290
1012,61,12,91000027,3800,91000027,12200,4591,600,99,197730
1013,61,13,91000027,4400,91000027,16000,5738,650,99,237140
1014,61,14,91000027,5000,91000027,20400,7116,700,99,283480
1015,61,15,91000027,6000,91000027,25400,8753,750,99,337590
1016,61,16,91000027,7000,91000027,31400,10678,800,99,400340
1017,61,17,91000027,8000,91000027,38400,12921,850,99,472630
1018,61,18,91000027,9000,91000027,46400,15634,900,99,559020
1019,61,19,91000027,10000,91000027,55400,18917,950,99,662510
1020,61,20,0,0,91000027,65400,22890,1000,99,786700
2001,62,1,91000027,50,91000027,50,150,50,99,9500
2002,62,2,91000027,100,91000027,100,270,100,99,18100
2003,62,3,91000027,200,91000027,200,459,150,99,28770
2004,62,4,91000027,400,91000027,400,734,200,99,42020
2005,62,5,91000027,800,91000027,800,1101,250,99,58030
2006,62,6,91000027,1600,91000027,1600,1542,300,99,76260
2007,62,7,91000027,2400,91000027,3200,2004,350,99,95120
2008,62,8,91000027,3200,91000027,5600,2606,400,99,118180
2009,62,9,91000027,4000,91000027,8800,3362,450,99,145860
2010,62,10,91000027,5200,91000027,12800,4303,500,99,179090
2011,62,11,91000027,6400,91000027,18000,5465,550,99,218950
2012,62,12,91000027,7600,91000027,24400,6886,600,99,266580
2013,62,13,91000027,8800,91000027,32000,8608,650,99,323240
2014,62,14,91000027,10000,91000027,40800,10674,700,99,390220
2015,62,15,91000027,12000,91000027,50800,13129,750,99,468870
2016,62,16,91000027,14000,91000027,62800,16018,800,99,560540
2017,62,17,91000027,16000,91000027,76800,19381,850,99,666430
2018,62,18,91000027,18000,91000027,92800,23452,900,99,793560
2019,62,19,91000027,20000,91000027,110800,28376,950,99,946280
2020,62,20,0,0,91000027,130800,34336,1000,99,1130080
3001,63,1,91000027,100,91000027,100,200,75,99,13500
3002,63,2,91000027,200,91000027,200,360,150,99,25800
3003,63,3,91000027,400,91000027,400,612,225,99,40860
3004,63,4,91000027,800,91000027,800,979,300,99,59370
3005,63,5,91000027,1600,91000027,1600,1468,375,99,81540
3006,63,6,91000027,3200,91000027,3200,2056,450,99,106680
3007,63,7,91000027,4800,91000027,6400,2673,525,99,132690
3008,63,8,91000027,6400,91000027,11200,3475,600,99,164250
3009,63,9,91000027,8000,91000027,17600,4482,675,99,201960
3010,63,10,91000027,10400,91000027,25600,5738,750,99,247140
3011,63,11,91000027,12800,91000027,36000,7287,825,99,301110
3012,63,12,91000027,15200,91000027,48800,9182,900,99,365460
3013,63,13,91000027,17600,91000027,64000,11477,975,99,441810
3014,63,14,91000027,20000,91000027,81600,14232,1050,99,531960
3015,63,15,91000027,24000,91000027,101600,17506,1125,99,637680
3016,63,16,91000027,28000,91000027,125600,21357,1200,99,760710
3017,63,17,91000027,32000,91000027,153600,25842,1275,99,902760
3018,63,18,91000027,36000,91000027,185600,31269,1350,99,1073070
3019,63,19,91000027,40000,91000027,221600,37835,1425,99,1277550
3020,63,20,0,0,91000027,261600,45781,1500,99,1523430
4001,64,1,91000027,200,91000027,200,300,100,99,19000
4002,64,2,91000027,400,91000027,400,540,200,99,36200
4003,64,3,91000027,800,91000027,800,918,300,99,57540
4004,64,4,91000027,1600,91000027,1600,1468,400,99,84040
4005,64,5,91000027,3200,91000027,3200,2203,500,99,116090
4006,64,6,91000027,6400,91000027,6400,3084,600,99,152520
4007,64,7,91000027,9600,91000027,12800,4009,700,99,190270
4008,64,8,91000027,12800,91000027,22400,5212,800,99,236360
4009,64,9,91000027,16000,91000027,35200,6724,900,99,291720
4010,64,10,91000027,20800,91000027,51200,8607,1000,99,358210
4011,64,11,91000027,25600,91000027,72000,10931,1100,99,437930
4012,64,12,91000027,30400,91000027,97600,13773,1200,99,533190
4013,64,13,91000027,35200,91000027,128000,17216,1300,99,646480
4014,64,14,91000027,40000,91000027,163200,21348,1400,99,780440
4015,64,15,91000027,48000,91000027,203200,26259,1500,99,937770
