id,hydra_id,hydra_lv,qualification1_id1,qualification1_num1,qualification1_id2,qualification1_num2,qualification_exp,qualification,qualification1_type1,qualification1_value1,qualification1_type2,qualification1_value2,qualification1_type3,qualification1_value3,qualification1_type4,qualification1_value4,qualification1_type5,qualification1_value5
1,5001,1,91000001,100,91000042,1,70,10,6,10,7,10,9,10,29,10,99,100
2,5001,2,91000001,300,91000042,2,140,10,6,30,7,30,9,30,29,30,99,9113
3,5001,3,91000001,500,91000042,3,210,10,6,90,7,70,9,70,29,70,99,25062
4,5001,4,91000001,700,91000042,4,430,10,6,180,7,140,9,140,29,140,99,51264
5,5001,5,91000001,900,91000042,5,500,10,6,310,7,260,9,260,29,260,99,91136
6,5001,6,91000001,1100,91000042,6,610,10,6,500,7,410,9,410,29,410,99,145817
7,5001,7,91000001,1300,91000042,7,730,10,6,790,7,640,9,640,29,640,99,227840
8,5001,8,91000001,1500,91000042,8,840,10,6,1260,7,1020,9,1020,29,1020,99,364544
9,5001,9,91000001,1700,91000042,9,960,10,6,1890,7,1540,9,1540,29,1540,99,546816
10,5001,10,91000001,1900,91000042,10,1070,10,6,2710,7,2210,9,2210,29,2210,99,786048
11,5001,11,91000001,2100,91000042,11,1190,10,6,3610,7,2940,9,2940,29,2940,99,1048064
12,5001,12,91000001,2300,91000042,12,1300,10,6,4560,7,3710,9,3710,29,3710,99,1321472
13,5001,13,91000001,2500,91000042,13,1420,10,6,5580,7,4540,9,4540,29,4540,99,1617664
14,5001,14,91000001,2700,91000042,14,1530,10,6,6680,7,5440,9,5440,29,5440,99,1936640
15,5001,15,91000001,2900,91000042,15,1650,10,6,7860,7,6400,9,6400,29,6400,99,2278400
16,5002,1,91000001,100,91000042,1,70,10,6,10,7,10,9,10,29,10,99,100
17,5002,2,91000001,300,91000042,2,140,10,6,30,7,30,9,30,29,30,99,9113
18,5002,3,91000001,500,91000042,3,210,10,6,90,7,70,9,70,29,70,99,25062
19,5002,4,91000001,700,91000042,4,430,10,6,180,7,140,9,140,29,140,99,51264
20,5002,5,91000001,900,91000042,5,500,10,6,310,7,260,9,260,29,260,99,91136
21,5002,6,91000001,1100,91000042,6,610,10,6,500,7,410,9,410,29,410,99,145817
22,5002,7,91000001,1300,91000042,7,730,10,6,790,7,640,9,640,29,640,99,227840
23,5002,8,91000001,1500,91000042,8,840,10,6,1260,7,1020,9,1020,29,1020,99,364544
24,5002,9,91000001,1700,91000042,9,960,10,6,1890,7,1540,9,1540,29,1540,99,546816
25,5002,10,91000001,1900,91000042,10,1070,10,6,2710,7,2210,9,2210,29,2210,99,786048
26,5002,11,91000001,2100,91000042,11,1190,10,6,3610,7,2940,9,2940,29,2940,99,1048064
27,5002,12,91000001,2300,91000042,12,1300,10,6,4560,7,3710,9,3710,29,3710,99,1321472
28,5002,13,91000001,2500,91000042,13,1420,10,6,5580,7,4540,9,4540,29,4540,99,1617664
29,5002,14,91000001,2700,91000042,14,1530,10,6,6680,7,5440,9,5440,29,5440,99,1936640
30,5002,15,91000001,2900,91000042,15,1650,10,6,7860,7,6400,9,6400,29,6400,99,2278400
31,5003,1,91000001,100,91000042,1,70,10,6,10,7,10,9,10,29,10,99,100
32,5003,2,91000001,300,91000042,2,140,10,6,30,7,30,9,30,29,30,99,9113
33,5003,3,91000001,500,91000042,3,210,10,6,90,7,70,9,70,29,70,99,25062
34,5003,4,91000001,700,91000042,4,430,10,6,180,7,140,9,140,29,140,99,51264
35,5003,5,91000001,900,91000042,5,500,10,6,310,7,260,9,260,29,260,99,91136
36,5003,6,91000001,1100,91000042,6,610,10,6,500,7,410,9,410,29,410,99,145817
37,5003,7,91000001,1300,91000042,7,730,10,6,790,7,640,9,640,29,640,99,227840
38,5003,8,91000001,1500,91000042,8,840,10,6,1260,7,1020,9,1020,29,1020,99,364544
39,5003,9,91000001,1700,91000042,9,960,10,6,1890,7,1540,9,1540,29,1540,99,546816
40,5003,10,91000001,1900,91000042,10,1070,10,6,2710,7,2210,9,2210,29,2210,99,786048
41,5003,11,91000001,2100,91000042,11,1190,10,6,3610,7,2940,9,2940,29,2940,99,1048064
42,5003,12,91000001,2300,91000042,12,1300,10,6,4560,7,3710,9,3710,29,3710,99,1321472
43,5003,13,91000001,2500,91000042,13,1420,10,6,5580,7,4540,9,4540,29,4540,99,1617664
44,5003,14,91000001,2700,91000042,14,1530,10,6,6680,7,5440,9,5440,29,5440,99,1936640
45,5003,15,91000001,2900,91000042,15,1650,10,6,7860,7,6400,9,6400,29,6400,99,2278400
46,5004,1,91000001,100,91000042,1,70,10,6,10,7,10,9,10,29,10,99,100
47,5004,2,91000001,300,91000042,2,140,10,6,30,7,30,9,30,29,30,99,9113
48,5004,3,91000001,500,91000042,3,210,10,6,90,7,70,9,70,29,70,99,25062
49,5004,4,91000001,700,91000042,4,430,10,6,180,7,140,9,140,29,140,99,51264
50,5004,5,91000001,900,91000042,5,500,10,6,310,7,260,9,260,29,260,99,91136
51,5004,6,91000001,1100,91000042,6,610,10,6,500,7,410,9,410,29,410,99,145817
52,5004,7,91000001,1300,91000042,7,730,10,6,790,7,640,9,640,29,640,99,227840
53,5004,8,91000001,1500,91000042,8,840,10,6,1260,7,1020,9,1020,29,1020,99,364544
54,5004,9,91000001,1700,91000042,9,960,10,6,1890,7,1540,9,1540,29,1540,99,546816
55,5004,10,91000001,1900,91000042,10,1070,10,6,2710,7,2210,9,2210,29,2210,99,786048
56,5004,11,91000001,2100,91000042,11,1190,10,6,3610,7,2940,9,2940,29,2940,99,1048064
57,5004,12,91000001,2300,91000042,12,1300,10,6,4560,7,3710,9,3710,29,3710,99,1321472
58,5004,13,91000001,2500,91000042,13,1420,10,6,5580,7,4540,9,4540,29,4540,99,1617664
59,5004,14,91000001,2700,91000042,14,1530,10,6,6680,7,5440,9,5440,29,5440,99,1936640
60,5004,15,91000001,2900,91000042,15,1650,10,6,7860,7,6400,9,6400,29,6400,99,2278400
61,5005,1,91000001,100,91000042,1,70,10,6,10,7,10,9,10,29,10,99,100
62,5005,2,91000001,300,91000042,2,140,10,6,30,7,30,9,30,29,30,99,9113
63,5005,3,91000001,500,91000042,3,210,10,6,90,7,70,9,70,29,70,99,25062
64,5005,4,91000001,700,91000042,4,430,10,6,180,7,140,9,140,29,140,99,51264
65,5005,5,91000001,900,91000042,5,500,10,6,310,7,260,9,260,29,260,99,91136
66,5005,6,91000001,1100,91000042,6,610,10,6,500,7,410,9,410,29,410,99,145817
67,5005,7,91000001,1300,91000042,7,730,10,6,790,7,640,9,640,29,640,99,227840
68,5005,8,91000001,1500,91000042,8,840,10,6,1260,7,1020,9,1020,29,1020,99,364544
69,5005,9,91000001,1700,91000042,9,960,10,6,1890,7,1540,9,1540,29,1540,99,546816
70,5005,10,91000001,1900,91000042,10,1070,10,6,2710,7,2210,9,2210,29,2210,99,786048
71,5005,11,91000001,2100,91000042,11,1190,10,6,3610,7,2940,9,2940,29,2940,99,1048064
72,5005,12,91000001,2300,91000042,12,1300,10,6,4560,7,3710,9,3710,29,3710,99,1321472
73,5005,13,91000001,2500,91000042,13,1420,10,6,5580,7,4540,9,4540,29,4540,99,1617664
74,5005,14,91000001,2700,91000042,14,1530,10,6,6680,7,5440,9,5440,29,5440,99,1936640
75,5005,15,91000001,2900,91000042,15,1650,10,6,7860,7,6400,9,6400,29,6400,99,2278400
76,5006,1,91000001,100,91000042,1,70,10,6,10,7,10,9,10,29,10,99,100
77,5006,2,91000001,300,91000042,2,140,10,6,30,7,30,9,30,29,30,99,9113
78,5006,3,91000001,500,91000042,3,210,10,6,90,7,70,9,70,29,70,99,25062
79,5006,4,91000001,700,91000042,4,430,10,6,180,7,140,9,140,29,140,99,51264
80,5006,5,91000001,900,91000042,5,500,10,6,310,7,260,9,260,29,260,99,91136
81,5006,6,91000001,1100,91000042,6,610,10,6,500,7,410,9,410,29,410,99,145817
82,5006,7,91000001,1300,91000042,7,730,10,6,790,7,640,9,640,29,640,99,227840
83,5006,8,91000001,1500,91000042,8,840,10,6,1260,7,1020,9,1020,29,1020,99,364544
84,5006,9,91000001,1700,91000042,9,960,10,6,1890,7,1540,9,1540,29,1540,99,546816
85,5006,10,91000001,1900,91000042,10,1070,10,6,2710,7,2210,9,2210,29,2210,99,786048
86,5006,11,91000001,2100,91000042,11,1190,10,6,3610,7,2940,9,2940,29,2940,99,1048064
87,5006,12,91000001,2300,91000042,12,1300,10,6,4560,7,3710,9,3710,29,3710,99,1321472
88,5006,13,91000001,2500,91000042,13,1420,10,6,5580,7,4540,9,4540,29,4540,99,1617664
89,5006,14,91000001,2700,91000042,14,1530,10,6,6680,7,5440,9,5440,29,5440,99,1936640
90,5006,15,91000001,2900,91000042,15,1650,10,6,7860,7,6400,9,6400,29,6400,99,2278400
91,5007,1,91000001,100,91000042,1,70,10,6,10,7,10,9,10,29,10,99,100
92,5007,2,91000001,300,91000042,2,140,10,6,30,7,30,9,30,29,30,99,9113
93,5007,3,91000001,500,91000042,3,210,10,6,90,7,70,9,70,29,70,99,25062
94,5007,4,91000001,700,91000042,4,430,10,6,180,7,140,9,140,29,140,99,51264
95,5007,5,91000001,900,91000042,5,500,10,6,310,7,260,9,260,29,260,99,91136
96,5007,6,91000001,1100,91000042,6,610,10,6,500,7,410,9,410,29,410,99,145817
97,5007,7,91000001,1300,91000042,7,730,10,6,790,7,640,9,640,29,640,99,227840
98,5007,8,91000001,1500,91000042,8,840,10,6,1260,7,1020,9,1020,29,1020,99,364544
99,5007,9,91000001,1700,91000042,9,960,10,6,1890,7,1540,9,1540,29,1540,99,546816
100,5007,10,91000001,1900,91000042,10,1070,10,6,2710,7,2210,9,2210,29,2210,99,786048
101,5007,11,91000001,2100,91000042,11,1190,10,6,3610,7,2940,9,2940,29,2940,99,1048064
102,5007,12,91000001,2300,91000042,12,1300,10,6,4560,7,3710,9,3710,29,3710,99,1321472
103,5007,13,91000001,2500,91000042,13,1420,10,6,5580,7,4540,9,4540,29,4540,99,1617664
104,5007,14,91000001,2700,91000042,14,1530,10,6,6680,7,5440,9,5440,29,5440,99,1936640
105,5007,15,91000001,2900,91000042,15,1650,10,6,7860,7,6400,9,6400,29,6400,99,2278400
