id,Hydra_id,taskid,tasktypes,n1,n2,n3,n4,content,item,num,taskindexes,condition
1,5001,1001,1,5,0,0,0,领主等级达到5,91000002,100,mod_newChapter.openUI(),0
2,5001,1002,14,5000,0,0,0,队伍战力达5000,91000002,100,ui_mgr.openUI("battle_arrayUI"),return mod_base.issysopen(1)
3,5001,1003,1,10,0,0,0,领主等级达到10,91000002,100,mod_newChapter.openUI(),0
4,5001,1004,14,7000,0,0,0,队伍战力达7000,91000002,100,ui_mgr.openUI("battle_arrayUI"),return mod_base.issysopen(1)
5,5002,2001,1,99,0,0,0,领主等级达到99,91000002,150,mod_newChapter.openUI(),0
6,5002,2002,14,999999,0,0,0,队伍战力达999999,91000002,150,ui_mgr.openUI("battle_arrayUI"),return mod_base.issysopen(1)
7,5002,2003,1,59,0,0,0,领主等级达到59,91000002,150,mod_newChapter.openUI(),0
8,5002,2004,14,30000,0,0,0,队伍战力达30000,91000002,150,ui_mgr.openUI("battle_arrayUI"),return mod_base.issysopen(1)
9,5003,3001,1,99,0,0,0,领主等级达到99,91000002,150,mod_newChapter.openUI(),0
10,5003,3002,14,40000,0,0,0,队伍战力达40000,91000002,150,ui_mgr.openUI("battle_arrayUI"),return mod_base.issysopen(1)
11,5003,3003,1,99,0,0,0,领主等级达到99,91000002,150,mod_newChapter.openUI(),0
12,5003,3004,14,50000,0,0,0,队伍战力达50000,91000002,150,ui_mgr.openUI("battle_arrayUI"),return mod_base.issysopen(1)
13,5004,4001,1,99,0,0,0,领主等级达到99,91000002,150,mod_newChapter.openUI(),0
14,5004,4002,14,60000,0,0,0,队伍战力达60000,91000002,150,ui_mgr.openUI("battle_arrayUI"),return mod_base.issysopen(1)
15,5004,4003,1,99,0,0,0,领主等级达到99,91000002,150,mod_newChapter.openUI(),0
16,5004,4004,14,70000,0,0,0,队伍战力达70000,91000002,150,ui_mgr.openUI("battle_arrayUI"),return mod_base.issysopen(1)
17,5005,5001,1,99,0,0,0,领主等级达到99,91000002,150,mod_newChapter.openUI(),0
18,5005,5002,14,80000,0,0,0,队伍战力达80000,91000002,150,ui_mgr.openUI("battle_arrayUI"),return mod_base.issysopen(1)
19,5005,5003,1,99,0,0,0,领主等级达到99,91000002,150,mod_newChapter.openUI(),0
20,5005,5004,14,100000,0,0,0,队伍战力达100000,91000002,150,ui_mgr.openUI("battle_arrayUI"),return mod_base.issysopen(1)
21,5006,6001,1,99,0,0,0,领主等级达到99,91000002,150,mod_newChapter.openUI(),0
22,5006,6002,14,110000,0,0,0,队伍战力达110000,91000002,200,ui_mgr.openUI("battle_arrayUI"),return mod_base.issysopen(1)
23,5006,6003,1,99,0,0,0,领主等级达到99,91000002,200,mod_newChapter.openUI(),0
24,5006,6004,14,120000,0,0,0,队伍战力达120000,91000002,200,ui_mgr.openUI("battle_arrayUI"),return mod_base.issysopen(1)
25,5007,7001,1,99,0,0,0,领主等级达到99,91000002,200,mod_newChapter.openUI(),0
26,5007,7002,14,130000,0,0,0,队伍战力达130000,91000002,200,ui_mgr.openUI("battle_arrayUI"),return mod_base.issysopen(1)
27,5007,7003,1,99,0,0,0,领主等级达到99,91000002,200,mod_newChapter.openUI(),0
28,5007,7004,14,150000,0,0,0,队伍战力达150000,91000002,150,ui_mgr.openUI("battle_arrayUI"),return mod_base.issysopen(1)
