lv,lvupneed1,lvupneednum1,returnnum1,lvupneed2,lvupneednum2,returnnum2
1,91000002,120,120,91000001,1,1
2,91000002,240,360,91000001,2,3
3,91000002,360,720,91000001,2,5
4,91000002,480,1200,91000001,2,7
5,91000002,600,1800,91000001,2,9
6,91000002,720,2520,91000001,2,11
7,91000002,840,3360,91000001,2,13
8,91000002,960,4320,91000001,2,15
9,91000002,1080,5400,91000001,2,17
10,91000002,1200,6600,91000001,2,19
11,91000002,1320,7920,91000001,2,21
12,91000002,1440,9360,91000001,2,23
13,91000002,1560,10920,91000001,2,25
14,91000002,1680,12600,91000001,2,27
15,91000002,1800,14400,91000001,2,29
16,91000002,1920,16320,91000001,2,31
17,91000002,2040,18360,91000001,2,33
18,91000002,2160,20520,91000001,2,35
19,91000002,2280,22800,91000001,2,37
20,91000002,2400,25200,91000001,2,39
21,91000002,2520,27720,91000001,2,41
22,91000002,2640,30360,91000001,2,43
23,91000002,2760,33120,91000001,2,45
24,91000002,2880,36000,91000001,2,47
25,91000002,3000,39000,91000001,2,49
26,91000002,3120,42120,91000001,2,51
27,91000002,3240,45360,91000001,2,53
28,91000002,3360,48720,91000001,2,55
29,91000002,3480,52200,91000001,2,57
30,91000002,3600,55800,91000001,2,59
31,91000002,3720,59520,91000001,2,61
32,91000002,3840,63360,91000001,2,63
33,91000002,3960,67320,91000001,2,65
34,91000002,4080,71400,91000001,2,67
35,91000002,4200,75600,91000001,2,69
36,91000002,4320,79920,91000001,2,71
37,91000002,4440,84360,91000001,2,73
38,91000002,4560,88920,91000001,2,75
39,91000002,4680,93600,91000001,2,77
40,91000002,4800,98400,91000001,2,79
41,91000002,4920,103320,91000001,2,81
42,91000002,5040,108360,91000001,2,83
43,91000002,5160,113520,91000001,2,85
44,91000002,5280,118800,91000001,2,87
45,91000002,5400,124200,91000001,2,89
46,91000002,5520,129720,91000001,2,91
47,91000002,5640,135360,91000001,2,93
48,91000002,5760,141120,91000001,2,95
49,91000002,5880,147000,91000001,2,97
50,91000002,6000,153000,91000001,2,99
51,91000002,6120,159120,91000001,2,101
52,91000002,6240,165360,91000001,2,103
53,91000002,6360,171720,91000001,2,105
54,91000002,6480,178200,91000001,2,107
55,91000002,6600,184800,91000001,2,109
56,91000002,6720,191520,91000001,2,111
57,91000002,6840,198360,91000001,2,113
58,91000002,6960,205320,91000001,2,115
59,91000002,7080,212400,91000001,2,117
60,91000002,7200,219600,91000001,2,119
61,91000002,7320,226920,91000001,2,121
62,91000002,7440,234360,91000001,2,123
63,91000002,7560,241920,91000001,2,125
64,91000002,7680,249600,91000001,2,127
65,91000002,7800,257400,91000001,2,129
66,91000002,7920,265320,91000001,2,131
67,91000002,8040,273360,91000001,2,133
68,91000002,8160,281520,91000001,2,135
69,91000002,8280,289800,91000001,2,137
70,91000002,8400,298200,91000001,2,139
71,91000002,8520,306720,91000001,2,141
72,91000002,8640,315360,91000001,2,143
73,91000002,8760,324120,91000001,2,145
74,91000002,8880,333000,91000001,2,147
75,91000002,9000,342000,91000001,2,149
76,91000002,9120,351120,91000001,2,151
77,91000002,9240,360360,91000001,2,153
78,91000002,9360,369720,91000001,2,155
79,91000002,9480,379200,91000001,2,157
80,91000002,9600,388800,91000001,2,159
81,91000002,9720,398520,91000001,2,161
82,91000002,9840,408360,91000001,2,163
83,91000002,9960,418320,91000001,2,165
84,91000002,10080,428400,91000001,2,167
85,91000002,10200,438600,91000001,2,169
86,91000002,10320,448920,91000001,2,171
87,91000002,10440,459360,91000001,2,173
88,91000002,10560,469920,91000001,2,175
89,91000002,10680,480600,91000001,2,177
90,91000002,10800,491400,91000001,2,179
91,91000002,10920,502320,91000001,2,181
92,91000002,11040,513360,91000001,2,183
93,91000002,11160,524520,91000001,2,185
94,91000002,11280,535800,91000001,2,187
95,91000002,11400,547200,91000001,2,189
96,91000002,11520,558720,91000001,2,191
97,91000002,11640,570360,91000001,2,193
98,91000002,11760,582120,91000001,2,195
99,91000002,11880,594000,91000001,2,197
100,91000002,12000,606000,91000001,2,199
101,91000002,12120,618120,91000001,2,201
102,91000002,12240,630360,91000001,2,203
103,91000002,12360,642720,91000001,2,205
104,91000002,12480,655200,91000001,2,207
105,91000002,12600,667800,91000001,2,209
106,91000002,12720,680520,91000001,2,211
107,91000002,12840,693360,91000001,2,213
108,91000002,12960,706320,91000001,2,215
109,91000002,13080,719400,91000001,2,217
110,91000002,13200,732600,91000001,2,219
111,91000002,13320,745920,91000001,2,221
112,91000002,13440,759360,91000001,2,223
113,91000002,13560,772920,91000001,2,225
114,91000002,13680,786600,91000001,2,227
115,91000002,13800,800400,91000001,2,229
116,91000002,13920,814320,91000001,2,231
117,91000002,14040,828360,91000001,2,233
118,91000002,14160,842520,91000001,2,235
119,91000002,14280,856800,91000001,2,237
120,91000002,14400,871200,91000001,2,239
