boxid,groupid,type,item1,name1,num1,item2,name2,num2,item3,name3,num3
1001101,1001,1,91000001,金币,300000,81000002,白银锻造币,1,0,1,0
1001102,1001,1,91000001,金币,300000,81000002,白银锻造币,1,0,1,0
1001103,1001,1,91000044,魔粉,200,81000002,白银锻造币,1,0,1,0
1001104,1001,1,91000044,魔粉,200,42010001,普通召唤卷,1,0,1,0
1001105,1001,1,91000002,钻石,10000,42010001,普通召唤卷,1,0,1,0
1001106,1001,1,91000002,钻石,10000,42010001,普通召唤卷,1,0,1,0
1001201,1001,2,91000001,金币,600000,60430030,烈风战甲,1,0,1,0
1001202,1001,2,81000002,白银锻造币,3,60630030,勇士之甲,1,0,1,0
1001203,1001,2,60000001,神器·贤王之面,1,60210040,圣焰战刃,1,60310040,海神的恩赐,1
1002101,1002,1,91000001,金币,400000,0,1,0,0,1,0
1002102,1002,1,91000001,金币,400000,0,1,0,0,1,0
1002103,1002,1,91000001,金币,400000,0,1,0,0,1,0
1002104,1002,1,91000001,金币,400000,0,1,0,0,1,0
1002105,1002,1,91000001,金币,500000,0,1,0,0,1,0
1002106,1002,1,60430030,烈风战甲,1,0,1,0,0,1,0
1002107,1002,1,60310030,祈火之杖,1,0,1,0,0,1,0
1002108,1002,1,81000002,白银锻造币,3,0,1,0,0,1,0
1002109,1002,1,81000002,白银锻造币,3,0,1,0,0,1,0
1002110,1002,1,81000002,白银锻造币,3,0,1,0,0,1,0
1002111,1002,1,81000002,白银锻造币,3,0,1,0,0,1,0
1002112,1002,1,91000044,魔粉,300,0,1,0,0,1,0
1002113,1002,1,91000044,魔粉,300,0,1,0,0,1,0
1002201,1002,2,42010002,阵营召唤卷,5,60640040,骑士皮靴,1,0,1,0
1002202,1002,2,91000002,钻石,30000,60110040,骑士佩剑,1,0,1,0
1002203,1002,2,11100601,贵族之刃,1,0,1,0,0,1,0
1003101,1003,1,91000001,金币,300000,0,1,0,0,1,0
