id,location,speed,shock,shocktime,story,showid,stoptime,next
10101,7|8,50,0,0,0,0,30,10102
10102,0,0,0,0,102001,0,0,0
20101,7|8,50,0,0,0,0,30,20102
20102,0,0,0,0,0,61,0,20103
20103,0,0,0,0,0,65,50,20104
20104,0,0,0,0,206001,0,0,0
20201,10|4,50,0,0,0,0,30,20202
20202,0,0,0,0,0,62|63|64,0,20203
20203,0,0,0,0,0,66|67|68,50,20204
20204,0,0,0,0,205001,0,0,0
20301,2|16,50,0,0,0,0,30,20302
20302,0,0,0,0,203001,0,0,0
30101,0,0,0,0,301001,0,0,30102
30102,9|12,50,0,0,0,0,30,30103
30103,1|5,50,0,0,0,0,30,30104
30104,0,0,0,0,302001,0,0,0
30201,6|2,50,0,0,0,0,30,30202
30202,0,0,0,0,0,66,0,30203
30203,0,0,0,0,0,73,50,30204
30204,0,0,0,0,305001,0,0,0
30301,4|6,50,0,0,0,0,30,30302
30302,0,0,0,0,0,65,0,30303
30303,0,0,0,0,0,72,50,30304
30304,0,0,0,0,304001,0,0,0
30401,6|8,50,0,0,0,0,30,30402
30402,0,0,0,0,0,67|68,0,30403
30403,0,0,0,0,0,74|75,50,30404
30404,0,0,0,0,306001,0,0,0
30501,10|10,50,0,0,0,0,30,30502
30502,0,0,0,0,0,58,50,30503
30503,0,0,0,0,307001,0,0,0
30601,8|13,50,0,0,0,0,30,30602
30602,0,0,0,0,0,59,50,0
30701,9|11,50,0,0,0,0,30,30702
30702,0,0,0,0,0,60,50,0
30801,8|12,50,0,0,0,0,30,30802
30802,0,0,0,0,0,61,50,0
30901,8|11,50,0,0,0,0,30,30902
30902,0,0,0,0,0,62,50,0
31001,6|2,50,0,0,0,0,30,31002
31002,0,0,0,0,0,308001,50,0
40101,14|2,50,0,0,0,0,30,40102
40102,0,0,0,0,411001,0,0,40103
40103,14|13,50,0,0,0,0,30,40104
40104,0,0,0,0,412001,0,0,40105
40105,1|8,50,0,0,0,0,30,40106
40106,0,0,0,0,413001,0,0,0
40201,12|2,50,0,0,0,0,30,40202
40202,0,0,0,0,0,70,50,40203
40203,0,0,0,0,414001,0,0,0
40301,12|13,50,0,0,0,0,30,40302
40302,0,0,0,0,0,71,50,40303
40303,0,0,0,0,414001,0,0,0
40401,5|13,50,0,0,0,0,30,40402
40402,0,0,0,0,0,72,50,40403
40403,7|9,50,0,0,0,0,30,40404
40404,0,0,0,0,0,73,50,40405
40405,10|9,50,0,0,0,0,30,40406
40406,0,0,0,0,0,74,50,40407
40407,12|12,50,0,0,0,0,30,40408
40408,0,0,0,0,0,75,50,40409
40409,0,0,0,0,414001,0,0,40410
40410,14|2,50,0,0,0,0,30,40411
40411,0,0,0,0,415001,0,0,0
40501,5|3,50,0,0,0,0,30,40502
40502,0,0,0,0,0,66,50,40503
40503,7|7,50,0,0,0,0,30,40504
40504,0,0,0,0,0,67,50,40505
40505,10|6,50,0,0,0,0,30,40506
40506,0,0,0,0,0,68,50,40507
40507,12|3,50,0,0,0,0,30,40508
