storyid,leftid,leftname,rightid,rightname,spokesman,txt,next
10101,1012,北境之锤·乌可诺,1017,怒涛护卫·霍尔,1,地牢中除了击败敌人有丰厚奖励外，到达每层关底也有丰厚奖励可领取。,10102
10102,1012,北境之锤·乌可诺,1017,怒涛护卫·霍尔,2,那就让我们冲破第一层吧！,0
50101,1012,北境之锤·乌可诺,5006,众神之王·宙斯,2,凡人，欢迎来到我的神国！,50102
50102,1012,北境之锤·乌可诺,5006,众神之王·宙斯,2,这里每个守卫都守护着一份星耀之力，去吧！击败守卫集齐所有星耀之力，解放星耀真正的力量！,50103
50103,1012,北境之锤·乌可诺,5006,众神之王·宙斯,1,啊…新的挑战…我的锤子已经饥渴难耐了！,0
50201,1012,北境之锤·乌可诺,1018,异界战神·武圣,2,有朋自远方来不亦说乎…,50202
50202,1012,北境之锤·乌可诺,1018,异界战神·武圣,1,哈…有战神助我…看来这次是躺赢了！,0
50301,1012,北境之锤·乌可诺,5004,黎明圣炎·米迦勒,2,火焰将净化一切！,50302
50302,1012,北境之锤·乌可诺,5004,黎明圣炎·米迦勒,2,前进吧，勇士！,0
50401,1012,北境之锤·乌可诺,1017,怒涛护卫·霍尔,2,这里好像有点不一样…,50402
50402,1012,北境之锤·乌可诺,1017,怒涛护卫·霍尔,1,没错，我能感觉到前方强大的力量！,50403
50403,1012,北境之锤·乌可诺,1017,怒涛护卫·霍尔,1,而且这里只能靠我们自己了…前进，士兵！,50404
50404,1012,北境之锤·乌可诺,1017,怒涛护卫·霍尔,2,遵命！长官！,0
101001,1012,北境之锤·乌可诺,1017,怒涛护卫·霍尔,2,长官！我们已经来到了北部边境！,101002
101002,1012,北境之锤·乌可诺,1017,怒涛护卫·霍尔,1,这里就是北境了么，线索到这里就断了。先四处侦查下，等等！前面似乎大量有不明来历的暗影生物！,101003
101003,1012,北境之锤·乌可诺,1017,怒涛护卫·霍尔,1,大家提高警惕！准备战斗！,0
102001,1012,北境之锤·乌可诺,1017,怒涛护卫·霍尔,2,长官！前方的暗影生物阵型有所不同，它们好像在刻意保护什么。,102002
102002,1012,北境之锤·乌可诺,1017,怒涛护卫·霍尔,1,暗影生物会保护什么吗……难不成……就是它们抢走的神器？！,102003
102003,1012,北境之锤·乌可诺,1017,怒涛护卫·霍尔,1,消灭它们，看看它们保护的是什么！,0
201001,1012,北境之锤·乌可诺,1013,凯旋之歌·索德颂,1,这森林真大！,201002
201002,1012,北境之锤·乌可诺,1013,凯旋之歌·索德颂,2,我能听到鸟鸣，清脆悦耳~我能闻到花香，幽香沁人~,201003
201003,1012,北境之锤·乌可诺,1014,狩魔鹰眼·马斯克,2,先别感叹了大诗人！今天我们可不能再失手，这里很不安全，小心侦查前进。,0
202001,1012,北境之锤·乌可诺,1014,狩魔鹰眼·马斯克,2,这里面似乎有动静！但路口被茂密的植物覆盖了。,202002
202002,1012,北境之锤·乌可诺,1013,凯旋之歌·索德颂,1,东南部森林似乎有敌人的踪迹！先去那边深入探索下。,0
203001,1012,北境之锤·乌可诺,1013,凯旋之歌·索德颂,2,快看，东边的敌人似乎在看守着什么。,203002
203002,1012,北境之锤·乌可诺,1013,凯旋之歌·索德颂,1,打败他们应该能获得些线索。,0
