boxid,groupid,type,item1,name1,num1,item2,name2,num2,item3,name3,num3
101101,1001001,1,13000001,稀有勇士魂石,15,0,0,0,0,0,0
101102,1001001,1,13000001,稀有勇士魂石,15,0,0,0,0,0,0
101103,1001001,1,13000001,稀有勇士魂石,15,0,0,0,0,0,0
101104,1001001,1,13000001,稀有勇士魂石,15,0,0,0,0,0,0
101105,1001001,1,13000001,稀有勇士魂石,15,0,0,0,0,0,0
101106,1001001,1,13000001,稀有勇士魂石,15,0,0,0,0,0,0
102101,1001002,1,13000001,稀有勇士魂石,15,0,0,0,0,0,0
102102,1001002,1,13000001,稀有勇士魂石,15,0,0,0,0,0,0
102103,1001002,1,13000001,稀有勇士魂石,15,0,0,0,0,0,0
102104,1001002,1,13000001,稀有勇士魂石,15,0,0,0,0,0,0
102105,1001002,1,13000001,稀有勇士魂石,15,0,0,0,0,0,0
102106,1001002,1,13000001,稀有勇士魂石,15,0,0,0,0,0,0
103101,1001003,1,13000001,稀有勇士魂石,15,0,0,0,0,0,0
103102,1001003,1,13000001,稀有勇士魂石,15,0,0,0,0,0,0
103103,1001003,1,13000001,稀有勇士魂石,15,0,0,0,0,0,0
103104,1001003,1,13000001,稀有勇士魂石,15,0,0,0,0,0,0
103105,1001003,1,13000001,稀有勇士魂石,15,0,0,0,0,0,0
103106,1001003,1,13000001,稀有勇士魂石,15,0,0,0,0,0,0
103107,1001003,1,13000001,稀有勇士魂石,15,0,0,0,0,0,0
103108,1001003,1,13000001,稀有勇士魂石,15,0,0,0,0,0,0
104101,1001004,1,13000001,稀有勇士魂石,15,0,0,0,0,0,0
104102,1001004,1,13000001,稀有勇士魂石,15,0,0,0,0,0,0
104103,1001004,1,13000001,稀有勇士魂石,15,0,0,0,0,0,0
104104,1001004,1,13000001,稀有勇士魂石,15,0,0,0,0,0,0
104105,1001004,1,13000001,稀有勇士魂石,15,0,0,0,0,0,0
104106,1001004,1,13000001,稀有勇士魂石,15,0,0,0,0,0,0
104201,1001004,2,13000002,精英勇士魂石,30,0,0,0,0,0,0
104202,1001004,2,13000002,精英勇士魂石,30,0,0,0,0,0,0
201101,1002001,1,13000001,稀有勇士魂石,15,0,0,0,0,0,0
