id,galaxy,galaxyname,condition,name,icon,taskid1,tasktypes1,n1,m1,p1,q1,txt1,taskid2,tasktypes2,n2,m2,p2,q2,txt2,taskid3,tasktypes3,n3,m3,p3,q3,txt3
10001,1,弗雷之域,0,智慧座,icon_wanhuajing_10001,1000101,129,1,0,0,0,登录1天,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10002,1,弗雷之域,0,天使座,icon_wanhuajing_10002,1000201,129,2,0,0,0,登录2天,1000202,123,200,0,0,0,累计获得日常活跃度,1000203,251,1,10001,0,0,激活“智慧座”内全部星耀
10003,1,弗雷之域,0,耀光座,icon_wanhuajing_10003,1000301,129,3,0,0,0,登录3天,1000302,123,300,0,0,0,累计获得日常活跃度,1000303,251,1,10002,0,0,激活“天使座”内全部星耀
10004,1,弗雷之域,0,圣王座,icon_wanhuajing_10004,1000401,129,4,0,0,0,登录4天,1000402,123,400,0,0,0,累计获得日常活跃度,1000403,251,1,10003,0,0,激活“耀光座”内全部星耀
10005,1,弗雷之域,0,权杖座,icon_wanhuajing_10005,1000501,129,5,0,0,0,登录5天,1000502,123,500,0,0,0,累计获得日常活跃度,1000503,251,1,10004,0,0,激活“圣王座”内全部星耀
10006,1,弗雷之域,0,双蛇座,icon_wanhuajing_10006,1000601,129,6,0,0,0,登录6天,1000602,123,600,0,0,0,累计获得日常活跃度,1000603,251,1,10005,0,0,激活“权杖座”内全部星耀
10007,1,弗雷之域,0,战斧座,icon_wanhuajing_10007,1000701,129,7,0,0,0,登录7天,1000702,123,700,0,0,0,累计获得日常活跃度,1000703,251,1,10006,0,0,激活“双蛇座”内全部星耀
20001,2,哈卡尔之耀,10007,凤凰座,icon_wanhuajing_20001,2000101,231,20,0,0,0,创世神木达到20级,2000102,217,1,10,0,0,拥有1名神话品质英雄,0,0,0,0,0,0,0
20002,2,哈卡尔之耀,10007,天箭座,icon_wanhuajing_20002,2000201,231,25,0,0,0,创世神木达到25级,2000202,12,180,0,0,0,拥有1名180级的英雄,0,0,0,0,0,0,0
20003,2,哈卡尔之耀,10007,尖刺座,icon_wanhuajing_20003,2000301,231,30,0,0,0,创世神木达到30级,2000302,91,10,2,1,0,完成10次公会狩猎-暗域幽魂,0,0,0,0,0,0,0
20004,2,哈卡尔之耀,10007,钢刃座,icon_wanhuajing_20004,2000401,231,30,0,0,0,创世神木达到30级,2000402,2,1000000,0,0,0,总战力达到100万,0,0,0,0,0,0,0
20005,2,哈卡尔之耀,10007,万象座,icon_wanhuajing_20005,2000501,231,25,0,0,0,创世神木达到25级,2000502,32,1,8,5,0,将1件红装强化到5星,0,0,0,0,0,0,0
