group,id,sort,needvip,costitem,costnum,item1,minnum1,maxnum1,value1,item2,minnum2,maxnum2,value2,item3,minnum3,maxnum3,value3,item4,minnum4,maxnum4,value4,item5,minnum5,maxnum5,value5,start_day,end_day
1,1,1,0,91000002,88,91000002,97,145,4000,91000002,145,218,3000,91000002,218,327,2000,91000002,327,491,800,91000002,491,888,200,1,20
1,2,2,0,91000002,288,91000002,317,412,5000,91000002,412,535,2500,91000002,535,696,1668,91000002,696,905,666,91000002,905,1888,166,1,20
1,3,3,0,91000002,888,91000002,977,1172,6000,91000002,1172,1406,2000,91000002,1406,1688,1334,91000002,1688,2025,533,91000002,2025,5888,133,1,20
1,4,4,0,91000002,2088,91000002,2297,2526,7000,91000002,2526,2779,1500,91000002,2779,3057,1000,91000002,3057,3363,400,91000002,3363,11888,100,1,20
1,5,5,0,91000002,5088,91000002,5597,5876,8000,91000002,5876,6170,1000,91000002,6170,6479,668,91000002,6479,6803,266,91000002,6803,22888,66,1,20
1,6,6,5,91000002,10888,91000002,11977,12575,9000,91000002,12575,13204,500,91000002,13204,13864,334,91000002,13864,14558,133,91000002,14558,38888,33,1,20
1,7,7,8,91000002,20888,91000002,22977,24125,9515,91000002,24125,25332,250,91000002,25332,26598,167,91000002,26598,27928,67,91000002,27928,58888,1,1,20
1,8,8,10,91000002,40888,91000002,44977,47225,9581,91000002,47225,49587,250,91000002,49587,52066,167,91000002,52066,54669,1,91000002,54669,98888,1,1,20
1,9,9,13,91000002,80888,91000002,88977,93425,9747,91000002,93425,98097,250,91000002,98097,103001,1,91000002,103001,108152,1,91000002,108152,168888,1,1,20
2,10,1,0,91000002,88,91000002,97,145,4000,91000002,145,218,3000,91000002,218,327,2000,91000002,327,491,800,91000002,491,888,200,1,20
2,11,2,0,91000002,288,91000002,317,412,5000,91000002,412,535,2500,91000002,535,696,1668,91000002,696,905,666,91000002,905,1888,166,1,20
2,12,3,0,91000002,888,91000002,977,1172,6000,91000002,1172,1406,2000,91000002,1406,1688,1334,91000002,1688,2025,533,91000002,2025,5888,133,1,20
2,13,4,0,91000002,2088,91000002,2297,2526,7000,91000002,2526,2779,1500,91000002,2779,3057,1000,91000002,3057,3363,400,91000002,3363,11888,100,1,20
2,14,5,0,91000002,5088,91000002,5597,5876,8000,91000002,5876,6170,1000,91000002,6170,6479,668,91000002,6479,6803,266,91000002,6803,22888,66,1,20
2,15,6,5,91000002,10888,91000002,11977,12575,9000,91000002,12575,13204,500,91000002,13204,13864,334,91000002,13864,14558,133,91000002,14558,38888,33,1,20
2,16,7,8,91000002,20888,91000002,22977,24125,9515,91000002,24125,25332,250,91000002,25332,26598,167,91000002,26598,27928,67,91000002,27928,58888,1,1,20
2,17,8,10,91000002,40888,91000002,44977,47225,9581,91000002,47225,49587,250,91000002,49587,52066,167,91000002,52066,54669,1,91000002,54669,98888,1,1,20
2,18,9,13,91000002,80888,91000002,88977,93425,9747,91000002,93425,98097,250,91000002,98097,103001,1,91000002,103001,108152,1,91000002,108152,168888,1,1,20
3,19,1,0,91000002,88,91000002,97,145,4000,91000002,145,218,3000,91000002,218,327,2000,91000002,327,491,800,91000002,491,888,200,1,20
3,20,2,0,91000002,288,91000002,317,412,5000,91000002,412,535,2500,91000002,535,696,1668,91000002,696,905,666,91000002,905,1888,166,1,20
3,21,3,0,91000002,888,91000002,977,1172,6000,91000002,1172,1406,2000,91000002,1406,1688,1334,91000002,1688,2025,533,91000002,2025,5888,133,1,20
3,22,4,0,91000002,2088,91000002,2297,2526,7000,91000002,2526,2779,1500,91000002,2779,3057,1000,91000002,3057,3363,400,91000002,3363,11888,100,1,20
3,23,5,0,91000002,5088,91000002,5597,5876,8000,91000002,5876,6170,1000,91000002,6170,6479,668,91000002,6479,6803,266,91000002,6803,22888,66,1,20
3,24,6,5,91000002,10888,91000002,11977,12575,9000,91000002,12575,13204,500,91000002,13204,13864,334,91000002,13864,14558,133,91000002,14558,38888,33,1,20
3,25,7,8,91000002,20888,91000002,22977,24125,9515,91000002,24125,25332,250,91000002,25332,26598,167,91000002,26598,27928,67,91000002,27928,58888,1,1,20
3,26,8,10,91000002,40888,91000002,44977,47225,9581,91000002,47225,49587,250,91000002,49587,52066,167,91000002,52066,54669,1,91000002,54669,98888,1,1,20
3,27,9,13,91000002,80888,91000002,88977,93425,9747,91000002,93425,98097,250,91000002,98097,103001,1,91000002,103001,108152,1,91000002,108152,168888,1,1,20
