itemid,itemname,itemdescription,itemtype,itemsubtype,goldprice,gemprice,itemicon,coinicon,itemcheek,comp_mark,overlapnum,needlv,paging,special,button,sort,rareeffect,cardcomposite,cardnum,vip,lotteryid,redtype,redshow,overflow,lotdrop,item_mark
10000000,GM工具,点击使用进入GM命令界面。,7,10,0,999,elogo13000101.png,0,4,0,2,0,1,0,2,1001,0,0,0,0,0,0,0,0,0,0
11100101,天命骑士,单体爆发，全体增益,1,1,0,9600,elogo11100101.png,0,4,1,999,0,0,4,3,1,0,0,0,0,0,2,0,0,0,0
11100201,水占巫女,范围攻击，单体增益,1,1,0,9600,elogo11100201.png,0,4,1,999,0,0,4,3,1,0,0,0,0,0,2,0,0,0,0
11100205,水占巫女,范围攻击，单体增益,1,1,0,12000,elogo11100201.png,0,5,1,999,0,0,5,3,1,0,0,0,0,0,2,0,0,0,0
11100301,秘银狩猎,单体控制，全体增益,1,1,0,9600,elogo11100301.png,0,4,1,999,0,0,4,3,1,0,0,0,0,0,2,0,0,0,0
11100401,漫游之星,持续输出，全体增益,1,1,0,9600,elogo11100401.png,0,4,1,999,0,0,4,3,1,0,0,0,0,0,2,0,0,0,0
11100501,不落之壁,辅助肉盾，全体保护,1,1,0,9600,elogo11100501.png,0,4,1,999,0,0,4,3,1,0,0,0,0,0,2,0,0,0,0
11100601,贵族之刃,单体爆发，持续输出,1,1,0,9600,elogo11100601.png,0,4,1,999,0,0,4,3,1,0,0,0,0,0,2,0,0,0,0
11100701,怒涛守护,辅助肉盾，高额减伤,1,1,0,9600,elogo11100701.png,0,4,1,999,0,0,4,3,1,0,0,0,0,0,2,0,0,0,0
11100801,神谕信使,群体辅助，群体控制,1,1,0,9600,elogo11100801.png,0,4,1,999,0,0,4,3,1,0,0,0,0,0,2,0,0,0,0
11100901,元素魔弓,持续输出，持续减益,1,1,0,9600,elogo11100901.png,0,4,1,999,0,0,4,3,1,0,0,0,0,0,2,0,0,0,0
11101001,奇想学徒,群体辅助，单体保护,1,1,0,9600,elogo11101001.png,0,4,1,999,0,0,4,3,1,0,0,0,0,0,2,0,0,0,0
11101101,诸海之灾,输出肉盾，能打能奶,1,1,0,9600,elogo11101101.png,0,4,1,999,0,0,4,3,1,0,0,0,0,0,2,0,0,0,0
11101201,北境之锤,控制肉盾，强力控制,1,1,0,4800,elogo11101201.png,0,2,1,999,0,0,2,3,1,0,0,0,0,0,2,0,0,0,0
11101202,北境之锤,控制肉盾，强力控制,1,1,0,9600,elogo11101201.png,0,4,1,999,0,0,4,3,1,0,0,0,0,0,2,0,0,0,0
11101205,北境之锤,控制肉盾，强力控制,1,1,0,12000,elogo11101201.png,0,5,1,999,0,0,5,3,1,0,0,0,0,0,2,0,0,0,0
11101301,凯旋之歌,群体控制，群体增益,1,1,0,4800,elogo11101301.png,0,2,1,999,0,0,2,3,1,0,0,0,0,0,2,0,0,0,0
11101302,凯旋之歌,群体控制，群体增益,1,1,0,9600,elogo11101301.png,0,4,1,999,0,0,4,3,1,0,0,0,0,0,2,0,0,0,0
11101401,狩魔鹰眼,单体爆发，持续输出,1,1,0,4800,elogo11101401.png,0,2,1,999,0,0,2,3,1,0,0,0,0,0,2,0,0,0,0
11101402,狩魔鹰眼,单体爆发，持续输出,1,1,0,9600,elogo11101401.png,0,4,1,999,0,0,4,3,1,0,0,0,0,0,2,0,0,0,0
11101501,魔导女爵,范围伤害，超强群攻,1,1,0,4800,elogo11101501.png,0,2,1,999,0,0,2,3,1,0,0,0,0,0,2,0,0,0,0
11101502,魔导女爵,范围伤害，超强群攻,1,1,0,9600,elogo11101501.png,0,4,1,999,0,0,4,3,1,0,0,0,0,0,2,0,0,0,0
11101601,怒涛修士,单体辅助，单体回复,1,1,0,2400,elogo11101601.png,0,1,1,999,0,0,1,3,1,0,0,0,0,0,2,0,0,0,0
11101701,怒涛护卫,单体输出，小额减伤,1,1,0,2400,elogo11101701.png,0,1,1,999,0,0,1,3,1,0,0,0,0,0,2,0,0,0,0
11200101,怒火狂刃,输出肉盾，免伤高攻,1,1,0,9600,elogo11200101.png,0,4,2,999,0,0,4,3,1,0,0,0,0,0,2,0,0,0,0
11200105,怒火狂刃,输出肉盾，免伤高攻,1,1,0,12000,elogo11200101.png,0,5,2,999,0,0,5,3,1,0,0,0,0,0,2,0,0,0,0
11200201,无畏之斧,范围伤害，攻防兼备,1,1,0,9600,elogo11200201.png,0,4,2,999,0,0,4,3,1,0,0,0,0,0,2,0,0,0,0
11200301,燎原暗箭,范围减益，持续输出,1,1,0,9600,elogo11200301.png,0,4,2,999,0,0,4,3,1,0,0,0,0,0,2,0,0,0,0
11200401,炎魂祭司,群体辅助，群体控制,1,1,0,9600,elogo11200401.png,0,4,2,999,0,0,4,3,1,0,0,0,0,0,2,0,0,0,0
11200501,不屈战魂,范围攻击，高额减伤,1,1,0,9600,elogo11200501.png,0,4,2,999,0,0,4,3,1,0,0,0,0,0,2,0,0,0,0
11200601,赤炎之锤,输出肉盾，持续输出,1,1,0,9600,elogo11200601.png,0,4,2,999,0,0,4,3,1,0,0,0,0,0,2,0,0,0,0
11200701,胜利长枪,单体爆发，高额回复,1,1,0,9600,elogo11200701.png,0,4,2,999,0,0,4,3,1,0,0,0,0,0,2,0,0,0,0
11200801,圣焰王女,范围攻击，最强群伤,1,1,0,9600,elogo11200801.png,0,4,2,999,0,0,4,3,1,0,0,0,0,0,2,0,0,0,0
11200901,林中女巫,范围攻击，单体减益,1,1,0,9600,elogo11200901.png,0,4,2,999,0,0,4,3,1,0,0,0,0,0,2,0,0,0,0
11201001,圣焰刀锋,多段攻击，速攻强袭,1,1,0,9600,elogo11201001.png,0,4,2,999,0,0,4,3,1,0,0,0,0,0,2,0,0,0,0
11201101,异族女王,单体控制，单体减益,1,1,0,4800,elogo11201101.png,0,2,2,999,0,0,2,3,1,0,0,0,0,0,2,0,0,0,0
11201102,异族女王,单体控制，单体减益,1,1,0,9600,elogo11201101.png,0,4,2,999,0,0,4,3,1,0,0,0,0,0,2,0,0,0,0
11201201,图腾之心,范围控制，高额减伤,1,1,0,4800,elogo11201201.png,0,2,2,999,0,0,2,3,1,0,0,0,0,0,2,0,0,0,0
11201202,图腾之心,范围控制，高额减伤,1,1,0,9600,elogo11201201.png,0,4,2,999,0,0,4,3,1,0,0,0,0,0,2,0,0,0,0
11201301,燃魂之矛,单体输出，持续回复,1,1,0,4800,elogo11201301.png,0,2,2,999,0,0,2,3,1,0,0,0,0,0,2,0,0,0,0
11201302,燃魂之矛,单体输出，持续回复,1,1,0,9600,elogo11201301.png,0,4,2,999,0,0,4,3,1,0,0,0,0,0,2,0,0,0,0
11201303,燃魂之矛,单体输出，持续回复,1,1,0,7200,elogo11201301.png,0,3,2,999,0,0,3,3,1,0,0,0,0,0,2,0,0,0,0
11201401,圣焰战士,范围伤害，持续输出,1,1,0,2400,elogo11201401.png,0,1,2,999,0,0,1,3,1,0,0,0,0,0,2,0,0,0,0
11201501,圣焰驯兽师,单体减益，范围伤害,1,1,0,2400,elogo11201501.png,0,1,2,999,0,0,1,3,1,0,0,0,0,0,2,0,0,0,0
11201601,峰峦霸主,范围攻击，单体减益,1,1,0,9600,elogo11201601.png,0,4,2,999,0,0,4,3,1,0,0,0,0,0,2,0,0,0,0
11300101,不朽剑魔,防御肉盾，高额防御,1,1,0,9600,elogo11300101.png,0,4,3,999,0,0,4,3,1,0,0,0,0,0,2,0,0,0,0
11300201,风雷魔巫,范围伤害，持续输出,1,1,0,9600,elogo11300201.png,0,4,3,999,0,0,4,3,1,0,0,0,0,0,2,0,0,0,0
11300207,风雷魔巫,范围伤害，持续输出,1,1,0,16800,elogo11300201.png,0,7,3,999,0,0,7,3,1,0,0,0,0,0,2,0,0,0,0
11300301,雷鸣圣主,输出肉盾，战败复活,1,1,0,9600,elogo11300301.png,0,4,3,999,0,0,4,3,1,0,0,0,0,0,2,0,0,0,0
11300307,雷鸣圣主,输出肉盾，战败复活,1,1,0,16800,elogo11300301.png,0,7,3,999,0,0,7,3,1,0,0,0,0,0,2,0,0,0,0
11300401,暗域行者,单体爆发，持续输出,1,1,0,9600,elogo11300401.png,0,4,3,999,0,0,4,3,1,0,0,0,0,0,2,0,0,0,0
11300407,暗域行者,单体爆发，持续输出,1,1,0,16800,elogo11300401.png,0,7,3,999,0,0,7,3,1,0,0,0,0,0,2,0,0,0,0
11300501,圣王之手,单体控制，单体收割,1,1,0,9600,elogo11300501.png,0,4,3,999,0,0,4,3,1,0,0,0,0,0,2,0,0,0,0
11300601,驱雷之手,范围攻击，全屏爆发,1,1,0,9600,elogo11300601.png,0,4,3,999,0,0,4,3,1,0,0,0,0,0,2,0,0,0,0
11300701,幻影守卫,输出肉盾，召唤幻像,1,1,0,9600,elogo11300701.png,0,4,3,999,0,0,4,3,1,0,0,0,0,0,2,0,0,0,0
11300801,影域修罗,单体输出，战败增益,1,1,0,9600,elogo11300801.png,0,4,3,999,0,0,4,3,1,0,0,0,0,0,2,0,0,0,0
11300901,黑暗神官,输出肉盾，高额回复,1,1,0,9600,elogo11300901.png,0,4,3,999,0,0,4,3,1,0,0,0,0,0,2,0,0,0,0
11301001,裁决判官,群体回复，单体收割,1,1,0,4800,elogo11301001.png,0,2,3,999,0,0,2,3,1,0,0,0,0,0,2,0,0,0,0
11301002,裁决判官,群体回复，单体收割,1,1,0,9600,elogo11301001.png,0,4,3,999,0,0,4,3,1,0,0,0,0,0,2,0,0,0,0
11301101,影之罗刹,速攻强袭，强力增益,1,1,0,4800,elogo11301101.png,0,2,3,999,0,0,2,3,1,0,0,0,0,0,2,0,0,0,0
11301102,影之罗刹,速攻强袭，强力增益,1,1,0,9600,elogo11301101.png,0,4,3,999,0,0,4,3,1,0,0,0,0,0,2,0,0,0,0
11301106,影之罗刹,速攻强袭，强力增益,1,1,0,14400,elogo11301101.png,0,6,3,999,0,0,6,3,1,0,0,0,0,0,2,0,0,0,0
11301201,暗之剑豪,输出肉盾，无敌回复,1,1,0,4800,elogo11301201.png,0,2,3,999,0,0,2,3,1,0,0,0,0,0,2,0,0,0,0
11301202,暗之剑豪,输出肉盾，无敌回复,1,1,0,9600,elogo11301201.png,0,4,3,999,0,0,4,3,1,0,0,0,0,0,2,0,0,0,0
