str_id,str
STR_UI_ani_zhandou_str_0,万人敌
STR_UI_ani_zhandou_str_1,群体伤害，大范围控制
STR_UI_ani_zhandou_0_str_0,万人敌
STR_UI_ani_zhandou_0_str_1,群体伤害，大范围控制
STR_UI_Bag_XuanZe_str_0,礼包选择
STR_UI_Bag_XuanZe_str_1,最大
STR_UI_Bag_XuanZe_str_2,确定
STR_UI_BaoShi_HeCheng_Window_str_0,(合成成功后，已装备的宝石消失)
STR_UI_BaoShi_HeCheng_Window_str_1,宝石合成
STR_UI_BaoShi_HeCheng_Window_str_2,5级攻击宝石
STR_UI_BaoShi_HeCheng_Window_str_3,装备
STR_UI_BaoShi_HeCheng_Window_str_4,宝石已到达最大等级
STR_UI_BaoShi_HeCheng_Window_str_5,5级攻击宝石
STR_UI_BaoShi_HeCheng_Window_str_6,快速合成
STR_UI_BaoShi_HeCheng_Window_str_7,(材料不足可用钻石合成)
STR_UI_BaoShi_HeCheng_Window_str_8,基础属性
STR_UI_BaoShi_HeCheng_Window_str_9,物理攻击:
STR_UI_BaoShi_HeCheng_Window_str_10,卸下
STR_UI_BaoShi_HeCheng_Window_str_11,合成消耗
STR_UI_BaoShi_HeCheng_Window_str_12,(材料不足可用钻石合成)
STR_UI_BaoShi_HeCheng_Window_str_13,贵族7开启
STR_UI_BaoShi_Window_str_0,5级攻击宝石
STR_UI_BaoShi_Window_str_1,攻击+25
STR_UI_BaoShi_Window_str_2,宝石合成
STR_UI_BaoShi_Window_str_3,5级攻击宝石
STR_UI_BaoShi_Window_str_4,快速合成
STR_UI_BaoShi_Window_str_5,材料不足可用钻石合成
STR_UI_BaoShi_Window_str_6,一键合成
STR_UI_BaoShi_Window_str_7,(材料不足可用钻石合成)
STR_UI_BaoShi_Window_str_8,贵族7开启
STR_UI_BeiBaoJianMian_str_0,背包
STR_UI_BeiBaoJianMian_str_1,暂无此类物品
STR_UI_BeiBaoJianMian_str_2,全部
STR_UI_BeiBaoJianMian_str_3,碎片
STR_UI_BeiBaoJianMian_str_4,魂石
STR_UI_BeiBaoJianMian_str_5,材料
STR_UI_BeiBaoJianMian_str_6,道具
STR_UI_BeiBaoJianMian_str_7,出售
STR_UI_BeiBaoJianMian_str_8,使用
STR_UI_BeiBaoJianMian_str_9,详情
STR_UI_BeiBaoJianMian_str_10,合成
STR_UI_BeiBaoJianMian_str_11,碎魂
STR_UI_BeiBaoJianMian_str_12,物品详情
STR_UI_BeiBaoJianMian_str_13,物品名字
STR_UI_BeiBaoJianMian_str_14,数量:
STR_UI_BeiBaoJianMian_str_15,售价:
STR_UI_BeiBaoJianMian_str_16,该道具无法出售
STR_UI_BeiBao_FenJie_str_0,分 解
STR_UI_BeiBao_FenJie_str_1,最大
STR_UI_BeiBao_FenJie_str_2,取 消
STR_UI_BeiBao_FenJie_str_3,分 解
STR_UI_BigBeatsBuy_str_0,取消
STR_UI_BigBeatsBuy_str_1,前往充值
STR_UI_BigBeatsBuy_str_2,提示
STR_UI_BigBeatsBuy_str_3,兑换
STR_UI_BigBeatsBuy_str_4,火焰魔王(31天)
STR_UI_BigBeatsBuy_str_5,是否花费
STR_UI_BigBeatsBuy_str_6,可以享受               优惠
STR_UI_BigBeatsBuy_str_7,5折
STR_UI_BigBeatsBuy_str_8,已享受               优惠
STR_UI_BigBeatsBuy_str_9,无法兑换
STR_UI_BigBeatsBuy_str_10,火焰魔王(31天)
STR_UI_BigBeatsBuy_str_11,不足
STR_UI_BigBeatsBuy_str_12,当前
STR_UI_BigBeatsBuy_str_13,开启自动兑换后，该巨兽时间不足24小时
STR_UI_BigBeatsBuy_str_14,将以
STR_UI_BigBeatsBuy_str_15,8折价格自动兑换
STR_UI_BigBeatsBuy_str_16,是否确认开启自动兑换
STR_UI_BigBeatsBuy_str_17,关闭自动兑换，该巨兽到期后无法享受兑换       优惠
STR_UI_BigBeatsBuy_str_18,8折
STR_UI_BigBeatsBuy_str_19,是否确认关闭自动兑换
STR_UI_BigBeatsBuy_str_20,可通过充值获得，每充值           =
STR_UI_BigBeatsBuy_str_21,兑换巨兽会消耗一定数量
STR_UI_BigBeatsBuy_str_22,不足
STR_UI_BigBeatsBuy_str_23,火焰魔王(31天)
STR_UI_BigBeatsBuy_str_24,自动兑换
STR_UI_BigBeatsBuy_str_25,已关闭
STR_UI_BigBeatsBuy_str_26,当前
STR_UI_BigBeatsBuy_str_27,火焰魔王(31天)
STR_UI_BigBeatsBuy_str_28,您的巨兽
STR_UI_BigBeatsBuy_str_29,已过期
STR_UI_BigBeatsBuy_str_30,当前
STR_UI_BigBeatsBuy_str_31,当前未拥有可上阵的巨兽
STR_UI_BigBeatsBuy_str_32,是否前往兑换
STR_UI_BigBeatsBuy_str_33,勇气  + 5
STR_UI_BigBeatsBuy_str_34,是否确定要卸下军旗
STR_UI_BigBeatsBuy_str_35,卸下后强化等级回归1级，同时返还100%的强化消耗材料
STR_UI_BigBeatsBuy_str_36,勇气  + 5
STR_UI_BigBeatsBuy_str_37,已部署，是否确定要更改部署
STR_UI_BigBeatsBuy_str_38,是否确定将自动续费巨兽修改为:
STR_UI_BigBeatsBuy_str_39,当前自动续费为:
STR_UI_BuySweepBox_str_0,确 定
STR_UI_BuySweepBox_str_1,取 消
STR_UI_BuySweepBox_str_2,购买
STR_UI_BuySweepBox_str_3,花费
STR_UI_BuySweepBox_str_4,（今日已购买           次)
STR_UI_BuySweepBox_str_5,购买扫荡次数
STR_UI_BuySweepBox_str_6,今日重置次数已用完，当前VIP    ，提升VIP等级可增加重置次数。
STR_UI_BuySweepBox_str_7,确 定
STR_UI_BuySweepBox_str_8,今日重置次数已用完，当前VIP    ，重置次数已达上限。
STR_UI_BuySweepBox_str_9,确 定
STR_UI_ceshi_str_0,确定
STR_UI_ceshi_str_1,添加物品
STR_UI_ceshi_str_2,添加英雄
STR_UI_ceshi_str_3,打开物品表
STR_UI_ceshi_str_4,打开英雄表
STR_UI_ceshi_str_5,关闭菊花
STR_UI_ceshi_str_6,打开主界面
STR_UI_ceshi_str_7,清除日志
STR_UI_ceshi_str_8,送1GM.xls
STR_UI_ceshi_str_9,添加邮件
STR_UI_ChangeName_str_0,请输入名称
STR_UI_ChangeName_str_1,更改领主名称
STR_UI_ChangeName_str_2,更改
STR_UI_ChangeName_str_3,消耗:
STR_UI_ChangeName_str_4,请输入名称
STR_UI_ChengChiRuQin_ChengChi_str_0,城池资源
STR_UI_ChengChiRuQin_ChengChi_str_1,各势力城池资源
STR_UI_ChengChiRuQin_ChengChi_str_2,领取城池资源结束
STR_UI_ChengChiRuQin_ChengChi_str_3,已结束
STR_UI_ChengChiRuQin_ChengChi_str_4,帝国
STR_UI_ChengChiRuQin_ChengChi_str_5,城池名字
STR_UI_ChengChiRuQin_ChengChi_str_6,玩家名六个字
STR_UI_ChengChiRuQin_ChengChi_str_7,领取次数:
STR_UI_ChengChiRuQin_ChengChi_str_8,详情
STR_UI_ChengChiRuQin_ChengChi_str_9,前往
STR_UI_ChengChiRuQin_ChengChi_str_10,无人领取
STR_UI_ChengChiRuQin_ChengChi_str_11,玩家的名字
STR_UI_ChengChiRuQin_ShouQi_str_0,手气排行
STR_UI_ChengChiRuQin_ShouQi_str_1,排名
STR_UI_ChengChiRuQin_ShouQi_str_2,玩家
STR_UI_ChengChiRuQin_ShouQi_str_3,获得奖励
STR_UI_ChengChiRuQin_ShouQi_str_4,玩家名六个字
STR_UI_ChuangJianJueSe_str_0,玩家的名字
STR_UI_ChuangJianJueSe_str_1,创    建
STR_UI_DanMu_str_0,发送
STR_UI_DanMu_str_1,点击输入弹幕....
STR_UI_DanMu_str_2,字号
STR_UI_DanMu_str_3,超大
STR_UI_DanMu_str_4,20号
STR_UI_DanMu_str_5,24号
STR_UI_DanMu_str_6,28号
STR_UI_DanMu_str_7,速度
STR_UI_DanMu_str_8,一般
STR_UI_DanMu_str_9,正常
STR_UI_DanMu_str_10,较快
STR_UI_DanMu_str_11,飞快
STR_UI_DanMu_str_12,弹幕设置
STR_UI_DanMu_str_13,字色
STR_UI_DanMu_str_14,关闭
STR_UI_DanMu_str_15,贵族1可发送弹幕
STR_UI_DengLuJieMian_str_0,帐号:
STR_UI_DengLuJieMian_str_1,密码:
STR_UI_DengLuJieMian_str_2,适度游戏益脑 沉迷游戏伤身
STR_UI_DengLuJieMian_str_3,确  定
STR_UI_DengLuJieMian_str_4,抵制不良游戏
STR_UI_DengLuJieMian_str_5,拒绝盗版游戏
STR_UI_DengLuJieMian_str_6,注意自我保护
STR_UI_DengLuJieMian_str_7,谨防上当受骗
STR_UI_DengLuJieMian_str_8,适度游戏益脑
STR_UI_DengLuJieMian_str_9,沉迷游戏伤身
STR_UI_DengLuJieMian_str_10,合理安排时间
STR_UI_DengLuJieMian_str_11,享受健康生活
STR_UI_DengLuPaiDui_str_0,正在排队
STR_UI_DengLuPaiDui_str_1,取消
STR_UI_DengLuPaiDui_str_2,服务器:
STR_UI_DengLuPaiDui_str_3,血染征袍108区
STR_UI_DengLuPaiDui_str_4,队列位置:
STR_UI_DengLuPaiDui_str_5,前面还有256人
STR_UI_DengLuPaiDui_str_6,预计时间:
STR_UI_DengLuPaiDui_str_7,大于1小时
STR_UI_DiJiangXinXi_str_0,点击任意位置关闭窗口
STR_UI_DiJiangXinXi_str_1,定位
STR_UI_DiJiangXinXi_str_2,英雄技能
STR_UI_DiJiangXinXi_str_3,近
STR_UI_DiJiangXinXi_str_4,英雄的名字
STR_UI_DiJiangXinXi_str_5,强力输出，单体控制
STR_UI_DiJiangXinXi_str_6,拥有高攻击及稳定的输出，善用短刀，身法灵活多变能对多个敌人造成大量伤害
STR_UI_DiJiangXinXi_str_7,被动
STR_UI_DiJiangXinXi_str_8,技能名
STR_UI_DiJiangXinXi_str_9,士兵名字
STR_UI_DiJiangXinXi_str_10,近
STR_UI_DiJiangXinXi_str_11,战术
STR_UI_DiJiangXinXi_str_12,技能
STR_UI_DiJiangXinXi_str_13,拥有高攻击及稳定的输出，善用短刀，身法灵活多变能对多个敌人造成大量伤害
STR_UI_DiJiangXinXi_str_14,被动
STR_UI_DiJiangXinXi_str_15,技能名
STR_UI_DiJiangXinXi_str_16,拥有高攻击及稳定的输出，善用短刀，身法灵活多变能对多个敌人造成大量伤害
STR_UI_DiJiangXinXi_str_17,被动
STR_UI_DiJiangXinXi_str_18,技能名
STR_UI_DiJiangXinXi_str_19,属性的名字
STR_UI_DiJiangXinXi_str_20,属性的名字
STR_UI_DiJiangXinXi_str_21,属性的名字
STR_UI_DiJiangXinXi_str_22,属性的名字
STR_UI_EquipInfo_Window_str_0,基础属性
STR_UI_EquipInfo_Window_str_1,装备详情
STR_UI_EquipInfo_Window_str_2,前往强化
STR_UI_EquipInfo_Window_str_3,装备名字
STR_UI_EquipInfo_Window_str_4,卓越套装
STR_UI_EquipInfo_Window_str_5,2件套装:攻击附带吸血
STR_UI_EquipInfo_Window_str_6,4件套装技能释放范围 增加10码
STR_UI_EquipInfo_Window_str_7,6件套装:生命上限增加10%
STR_UI_EquipInfo_Window_str_8,更换装备
STR_UI_EquipInfo_Window_str_9,攻击属性
STR_UI_EquipInfo_Window_str_10,攻击属性
STR_UI_EquipMain_str_0,装备
STR_UI_EquipMain_str_1,卓越套装
STR_UI_EquipMain_str_2,更换
STR_UI_EquipMain_str_3,卓越斗篷
STR_UI_EquipMain_str_4,战力:
STR_UI_EquipMain_str_5,强化属性
STR_UI_EquipMain_str_6,攻击属性
STR_UI_EquipMain_str_7,防御属性
STR_UI_EquipMain_str_8,卓越套装
STR_UI_EquipMain_str_9,2件套装:攻击附带吸血
STR_UI_EquipMain_str_10,4件套装技能释放范围 增加10码
STR_UI_EquipMain_str_11,6件套装:生命上限增加10%
STR_UI_EquipMain_str_12,强化1次
STR_UI_EquipMain_str_13,一键强化
STR_UI_EquipMain_str_14,强化全部装备
STR_UI_EquipMain_str_15,宝石合成
STR_UI_EquipMain_str_16,一键卸下
STR_UI_EquipMain_str_17,宝石的名字
STR_UI_EquipMain_str_18,宝石的名字
STR_UI_EquipMain_str_19,宝石的名字
STR_UI_EquipMain_str_20,宝石的名字
STR_UI_EquipMain_str_21,宝石的名字
STR_UI_EquipMain_str_22,宝石的名字
STR_UI_EquipMain_str_23,一键镶嵌
STR_UI_EquipMain_str_24,卓越斗篷
STR_UI_EquipMain_str_25,评分:
STR_UI_EquipMain_str_26,附魔属性
STR_UI_EquipMain_str_27,附魔
STR_UI_EquipMain_str_28,攻击+200
STR_UI_EquipMain_str_29,攻击+200
STR_UI_EquipMain_str_30,暂未佩戴装备
STR_UI_EquipMain_str_31,（点击图标穿戴对应装备）
STR_UI_EquipMain_str_32,强化
