regionid,name,show,needlevel,next,description,jneedstar1,prop11,propnumber11,prop12,propnumber12,prop13,propnumber13,jneedstar2,prop21,propnumber21,prop22,propnumber22,prop23,propnumber23,jneedstar3,prop31,propnumber31,prop32,propnumber32,prop33,propnumber33
10001,第1章  逃亡,1,1,0,章节描述,3,91000002,50,0,0,0,0,6,91000002,50,0,0,0,0,12,91000002,100,0,0,0,0
10002,第2章  北岭,1,1,0,章节描述,3,91000002,50,0,0,0,0,6,91000002,50,0,0,0,0,12,91000002,100,0,0,0,0
10003,第3章  瓦特阿尔,1,1,0,章节描述,4,91000002,50,0,0,0,0,8,91000002,50,0,0,0,0,12,91000002,100,0,0,0,0
10004,第4章  号角盆地,1,15,0,章节描述,4,91000002,50,0,0,0,0,8,91000002,50,0,0,0,0,12,91000002,100,0,0,0,0
10005,第5章  圣剑同盟,1,15,0,章节描述,4,91000002,50,0,0,0,0,8,91000002,50,0,0,0,0,12,91000002,100,0,0,0,0
10006,第6章  双城奇兵,1,15,0,章节描述,4,91000002,50,0,0,0,0,8,91000002,50,0,0,0,0,12,91000002,100,0,0,0,0
10007,第7章  末日之刃,1,15,0,章节描述,4,91000002,50,0,0,0,0,8,91000002,50,0,0,0,0,12,91000002,100,0,0,0,0
10008,第8章  死亡阴影,1,15,0,章节描述,4,91000002,50,0,0,0,0,8,91000002,50,0,0,0,0,12,91000002,100,0,0,0,0
10009,第9章  诸神黄昏,1,26,0,章节描述,4,91000002,50,0,0,0,0,8,91000002,50,0,0,0,0,12,91000002,100,0,0,0,0
10010,第10章  遗忘海岸,1,28,0,章节描述,4,91000002,50,0,0,0,0,8,91000002,50,0,0,0,0,12,91000002,100,0,0,0,0
10011,第11章  双城奇兵,1,31,0,章节描述,4,91000002,50,0,0,0,0,8,91000002,50,0,0,0,0,12,91000002,100,0,0,0,0
10012,第12章  末日之刃,1,32,0,章节描述,4,91000002,50,0,0,0,0,8,91000002,50,0,0,0,0,12,91000002,100,0,0,0,0
10013,第13章  死亡阴影,1,32,0,章节描述,4,91000002,50,0,0,0,0,8,91000002,50,0,0,0,0,12,91000002,100,0,0,0,0
10014,第14章  诸神黄昏,1,38,0,章节描述,4,91000002,50,0,0,0,0,8,91000002,50,0,0,0,0,12,91000002,100,0,0,0,0
10015,第15章  遗忘海岸,1,40,0,章节描述,4,91000002,50,0,0,0,0,8,91000002,50,0,0,0,0,12,91000002,100,0,0,0,0
10016,第16章  双城奇兵,1,42,0,章节描述,4,91000002,50,0,0,0,0,8,91000002,50,0,0,0,0,12,91000002,100,0,0,0,0
10017,第17章  末日之刃,1,44,0,章节描述,4,91000002,50,0,0,0,0,8,91000002,50,0,0,0,0,12,91000002,100,0,0,0,0
10018,第18章  死亡阴影,1,44,0,章节描述,4,91000002,50,0,0,0,0,8,91000002,50,0,0,0,0,12,91000002,100,0,0,0,0
10019,第19章  诸神黄昏,1,48,0,章节描述,4,91000002,50,0,0,0,0,8,91000002,50,0,0,0,0,12,91000002,100,0,0,0,0
10020,第20章  遗忘海岸,1,50,0,章节描述,4,91000002,50,0,0,0,0,8,91000002,50,0,0,0,0,12,91000002,100,0,0,0,0
10021,第21章  死亡阴影,1,51,0,章节描述,4,91000002,50,0,0,0,0,8,91000002,50,0,0,0,0,12,91000002,100,0,0,0,0
10022,第22章  诸神黄昏,1,52,0,章节描述,4,91000002,50,0,0,0,0,8,91000002,50,0,0,0,0,12,91000002,100,0,0,0,0
10023,第23章  遗忘海岸,1,53,0,章节描述,4,91000002,50,0,0,0,0,8,91000002,50,0,0,0,0,12,91000002,100,0,0,0,0
10024,第24章  末日之刃,1,54,0,章节描述,4,91000002,50,0,0,0,0,8,91000002,50,0,0,0,0,12,91000002,100,0,0,0,0
10025,第25章  死亡阴影,1,55,0,章节描述,4,91000002,50,0,0,0,0,8,91000002,50,0,0,0,0,12,91000002,100,0,0,0,0
10026,第26章  诸神黄昏,1,56,0,章节描述,4,91000002,50,0,0,0,0,8,91000002,50,0,0,0,0,12,91000002,100,0,0,0,0
