levelconfigid,storyid
110100,0
110101,9010101
110102,0
110103,0
110104,9010401
110105,0
110106,0
110107,0
110108,9010801
110109,0
110110,0
110111,0
110112,9011201
110201,0
110202,0
110203,0
110204,0
110205,0
110206,0
110207,0
110208,0
110209,0
110210,0
110211,0
110212,0
110213,0
110214,0
110215,0
110216,0
110217,0
110218,0
110219,0
110220,0
110221,0
110222,0
110223,0
110224,0
110225,0
110226,0
110227,0
110228,0
110301,0
110302,0
110303,0
110304,0
110305,0
110306,0
110307,0
110308,0
110309,0
110310,0
110311,0
110312,0
110313,0
110314,0
110315,0
110316,0
110317,0
110318,0
110319,0
110320,0
110321,0
110322,0
110323,0
110324,0
110325,0
110326,0
110327,0
110328,0
110329,0
110330,0
110331,0
110332,0
110333,0
110334,0
110335,0
110336,0
110401,0
110402,0
110403,0
110404,0
110405,0
110406,0
110407,0
110408,0
110409,0
110410,0
110411,0
110412,0
110413,0
110414,0
110415,0
110416,0
110417,0
110418,0
110419,0
110420,0
110421,0
110422,0
110423,0
110424,0
110425,0
110426,0
110427,0
110428,0
110429,0
110430,0
110431,0
110432,0
110433,0
110434,0
110435,0
110436,0
110501,0
110502,0
110503,0
110504,0
110505,0
110506,0
110507,0
110508,0
110509,0
110510,0
110511,0
110512,0
110513,0
110514,0
110515,0
110516,0
110517,0
110518,0
110519,0
110520,0
110521,0
110522,0
110523,0
110524,0
110525,0
110526,0
110527,0
110528,0
110529,0
110530,0
110531,0
110532,0
110533,0
110534,0
110535,0
110536,0
110537,0
110538,0
110539,0
110540,0
110601,0
110602,0
110603,0
110604,0
110605,0
110606,0
110607,0
110608,0
110609,0
110610,0
110611,0
110612,0
110613,0
110614,0
110615,0
110616,0
110617,0
110618,0
110619,0
110620,0
110621,0
110622,0
110623,0
110624,0
110625,0
110626,0
110627,0
110628,0
110629,0
110630,0
110631,0
110632,0
110633,0
110634,0
110635,0
110636,0
110637,0
110638,0
110639,0
110640,0
110701,0
110702,0
110703,0
110704,0
110705,0
110706,0
110707,0
110708,0
110709,0
110710,0
110711,0
110712,0
110713,0
110714,0
110715,0
110716,0
110717,0
110718,0
110719,0
110720,0
110721,0
110722,0
110723,0
110724,0
110725,0
110726,0
110727,0
110728,0
110729,0
110730,0
110731,0
110732,0
110733,0
110734,0
110735,0
110736,0
110737,0
110738,0
110739,0
110740,0
110801,0
110802,0
110803,0
110804,0
110805,0
110806,0
110807,0
110808,0
110809,0
110810,0
110811,0
110812,0
110813,0
110814,0
110815,0
110816,0
110817,0
110818,0
110819,0
110820,0
110821,0
110822,0
110823,0
110824,0
110825,0
110826,0
110827,0
110828,0
110829,0
110830,0
110831,0
110832,0
110833,0
110834,0
110835,0
110836,0
110837,0
110838,0
110839,0
110840,0
110901,0
110902,0
110903,0
110904,0
110905,0
110906,0
110907,0
110908,0
110909,0
110910,0
110911,0
110912,0
110913,0
110914,0
110915,0
110916,0
110917,0
110918,0
110919,0
110920,0
110921,0
110922,0
110923,0
110924,0
110925,0
110926,0
110927,0
110928,0
110929,0
110930,0
110931,0
110932,0
110933,0
110934,0
110935,0
110936,0
110937,0
110938,0
110939,0
110940,0
111001,0
111002,0
111003,0
111004,0
111005,0
111006,0
111007,0
111008,0
111009,0
111010,0
111011,0
111012,0
111013,0
111014,0
111015,0
111016,0
111017,0
111018,0
111019,0
111020,0
111021,0
111022,0
111023,0
111024,0
111025,0
111026,0
111027,0
111028,0
111029,0
111030,0
111031,0
111032,0
111033,0
111034,0
111035,0
111036,0
111037,0
111038,0
111039,0
111040,0
111101,0
111102,0
111103,0
111104,0
111105,0
111106,0
111107,0
111108,0
111109,0
111110,0
111111,0
111112,0
111113,0
111114,0
111115,0
111116,0
111117,0
111118,0
111119,0
111120,0
111121,0
111122,0
111123,0
111124,0
111125,0
111126,0
111127,0
111128,0
111129,0
111130,0
111131,0
111132,0
111133,0
111134,0
111135,0
111136,0
111137,0
111138,0
111139,0
111140,0
111201,0
111202,0
111203,0
111204,0
111205,0
111206,0
111207,0
111208,0
111209,0
111210,0
111211,0
111212,0
111213,0
111214,0
111215,0
111216,0
111217,0
111218,0
111219,0
111220,0
111221,0
111222,0
111223,0
111224,0
111225,0
111226,0
111227,0
111228,0
111229,0
111230,0
111231,0
111232,0
111233,0
111234,0
111235,0
111236,0
111237,0
111238,0
111239,0
111240,0
111301,0
111302,0
111303,0
111304,0
111305,0
111306,0
111307,0
111308,0
111309,0
111310,0
111311,0
111312,0
111313,0
111314,0
111315,0
111316,0
111317,0
111318,0
111319,0
111320,0
111321,0
111322,0
111323,0
111324,0
111325,0
111326,0
111327,0
111328,0
111329,0
111330,0
111331,0
111332,0
111333,0
111334,0
111335,0
111336,0
111337,0
111338,0
111339,0
111340,0
111401,0
111402,0
111403,0
111404,0
111405,0
111406,0
111407,0
111408,0
111409,0
111410,0
111411,0
111412,0
111413,0
111414,0
111415,0
111416,0
111417,0
111418,0
111419,0
111420,0
111421,0
111422,0
111423,0
111424,0
111425,0
111426,0
111427,0
111428,0
111429,0
111430,0
111431,0
111432,0
111433,0
111434,0
111435,0
111436,0
111437,0
111438,0
111439,0
111440,0
111501,0
111502,0
111503,0
111504,0
111505,0
111506,0
111507,0
111508,0
111509,0
111510,0
111511,0
111512,0
111513,0
111514,0
111515,0
111516,0
111517,0
111518,0
111519,0
111520,0
111521,0
111522,0
111523,0
111524,0
111525,0
111526,0
111527,0
111528,0
111529,0
111530,0
111531,0
111532,0
111533,0
111534,0
111535,0
111536,0
111537,0
111538,0
111539,0
111540,0
111601,0
111602,0
111603,0
111604,0
111605,0
111606,0
111607,0
111608,0
111609,0
111610,0
111611,0
111612,0
111613,0
111614,0
111615,0
111616,0
111617,0
111618,0
111619,0
111620,0
111621,0
111622,0
111623,0
111624,0
111625,0
111626,0
111627,0
111628,0
111629,0
111630,0
111631,0
111632,0
111633,0
111634,0
111635,0
111636,0
111637,0
111638,0
111639,0
111640,0
111701,0
111702,0
111703,0
111704,0
111705,0
111706,0
111707,0
111708,0
111709,0
111710,0
111711,0
111712,0
111713,0
111714,0
111715,0
111716,0
111717,0
111718,0
111719,0
111720,0
111721,0
111722,0
111723,0
111724,0
111725,0
111726,0
111727,0
111728,0
111729,0
111730,0
111731,0
111732,0
111733,0
111734,0
111735,0
111736,0
111737,0
111738,0
111739,0
111740,0
111801,0
111802,0
111803,0
111804,0
111805,0
111806,0
111807,0
111808,0
111809,0
111810,0
111811,0
111812,0
111813,0
111814,0
111815,0
111816,0
111817,0
111818,0
111819,0
111820,0
111821,0
111822,0
111823,0
111824,0
111825,0
111826,0
111827,0
111828,0
111829,0
111830,0
111831,0
111832,0
111833,0
111834,0
111835,0
111836,0
111837,0
111838,0
111839,0
111840,0
111901,0
111902,0
111903,0
111904,0
111905,0
111906,0
111907,0
111908,0
111909,0
111910,0
111911,0
111912,0
111913,0
111914,0
111915,0
111916,0
111917,0
111918,0
111919,0
111920,0
111921,0
111922,0
111923,0
111924,0
111925,0
111926,0
111927,0
111928,0
111929,0
111930,0
111931,0
111932,0
111933,0
111934,0
111935,0
111936,0
111937,0
111938,0
111939,0
111940,0
112001,0
112002,0
112003,0
112004,0
112005,0
112006,0
112007,0
112008,0
112009,0
112010,0
112011,0
112012,0
112013,0
112014,0
112015,0
112016,0
112017,0
112018,0
112019,0
112020,0
112021,0
112022,0
112023,0
112024,0
112025,0
112026,0
112027,0
112028,0
112029,0
112030,0
112031,0
112032,0
112033,0
112034,0
112035,0
112036,0
112037,0
112038,0
112039,0
112040,0
112101,0
112102,0
112103,0
112104,0
112105,0
112106,0
112107,0
112108,0
112109,0
112110,0
112111,0
112112,0
112113,0
112114,0
112115,0
112116,0
112117,0
112118,0
112119,0
112120,0
112121,0
112122,0
112123,0
112124,0
112125,0
112126,0
112127,0
112128,0
112129,0
112130,0
112131,0
112132,0
112133,0
112134,0
112135,0
112136,0
112137,0
112138,0
112139,0
112140,0
112201,0
112202,0
112203,0
112204,0
112205,0
112206,0
112207,0
112208,0
112209,0
112210,0
112211,0
112212,0
112213,0
112214,0
112215,0
112216,0
112217,0
112218,0
112219,0
112220,0
112221,0
112222,0
112223,0
112224,0
112225,0
112226,0
112227,0
112228,0
112229,0
112230,0
112231,0
112232,0
112233,0
112234,0
112235,0
112236,0
112237,0
112238,0
112239,0
112240,0
112301,0
112302,0
112303,0
112304,0
112305,0
112306,0
112307,0
112308,0
112309,0
112310,0
112311,0
112312,0
112313,0
112314,0
112315,0
112316,0
112317,0
112318,0
112319,0
112320,0
112321,0
112322,0
112323,0
112324,0
112325,0
112326,0
112327,0
112328,0
112329,0
112330,0
112331,0
112332,0
112333,0
112334,0
112335,0
112336,0
112337,0
112338,0
112339,0
112340,0
112401,0
112402,0
112403,0
112404,0
112405,0
112406,0
112407,0
112408,0
112409,0
112410,0
112411,0
112412,0
112413,0
112414,0
112415,0
112416,0
112417,0
112418,0
112419,0
112420,0
112421,0
112422,0
112423,0
112424,0
112425,0
112426,0
112427,0
112428,0
112429,0
112430,0
112431,0
112432,0
112433,0
112434,0
112435,0
112436,0
112437,0
112438,0
112439,0
112440,0
112501,0
112502,0
112503,0
112504,0
112505,0
112506,0
112507,0
112508,0
112509,0
112510,0
112511,0
112512,0
112513,0
112514,0
112515,0
112516,0
112517,0
112518,0
112519,0
112520,0
112521,0
112522,0
112523,0
112524,0
112525,0
112526,0
112527,0
112528,0
112529,0
112530,0
112531,0
112532,0
112533,0
112534,0
112535,0
112536,0
112537,0
112538,0
112539,0
112540,0
112601,0
112602,0
112603,0
112604,0
112605,0
112606,0
112607,0
112608,0
112609,0
112610,0
112611,0
112612,0
112613,0
112614,0
112615,0
112616,0
112617,0
112618,0
112619,0
112620,0
112621,0
112622,0
112623,0
112624,0
112625,0
112626,0
112627,0
112628,0
112629,0
112630,0
112631,0
112632,0
112633,0
112634,0
112635,0
112636,0
112637,0
112638,0
112639,0
112640,0
112701,0
112702,0
112703,0
112704,0
112705,0
112706,0
112707,0
112708,0
112709,0
112710,0
112711,0
112712,0
112713,0
112714,0
112715,0
112716,0
112717,0
112718,0
112719,0
112720,0
112721,0
112722,0
112723,0
112724,0
112725,0
112726,0
112727,0
112728,0
112729,0
112730,0
112731,0
112732,0
112733,0
112734,0
112735,0
112736,0
112737,0
112738,0
112739,0
112740,0
112801,0
112802,0
112803,0
112804,0
112805,0
112806,0
112807,0
112808,0
112809,0
112810,0
112811,0
112812,0
112813,0
112814,0
112815,0
112816,0
112817,0
112818,0
112819,0
112820,0
112821,0
112822,0
112823,0
112824,0
112825,0
112826,0
112827,0
112828,0
112829,0
112830,0
112831,0
112832,0
112833,0
112834,0
112835,0
112836,0
112837,0
112838,0
112839,0
112840,0
112901,0
112902,0
112903,0
112904,0
112905,0
112906,0
112907,0
112908,0
112909,0
112910,0
112911,0
112912,0
112913,0
112914,0
112915,0
112916,0
112917,0
112918,0
112919,0
112920,0
112921,0
112922,0
112923,0
112924,0
112925,0
112926,0
112927,0
112928,0
112929,0
112930,0
112931,0
112932,0
112933,0
112934,0
112935,0
112936,0
112937,0
112938,0
112939,0
112940,0
113001,0
113002,0
113003,0
113004,0
113005,0
113006,0
113007,0
113008,0
113009,0
113010,0
113011,0
113012,0
113013,0
113014,0
113015,0
113016,0
113017,0
113018,0
113019,0
113020,0
113021,0
113022,0
113023,0
113024,0
113025,0
113026,0
113027,0
113028,0
113029,0
113030,0
113031,0
113032,0
113033,0
113034,0
113035,0
113036,0
113037,0
113038,0
113039,0
113040,0
113101,0
113102,0
113103,0
113104,0
113105,0
113106,0
113107,0
113108,0
113109,0
113110,0
113111,0
113112,0
113113,0
113114,0
113115,0
113116,0
113117,0
113118,0
113119,0
113120,0
113121,0
113122,0
113123,0
113124,0
113125,0
113126,0
113127,0
113128,0
113129,0
113130,0
113131,0
113132,0
113133,0
113134,0
113135,0
113136,0
113137,0
113138,0
113139,0
113140,0
113201,0
113202,0
113203,0
113204,0
113205,0
113206,0
113207,0
113208,0
113209,0
113210,0
113211,0
113212,0
113213,0
113214,0
113215,0
113216,0
113217,0
113218,0
113219,0
113220,0
113221,0
113222,0
113223,0
113224,0
113225,0
113226,0
113227,0
113228,0
113229,0
113230,0
113231,0
113232,0
113233,0
113234,0
113235,0
113236,0
113237,0
113238,0
113239,0
113240,0
113301,0
113302,0
113303,0
113304,0
113305,0
113306,0
113307,0
113308,0
113309,0
113310,0
113311,0
113312,0
113313,0
113314,0
113315,0
113316,0
113317,0
113318,0
113319,0
113320,0
113321,0
113322,0
113323,0
113324,0
113325,0
113326,0
113327,0
113328,0
113329,0
113330,0
113331,0
113332,0
113333,0
113334,0
113335,0
113336,0
113337,0
113338,0
113339,0
113340,0
113401,0
113402,0
113403,0
113404,0
113405,0
113406,0
113407,0
113408,0
113409,0
113410,0
113411,0
113412,0
113413,0
113414,0
113415,0
113416,0
113417,0
113418,0
113419,0
113420,0
113421,0
113422,0
113423,0
113424,0
113425,0
113426,0
113427,0
113428,0
113429,0
113430,0
113431,0
113432,0
113433,0
113434,0
113435,0
113436,0
113437,0
113438,0
113439,0
113440,0
113501,0
113502,0
113503,0
113504,0
113505,0
113506,0
113507,0
113508,0
113509,0
113510,0
113511,0
113512,0
113513,0
113514,0
113515,0
113516,0
113517,0
113518,0
113519,0
113520,0
113521,0
113522,0
113523,0
113524,0
113525,0
113526,0
113527,0
113528,0
113529,0
113530,0
113531,0
113532,0
113533,0
113534,0
113535,0
113536,0
113537,0
113538,0
113539,0
113540,0
113601,0
113602,0
113603,0
113604,0
113605,0
113606,0
113607,0
113608,0
113609,0
113610,0
113611,0
113612,0
113613,0
113614,0
113615,0
113616,0
113617,0
113618,0
113619,0
113620,0
113621,0
113622,0
113623,0
113624,0
113625,0
113626,0
113627,0
113628,0
113629,0
113630,0
113631,0
113632,0
113633,0
113634,0
113635,0
113636,0
113637,0
113638,0
113639,0
113640,0
113701,0
113702,0
113703,0
113704,0
113705,0
113706,0
113707,0
113708,0
113709,0
113710,0
113711,0
113712,0
113713,0
113714,0
113715,0
113716,0
113717,0
113718,0
113719,0
113720,0
113721,0
113722,0
113723,0
113724,0
113725,0
113726,0
113727,0
113728,0
113729,0
113730,0
113731,0
113732,0
113733,0
113734,0
113735,0
113736,0
113737,0
113738,0
113739,0
113740,0
113801,0
113802,0
113803,0
113804,0
113805,0
113806,0
113807,0
113808,0
113809,0
113810,0
113811,0
113812,0
113813,0
113814,0
113815,0
113816,0
113817,0
113818,0
113819,0
113820,0
113821,0
113822,0
113823,0
113824,0
113825,0
113826,0
113827,0
113828,0
113829,0
113830,0
113831,0
113832,0
113833,0
113834,0
113835,0
113836,0
113837,0
113838,0
113839,0
113840,0
113901,0
113902,0
113903,0
113904,0
113905,0
113906,0
113907,0
113908,0
113909,0
113910,0
113911,0
113912,0
113913,0
113914,0
113915,0
113916,0
113917,0
113918,0
113919,0
113920,0
113921,0
113922,0
113923,0
113924,0
113925,0
113926,0
113927,0
113928,0
113929,0
113930,0
113931,0
113932,0
113933,0
113934,0
113935,0
113936,0
113937,0
113938,0
113939,0
113940,0
114001,0
114002,0
114003,0
114004,0
114005,0
114006,0
114007,0
114008,0
114009,0
114010,0
114011,0
114012,0
114013,0
114014,0
114015,0
114016,0
114017,0
114018,0
114019,0
114020,0
114021,0
114022,0
114023,0
114024,0
114025,0
114026,0
114027,0
114028,0
114029,0
114030,0
114031,0
114032,0
114033,0
114034,0
114035,0
114036,0
114037,0
114038,0
114039,0
114040,0
114101,0
114102,0
114103,0
114104,0
114105,0
114106,0
114107,0
114108,0
114109,0
114110,0
114111,0
114112,0
114113,0
114114,0
114115,0
114116,0
114117,0
114118,0
114119,0
114120,0
114121,0
114122,0
114123,0
114124,0
114125,0
114126,0
114127,0
114128,0
114129,0
114130,0
114131,0
114132,0
114133,0
114134,0
114135,0
114136,0
114137,0
114138,0
114139,0
