chapterid,item1,num1,item2,num2,item3,num3,item4,num4,explore
1,12100201,5,91000002,10000,91000001,12000,72000001,2,100
2,12401001,5,91000002,10000,91000001,12000,72000001,2,100
3,12100201,5,91000002,10000,91000001,12000,72000001,2,100
4,12401001,5,91000002,10000,91000001,12000,72000001,2,100
5,12100201,5,91000002,10000,91000001,12000,72000001,2,100
6,12401001,5,91000002,10000,91000001,12000,72000001,2,100
7,12100201,5,91000002,10000,91000001,12000,72000001,2,100
8,12401001,5,91000002,10000,91000001,12000,72000001,2,100
9,12100201,5,91000002,10000,91000001,12000,72000002,2,100
10,12401001,5,91000002,10000,91000001,12000,72000002,2,100
11,12100201,5,91000002,10000,91000001,12000,72000002,3,100
12,12401001,5,91000002,10000,91000001,12000,72000002,3,100
13,12100201,5,91000002,10000,91000001,12000,72000002,4,100
14,12401001,5,91000002,10000,91000001,12000,72000002,4,100
15,12100201,5,91000002,10000,91000001,12000,72000002,4,100
16,12401001,5,91000002,10000,91000001,12000,72000002,4,100
17,12100201,5,91000002,10000,91000001,12000,72000002,4,100
18,12401001,5,91000002,10000,91000001,12000,72000002,4,100
19,12100201,5,91000002,10000,91000001,12000,72000002,4,100
20,12401001,5,91000002,10000,91000001,12000,72000002,4,100
21,91000002,20000,91000001,24000,0,0,0,0,100
22,91000002,20000,91000001,24000,0,0,0,0,100
23,91000002,20000,91000001,24000,0,0,0,0,100
24,91000002,20000,91000001,24000,0,0,0,0,100
25,91000002,20000,91000001,24000,0,0,0,0,100
26,91000002,20000,91000001,24000,0,0,0,0,100
27,91000002,20000,91000001,24000,0,0,0,0,100
28,91000002,20000,91000001,24000,0,0,0,0,100
29,91000002,20000,91000001,24000,0,0,0,0,100
30,91000002,20000,91000001,24000,0,0,0,0,100
31,91000002,20000,91000001,24000,0,0,0,0,100
32,91000002,20000,91000001,24000,0,0,0,0,100
33,91000002,20000,91000001,24000,0,0,0,0,100
34,91000002,20000,91000001,24000,0,0,0,0,100
35,91000002,20000,91000001,24000,0,0,0,0,100
36,91000002,20000,91000001,24000,0,0,0,0,100
37,91000002,20000,91000001,24000,0,0,0,0,100
38,91000002,20000,91000001,24000,0,0,0,0,100
39,91000002,20000,91000001,24000,0,0,0,0,100
40,91000002,20000,91000001,24000,0,0,0,0,100
41,91000002,20000,91000001,24000,0,0,0,0,100
42,91000002,20000,91000001,24000,0,0,0,0,100
43,91000002,20000,91000001,24000,0,0,0,0,100
44,91000002,20000,91000001,24000,0,0,0,0,100
45,91000002,20000,91000001,24000,0,0,0,0,100
46,91000002,20000,91000001,24000,0,0,0,0,100
47,91000002,20000,91000001,24000,0,0,0,0,100
48,91000002,20000,91000001,24000,0,0,0,0,100
49,91000002,20000,91000001,24000,0,0,0,0,100
50,91000002,20000,91000001,24000,0,0,0,0,100
51,91000002,20000,91000001,24000,0,0,0,0,100
52,91000002,20000,91000001,24000,0,0,0,0,100
53,91000002,20000,91000001,24000,0,0,0,0,100
54,91000002,20000,91000001,24000,0,0,0,0,100
55,91000002,20000,91000001,24000,0,0,0,0,100
56,91000002,20000,91000001,24000,0,0,0,0,100
57,91000002,20000,91000001,24000,0,0,0,0,100
58,91000002,20000,91000001,24000,0,0,0,0,100
59,91000002,20000,91000001,24000,0,0,0,0,100
60,91000002,20000,91000001,24000,0,0,0,0,100
