chapterindex,mapid,resource,startX,startY,dir,size,mask,fov,height,rotate,weather,music,ambience,task1,task2,endtext
1,Event_Map1001,Map1001,13,12,3,70,105|120,30,1100,20,0,1001,0,击败敌人,夺取船只,击败了兽人佣兵，你们乘上帆船离开了希伦，一场护送神器的冒险就此展开……
2,Event_Map1002,Map1002,11,10,3,70,201|204,30,1100,20,0,1001,0,击败敌人,弄清方向,敌人步步紧逼，所幸你已经找到了新的容身之所，先站稳脚跟再做打算。
3,Event_Map1003,Map4002,10,28,2,70,301|305|308,30,1100,20,0,1001,0,击败敌人,寻找出路,神器出现异动，必须在更大的灾难来临之前，查清真相。
4,Event_Map1004,Map3001,15,34,1,70,403|405|408,30,1100,20,xue,1001,6001,击败敌人,寻找出路,神器出现异动，必须在更大的灾难来临之前，查清真相。
5,Event_Map1005,Map1010,9,27,2,70,501|505|508,30,1100,20,0,1001,0,击败敌人,寻找出路,神器出现异动，必须在更大的灾难来临之前，查清真相。
6,Event_Map1006,Map1007,13,6,4,70,601|605|608,30,1100,20,0,1001,0,击败敌人,寻找出路,神器出现异动，必须在更大的灾难来临之前，查清真相。
7,Event_Map1007,Map2002,8,36,1,70,701|704|708,30,1100,20,scb,1001,6001,击败敌人,寻找出路,神器出现异动，必须在更大的灾难来临之前，查清真相。
8,Event_Map1008,Map5001,10,12,3,70,801|803|805,30,1100,20,0,1001,0,击败敌人,寻找出路,神器出现异动，必须在更大的灾难来临之前，查清真相。
9,Event_Map1009,Map1004,6,23,2,70,901|905|909,30,1100,20,0,1001,0,击败敌人,寻找出路,神器出现异动，必须在更大的灾难来临之前，查清真相。
10,Event_Map1010,Map5002,7,27,2,70,1001|1005|1008,30,1100,20,0,1001,0,击败敌人,寻找出路,神器出现异动，必须在更大的灾难来临之前，查清真相。
11,Event_Map1011,Map4001,12,8,3,70,1101|1105|1108,30,1100,20,0,1001,0,击败敌人,寻找出路,神器出现异动，必须在更大的灾难来临之前，查清真相。
12,Event_Map1012,Map4005,8,27,2,70,1201|1203|1208,30,1100,20,0,1001,0,击败敌人,寻找出路,神器出现异动，必须在更大的灾难来临之前，查清真相。
13,Event_Map1013,Map4003,11,35,2,70,1301|1305|1308,30,1100,20,0,1001,0,击败敌人,寻找出路,神器出现异动，必须在更大的灾难来临之前，查清真相。
14,Event_Map1014,Map3004,8,30,1,70,1401|1405|1408,30,1100,20,xue,1001,6001,击败敌人,寻找出路,神器出现异动，必须在更大的灾难来临之前，查清真相。
15,Event_Map1015,Map3002,38,34,0,70,1501|1505|1509,30,1100,20,xue,1001,6001,击败敌人,寻找出路,神器出现异动，必须在更大的灾难来临之前，查清真相。
16,Event_Map1016,Map3003,8,9,3,70,1601|1603|1608,30,1100,20,xue,1001,6001,击败敌人,寻找出路,神器出现异动，必须在更大的灾难来临之前，查清真相。
17,Event_Map1017,Map2001,8,36,1,70,1701|1705|1708,30,1100,20,scb,1001,6001,击败敌人,寻找出路,神器出现异动，必须在更大的灾难来临之前，查清真相。
18,Event_Map1018,Map2005,39,37,1,70,1801|1804|1808,30,1100,20,scb,1001,6001,击败敌人,寻找出路,神器出现异动，必须在更大的灾难来临之前，查清真相。
19,Event_Map1019,Map2003,9,11,4,70,1901|1903|1908,30,1100,20,scb,1001,6001,击败敌人,寻找出路,神器出现异动，必须在更大的灾难来临之前，查清真相。
