id,type,icon,camp1,camp2,base_type1,base_value1,base_type2,base_value2,base_type3,base_value3,base_type4,base_value4,base_type5,base_value5,doc,txt1,txt2
1,1,icon_fight_mlys_01,3,0,502,1000,501,1000,0,0,0,0,0,0,上阵同种族的3名英雄，使所有友军获得属性加成,攻击+10%,生命+10%
2,1,icon_fight_mlys_02,3,2,502,1500,501,1500,0,0,0,0,0,0,上阵同种族的3名英雄和另一种族的2名英雄，使所有友军获得属性加成,攻击+15%,生命+15%
3,1,icon_fight_mlys_03,4,0,502,1500,501,2000,0,0,0,0,0,0,上阵同种族的4名英雄，使所有友军获得属性加成,攻击+15%,生命+20%
4,1,icon_fight_mlys_04,5,0,502,2500,501,2500,0,0,0,0,0,0,上阵同种族的5名英雄，使所有友军获得属性加成,攻击+25%,生命+25%
5,0,icon_hero_mlys_07,0,0,0,0,0,0,0,0,0,0,0,0,光明种族可视为除暗影种族外的任意种族英雄用于组成阵型。,0,0
6,2,icon_hero_mlys_05,1,0,503,3000,0,0,0,0,0,0,0,0,暗影种族不会激活阵型，但暗影种族会使所有友军获得特殊加成效果：,1个以上：防御+30%,0
7,2,0,2,0,4501,2500,0,0,0,0,0,0,0,0,0,2个以上：受伤回能+25%,0
8,2,0,3,0,6,1500,0,0,0,0,0,0,0,0,0,3个以上：暴击+15%,0
9,2,0,4,0,12,3000,0,0,0,0,0,0,0,0,0,4个以上：暴击效果+30%,0
10,2,0,5,0,21,15,0,0,0,0,0,0,0,0,0,5个：攻击速度+15,0
