id,lotteryid,description,chance,type,groupid,groupwt,itemid,itemdes,itemwt,min,max,havelot,haveitemwt
1,50100,福袋召唤,10000,1,101,10000,13000001,稀有勇士魂石,1,10,10,0,0
2,50100,福袋召唤,0,1,101,0,42010001,普通召唤卷,1,1,1,0,0
3,50100,福袋召唤,0,1,101,0,91000041,勇士经验,1,30000,30000,0,0
4,50100,福袋召唤,0,1,101,0,91000041,勇士经验,1,20000,20000,0,0
5,50100,福袋召唤,0,1,101,0,91000041,勇士经验,1,10000,10000,0,0
6,50100,福袋召唤,0,1,101,0,91000041,勇士经验,1,5000,5000,0,0
7,50100,福袋召唤,0,1,101,0,91000001,金币,1,30000,30000,0,0
8,50100,福袋召唤,0,1,101,0,91000001,金币,1,20000,20000,0,0
9,50100,福袋召唤,0,1,101,0,91000001,金币,1,10000,10000,0,0
10,50100,福袋召唤,0,1,101,0,91000001,金币,1,5000,5000,0,0
11,50100,福袋召唤,0,1,102,1500,42010002,阵营召唤卷,1,1,1,0,0
12,50100,福袋召唤,0,1,102,0,91000041,勇士经验,1,100000,100000,0,0
13,50100,福袋召唤,0,1,102,0,30200103,10元充值卡,1,1,1,0,0
14,50100,福袋召唤,0,1,102,0,91000001,金币,1,50000,50000,0,0
15,50100,福袋召唤,0,1,102,0,91000041,勇士经验,1,50000,50000,0,0
16,50100,福袋召唤,0,1,102,0,91000001,金币,1,100000,100000,0,0
17,50100,福袋召唤,0,1,102,0,13000002,精英勇士魂石,1,5,5,0,0
18,50100,福袋召唤,0,1,103,160,30200105,100元充值卡,1,1,1,3,0
19,50100,福袋召唤,0,1,103,0,42010002,阵营召唤卷,1,3,3,3,0
20,50100,福袋召唤,0,1,103,0,13000002,精英勇士魂石,1,10,10,3,0
21,50100,福袋召唤,0,1,103,0,40000003,低级特殊宝石,1,5,5,3,0
22,50100,福袋召唤,0,1,103,0,42010001,普通召唤卷,1,5,5,3,0
23,50100,福袋召唤,0,1,103,0,42010002,阵营召唤卷,1,5,5,3,0
24,50100,福袋召唤,0,1,104,20,30020040,输出英雄自选箱,1,1,1,2,0
25,50100,福袋召唤,0,1,104,0,30020041,辅助英雄自选箱,1,1,1,2,0
26,50100,福袋召唤,0,1,104,0,30020042,坦克英雄自选箱,1,1,1,2,0
27,50100,福袋召唤,0,1,104,0,30200107,648元充值卡,1,1,1,2,0
28,50100,福袋召唤,0,1,104,0,13000002,精英勇士魂石,1,60,60,2,0
29,50100,福袋召唤,0,1,105,20,30200101,光暗自选卡,1,1,1,1,0
30,50100,福袋召唤,0,1,105,0,30200000,阵营勇士选择卡,1,1,1,1,0
31,50100,福袋召唤,0,1,105,0,30200108,1388元充值卡,1,1,1,1,0
32,9999,测试用随机英雄组【废弃】,10000,1,101,10000,11100201,水占巫女,1,1,1,0,0
33,9999,测试用随机英雄组【废弃】,0,1,101,0,11100501,不落之壁,1,1,1,0,0
34,9999,测试用随机英雄组【废弃】,0,1,101,0,11100601,贵族之刃,1,1,1,0,0
35,9999,测试用随机英雄组【废弃】,0,1,101,0,11100901,元素魔弓,1,1,1,0,0
36,10001,挂机-白装,10000,1,101,10000,60110000,粗制铁剑,1,1,1,0,0
37,10001,挂机-白装,0,1,101,0,60210000,镔铁重杵,1,1,1,0,0
38,10001,挂机-白装,0,1,101,0,60310000,青石法杖,1,1,1,0,0
39,10001,挂机-白装,0,1,101,0,60420000,镔铁头盔,1,1,1,0,0
40,10001,挂机-白装,0,1,101,0,60430000,镔铁战甲,1,1,1,0,0
41,10001,挂机-白装,0,1,101,0,60440000,镔铁战靴,1,1,1,0,0
42,10001,挂机-白装,0,1,101,0,60520000,学徒巫帽,1,1,1,0,0
43,10001,挂机-白装,0,1,101,0,60530000,学徒布袍,1,1,1,0,0
44,10001,挂机-白装,0,1,101,0,60540000,学徒布靴,1,1,1,0,0
45,10001,挂机-白装,0,1,101,0,60620000,轻便皮盔,1,1,1,0,0
46,10001,挂机-白装,0,1,101,0,60630000,轻便皮甲,1,1,1,0,0
