id,mail_title,mail_txt,sender
1,皇家犒赏令,本期皇家犒赏令中有奖励未领取，系统已帮你自动领取。,督军帕奇
2,勇者犒赏令,本期勇者犒赏令中有奖励未领取，系统已帮你自动领取。,督军帕奇
3,道具领取,由于您的道具数量超过最大限制，请在清理道具后从附件中再次领取。,督军帕奇
4,代币补偿,由于您的代币数量超过最大限制，请在使用代币后从附件中再次领取。,督军帕奇
5,公会狩猎奖励,【BOSS名称】活动结束，【职位】【用户名】单场对其造成最高累计伤害【数值】，额外奖励公会成员以下道具,自由的比利
6,公会狩猎开启通知,【职位】【用户名】开启了【BOSS名称】活动，快去掠夺海量宝藏！,自由的比利
7,公会升级,经过大家艰辛的努力，公会升至【数值】级，公会成员上限增加+【数值】，公会活跃值上限增加+【数值】,自由的比利
8,公会职位晋升,【用户名】将你晋升为【职位】,自由的比利
9,竞技场每日奖励,在今日的竞技场中，您守住了第%d名的位置，以下是您今日的奖励，请您查收。,主宰方将军
10,竞技场赛季奖励,在刚刚结束的竞技场赛季中，您获得了第%d的成绩，为了表彰您的卓越战绩，我们特此奉上本赛季的排名奖励！,主宰方将军
11,巅峰竞技场竞猜,恭喜！您支持的选手【用户名】在本届巅峰竞技场赢得本轮比赛胜利！请查收您的奖励！,督军帕奇
12,巅峰竞技场竞猜,慧眼如炬！您支持的选手【用户名】在本届巅峰竞技场赢得了冠军！请查收您的奖励！,督军帕奇
13,巅峰竞技场竞猜,十分遗憾，您支持的选手【用户名】未能在巅峰竞技场本轮胜出。请继续关注后续比赛！,督军帕奇
14,巅峰竞技场分赛区,为保证更优质的竞技体验，巅峰竞技场进行了分赛区操作：【起始服】-【终止服】为第【数值】赛区，【最后一个起始服】以后的赛区为新赛区。划分赛区后，每届巅峰竞技场将独立产生各自赛区的64强选手。,督军帕奇
15,扭曲梦境个人奖励,您在本期扭曲梦境【BOSS名称】中的战绩为：您处于第【数值】层梦境，您造成的最高伤害为【数值】，您的排行榜成绩为【段位+数值】；以下是您获得的个人奖励；,督军帕奇
16,月卡,亲爱的冒险者：\n   您的月卡还剩%d天，以下是您今天的月卡补给奖励。,狂野的比利
17,超级月卡,亲爱的冒险者：\n   您的超级月卡还剩%d天，以下是您今天的超级月卡补给奖励。,狂野的比利
18,扭曲梦境公会奖励,在本期扭曲梦境【BOSS名称】中，您所在的公会成员一共获得【数值】传奇积分，获得以下奖励：,督军帕奇
19,%s,亲爱的冒险者：\n   恭喜您完成了%s中的任务，以下是您获得的奖励。,威猛的主席
20,黄金周卡,亲爱的冒险者：\n   您的黄金周卡还剩%d天，以下是您今天的黄金周卡补给奖励。,威猛的主席
21,每日首充,你昨日的每日首充奖励未领取，系统已经帮你自动领取，请注意查收,自由的比利
22,庆典活动,庆典七日活动中有未领取的奖励，系统已自动帮你领取！！！,飞翔的比利
23,主线战令,主线战令中有奖励未领取，系统已帮你自动领取。,飞翔的比利
24,试炼之塔战令,试炼之塔战令中有奖励未领取，系统已帮你自动领取。,飞翔的比利
25,超值基金,超值基金奖励未领取，系统已帮你自动领取,飞翔的比利
26,暗域入侵奖励,您在暗域入侵-【%s】中的战绩为：【%s】；以下是您获得的奖励；,督军帕奇
27,暗域入侵物资,您在昨日对抗暗域入侵中的每日目标奖励未领取，我们已经帮你找回。,自由的比利
28,暗域入侵兑换,暗域入侵-【%s】已结束，您剩余的活动代币已全部兑换为金币。,督军帕奇
29,兑换活动,兑换活动已结束，您剩余的%d【%s】已全部兑换为金币。,小兵比利
30,至尊竞技段位奖励,您在本赛季中的段位为【%s】，恭喜您获得以下奖励；,主宰方将军
31,至尊段位排名奖励,恭喜您在本赛季中获得至尊第【%d】名的卓越战绩，特此奉上至尊排名奖励！,无双小助手
32,至尊竞技奖励拾遗,发现您有未领取的首达段位奖励，特此追回补发；,无双小助手
33,幻境时空排名奖励,您在幻境时空活动中的排名为【%d】，恭喜您获得以下奖励；,无双小助手
34,幻境时空积分奖励,幻境时空活动已结束，您在该活动中尚有积分奖励未领取，系统已帮你自动领取。,无双小助手
35,至尊竞技33段位奖励,您在本赛季中的段位为【%s】，恭喜您获得以下奖励；,主宰方将军
36,至尊段位33排名奖励,恭喜您在本赛季中获得至尊第【%d】名的卓越战绩，特此奉上至尊排名奖励！,无双小助手
37,至尊竞技33奖励拾遗,发现您有未领取的首达段位奖励，特此追回补发；,无双小助手
