id,name,lv,needexp,getexp,fire,base_type1,base_value1,base_type2,base_value2,base_type3,base_value3,get_chance,get1,get2,get3,get4,get5,get6
50101011,卫兵·首领,1,75,60,70,7,36,107,4,99,3600,10000,9800,190,10,0,0,0
50101011,卫兵·首领,2,165,130,160,7,72,107,8,99,7200,800,9800,190,10,0,0,0
50101011,卫兵·首领,3,210,280,340,7,108,107,11,99,10800,800,9800,190,10,0,0,0
50101011,卫兵·首领,4,300,450,550,7,144,107,15,99,14400,800,9800,190,10,0,0,0
50101011,卫兵·首领,5,600,680,820,7,216,107,23,99,21600,800,9800,190,10,0,0,0
50101011,卫兵·首领,6,1200,1120,1350,7,288,107,30,99,28800,800,9800,190,10,0,0,0
50101011,卫兵·首领,7,2400,1950,2340,7,360,107,38,99,36000,800,9800,190,10,0,0,0
50101011,卫兵·首领,8,3600,3500,4200,7,432,107,45,99,43200,800,9800,190,10,0,0,0
50101011,卫兵·首领,9,6000,5590,6710,7,576,107,60,99,57600,800,9800,190,10,0,0,0
50101011,卫兵·首领,10,0,8760,10510,7,720,107,75,99,72000,800,9800,190,10,0,0,0
50101012,卫兵·首领,1,150,120,140,7,72,107,8,99,7200,10000,9800,190,10,0,0,0
50101012,卫兵·首领,2,330,270,320,7,144,107,15,99,14400,800,9800,190,10,0,0,0
50101012,卫兵·首领,3,420,570,680,7,216,107,23,99,21600,800,9800,190,10,0,0,0
50101012,卫兵·首领,4,600,910,1100,7,288,107,30,99,28800,800,9800,190,10,0,0,0
50101012,卫兵·首领,5,1200,1370,1650,7,432,107,45,99,43200,800,9800,190,10,0,0,0
50101012,卫兵·首领,6,2400,2250,2700,7,576,107,60,99,57600,800,9800,190,10,0,0,0
50101012,卫兵·首领,7,4800,3910,4690,7,720,107,75,99,72000,800,9800,190,10,0,0,0
50101012,卫兵·首领,8,7200,7010,8410,7,864,107,90,99,86400,800,9800,190,10,0,0,0
50101012,卫兵·首领,9,12000,11190,13430,7,1152,107,120,99,115200,800,9800,190,10,0,0,0
50101012,卫兵·首领,10,0,17530,21030,7,1440,107,150,99,144000,800,9800,190,10,0,0,0
50101013,卫兵·首领,1,300,240,280,7,144,107,15,99,14400,10000,9800,190,10,0,0,0
50101013,卫兵·首领,2,660,540,640,7,288,107,30,99,28800,800,9800,190,10,0,0,0
50101013,卫兵·首领,3,840,1140,1360,7,432,107,45,99,43200,800,9800,190,10,0,0,0
50101013,卫兵·首领,4,1200,1830,2200,7,576,107,60,99,57600,800,9800,190,10,0,0,0
50101013,卫兵·首领,5,2400,2750,3300,7,864,107,90,99,86400,800,9800,190,10,0,0,0
50101013,卫兵·首领,6,4800,4510,5410,7,1152,107,120,99,115200,800,9800,190,10,0,0,0
50101013,卫兵·首领,7,9600,7830,9390,7,1440,107,150,99,144000,800,9800,190,10,0,0,0
50101013,卫兵·首领,8,14400,14020,16830,7,1728,107,180,99,172800,800,9800,190,10,0,0,0
