id,type,judge,integral,item,basis,parameter1,parameter2,notice
10001,1,0,20,91000001,7500,75,0,0
10002,1,1,25,91000001,7500,75,0,0
10003,1,2,35,91000001,7500,75,0,0
10004,1,3,55,91000001,7500,75,0,STR_MOD_MINE_KILL_COMBO_3
10005,1,4,75,91000001,7500,75,0,0
10006,1,5,100,91000001,7500,75,0,STR_MOD_MINE_KILL_COMBO_5
10007,1,7,100,91000001,7500,75,0,STR_MOD_MINE_KILL_COMBO_7
10008,1,10,100,91000001,7500,75,0,STR_MOD_MINE_KILL_COMBO_10
20001,2,0,0,0,0,0,0,0
20002,2,3,20,0,0,0,0,STR_MOD_MINE_STOP_KILL_COMBO_3
20003,2,5,50,0,0,0,0,STR_MOD_MINE_STOP_KILL_COMBO_5
20004,2,7,50,0,0,0,0,STR_MOD_MINE_STOP_KILL_COMBO_7
20005,2,10,50,0,0,0,0,STR_MOD_MINE_STOP_KILL_COMBO_10
30001,3,0,5,91000001,5000,75,0,0
40001,4,1,10,91000001,13000,75,0,0
40002,4,2,11,91000001,15000,75,0,0
40003,4,3,12,91000001,17000,75,0,0
40004,4,4,13,91000001,20000,75,0,0
40005,4,5,15,91000001,25000,75,0,0
