ID,type,score,default_camp,base_itemid,base_num,capacity,double_point,link_id1,link_id2,link_id3,link_id4,link_id5,link_id6,model1,model2,model3,point_description,quality
10101,1,0,3,91000001,150,50,1,10201,10202,10203,0,0,0,city_zhengduozhan_yxwd_01.png,city_zhengduozhan_yxwd_01.png,city_zhengduozhan_yxwd_01.png,联邦,2
10201,2,1,3,91000001,300,10,1,10302,10304,10202,10101,0,0,city_zhengduozhan_yxwd_04.png,city_zhengduozhan_yxwd_04.png,city_zhengduozhan_yxwd_04.png,C矿1,3
10202,2,1,3,91000001,300,10,1,10201,10304,10402,10305,10203,10101,city_zhengduozhan_yxwd_04.png,city_zhengduozhan_yxwd_04.png,city_zhengduozhan_yxwd_04.png,C矿2,3
10203,2,1,3,91000001,300,10,1,10101,10202,10305,10306,0,0,city_zhengduozhan_yxwd_04.png,city_zhengduozhan_yxwd_04.png,city_zhengduozhan_yxwd_04.png,C矿3,3
10301,3,2,3,91000001,330,15,1,20306,10303,10302,0,0,0,city_zhengduozhan_yxwd_03.png,city_zhengduozhan_yxwd_03.png,city_zhengduozhan_yxwd_03.png,B矿1,4
10302,3,2,3,91000001,330,15,1,10301,10303,10304,10201,0,0,city_zhengduozhan_yxwd_03.png,city_zhengduozhan_yxwd_03.png,city_zhengduozhan_yxwd_03.png,B矿2,4
10303,3,2,3,91000001,330,15,1,10301,10401,10304,10302,20305,20306,city_zhengduozhan_yxwd_03.png,city_zhengduozhan_yxwd_03.png,city_zhengduozhan_yxwd_03.png,B矿3,4
10304,3,2,3,91000001,330,15,1,10401,10402,10202,10201,10302,10303,city_zhengduozhan_yxwd_03.png,city_zhengduozhan_yxwd_03.png,city_zhengduozhan_yxwd_03.png,B矿4,4
10305,3,2,3,91000001,330,15,1,30303,30401,10402,10202,10203,10306,city_zhengduozhan_yxwd_03.png,city_zhengduozhan_yxwd_03.png,city_zhengduozhan_yxwd_03.png,B矿5,4
10306,3,2,3,91000001,330,15,1,30301,30303,10305,10203,0,0,city_zhengduozhan_yxwd_03.png,city_zhengduozhan_yxwd_03.png,city_zhengduozhan_yxwd_03.png,B矿6,4
10401,4,5,3,91000001,360,20,1,10402,10304,10303,20305,20402,40501,city_zhengduozhan_yxwd_02.png,city_zhengduozhan_yxwd_02.png,city_zhengduozhan_yxwd_02.png,A矿1,5
10402,4,5,3,91000001,360,20,1,10401,10304,10202,10305,30401,40501,city_zhengduozhan_yxwd_02.png,city_zhengduozhan_yxwd_02.png,city_zhengduozhan_yxwd_02.png,A矿2,5
20101,1,0,1,91000001,150,50,1,20201,20202,20203,0,0,0,city_zhengduozhan_yxwd_01.png,city_zhengduozhan_yxwd_01.png,city_zhengduozhan_yxwd_01.png,教廷,2
20201,2,1,1,91000001,300,10,1,20302,20304,20202,20101,0,0,city_zhengduozhan_yxwd_04.png,city_zhengduozhan_yxwd_04.png,city_zhengduozhan_yxwd_04.png,C矿1,3
20202,2,1,1,91000001,300,10,1,20201,20304,20402,20305,20203,20101,city_zhengduozhan_yxwd_04.png,city_zhengduozhan_yxwd_04.png,city_zhengduozhan_yxwd_04.png,C矿2,3
20203,2,1,1,91000001,300,10,1,20101,20202,20305,20306,0,0,city_zhengduozhan_yxwd_04.png,city_zhengduozhan_yxwd_04.png,city_zhengduozhan_yxwd_04.png,C矿3,3
20301,3,2,1,91000001,330,15,1,30306,20303,20302,0,0,0,city_zhengduozhan_yxwd_03.png,city_zhengduozhan_yxwd_03.png,city_zhengduozhan_yxwd_03.png,B矿1,4
20302,3,2,1,91000001,330,15,1,20301,20303,20304,20201,0,0,city_zhengduozhan_yxwd_03.png,city_zhengduozhan_yxwd_03.png,city_zhengduozhan_yxwd_03.png,B矿2,4
20303,3,2,1,91000001,330,15,1,20301,20401,20304,20302,30305,30306,city_zhengduozhan_yxwd_03.png,city_zhengduozhan_yxwd_03.png,city_zhengduozhan_yxwd_03.png,B矿3,4
20304,3,2,1,91000001,330,15,1,20401,20402,20202,20201,20302,20303,city_zhengduozhan_yxwd_03.png,city_zhengduozhan_yxwd_03.png,city_zhengduozhan_yxwd_03.png,B矿4,4
20305,3,2,1,91000001,330,15,1,10401,10303,20402,20202,20203,20306,city_zhengduozhan_yxwd_03.png,city_zhengduozhan_yxwd_03.png,city_zhengduozhan_yxwd_03.png,B矿5,4
20306,3,2,1,91000001,330,15,1,10303,10301,20305,20203,0,0,city_zhengduozhan_yxwd_03.png,city_zhengduozhan_yxwd_03.png,city_zhengduozhan_yxwd_03.png,B矿6,4
