resindex,bindex0,eindex0,time0,bindex1,eindex1,time1,bindex2,eindex2,time2,bindex3,eindex3,time3,bindex4,eindex4,time4,bindex5,eindex5,time5,bindex6,eindex6,time6,bindex7,eindex7,time7,bindex8,eindex8,time8,bindex9,eindex9,time9,bindex10,eindex10,time10,bindex11,eindex11,time11,bindex12,eindex12,time12,bindex13,eindex13,time13,bindex14,eindex14,time14,bindex15,eindex15,time15,bindex16,eindex16,time16,bindex17,eindex17,time17,bindex18,eindex18,time18,showYPosOffset,showXPosOffset,HPScale
101,0,7,100,8,15,100,30,40,100,78,93,120,16,24,100,54,77,80,78,78,95,94,107,95,8,15,60,30,40,100,25,28,80,29,29,80,0,0,80,41,53,80,29,29,80,25,28,80,29,29,80,0,0,80,41,53,80,155,0,100
102,0,7,100,8,15,100,51,62,136,63,83,120,16,23,100,34,50,80,63,63,95,84,98,95,8,15,60,24,33,100,34,37,80,38,43,80,44,50,80,0,0,80,0,0,80,0,0,80,0,0,80,0,0,80,0,0,80,160,0,100
103,0,7,100,8,15,100,28,40,100,68,83,120,16,27,100,28,40,80,68,68,95,84,97,95,8,15,60,41,50,100,51,57,80,57,60,80,61,67,80,0,0,80,0,0,80,0,0,80,0,0,80,0,0,80,0,0,80,155,0,100
104,0,7,100,8,15,100,70,78,100,79,94,120,16,21,100,55,69,80,79,79,95,95,108,95,8,15,60,22,39,100,40,54,80,4,8,80,24,32,80,0,0,80,0,0,80,0,0,80,0,0,80,0,0,80,0,0,80,155,0,100
105,0,11,100,12,17,100,65,73,100,74,89,120,18,30,100,65,73,80,74,74,95,90,103,95,8,15,60,45,64,100,45,51,80,52,54,80,55,64,80,31,36,80,37,40,80,41,44,80,0,0,80,0,0,80,0,0,80,145,-10,100
106,0,7,100,8,15,100,58,68,100,69,84,120,16,27,100,16,23,80,90,90,95,85,98,95,8,15,60,16,23,100,45,50,80,50,50,80,51,57,80,28,31,80,31,31,80,32,37,80,38,42,80,42,42,80,43,44,80,155,0,100
107,0,7,100,8,15,100,79,89,100,90,105,120,16,25,100,60,78,80,90,90,95,106,119,95,8,15,60,25,36,100,37,40,80,40,40,80,41,46,80,47,54,80,54,54,80,55,59,80,0,0,80,0,0,80,0,0,80,165,0,100
108,0,7,100,8,15,100,63,72,100,73,88,120,16,23,100,39,61,80,87,87,95,89,102,95,8,15,60,24,38,100,39,55,80,56,59,80,60,62,80,0,0,80,0,0,80,0,0,80,0,0,80,0,0,80,0,0,80,155,0,100
109,0,11,100,12,19,100,71,82,115,83,98,120,20,39,100,52,90,80,83,83,95,99,112,95,8,15,60,52,70,100,52,57,120,58,64,150,65,70,120,20,25,120,26,33,150,34,39,120,0,0,80,0,0,80,0,0,80,140,5,100
110,0,7,100,8,15,100,45,59,100,60,75,120,16,23,100,45,59,80,60,60,95,76,89,95,8,15,60,24,33,100,34,44,80,4,8,80,24,33,80,0,0,80,0,0,80,0,0,80,0,0,80,0,0,80,0,0,80,140,0,100
111,0,7,100,8,15,100,37,47,100,57,72,120,16,23,100,48,56,80,57,57,95,73,86,95,8,15,60,24,36,100,37,47,80,4,8,80,24,36,80,0,0,80,0,0,80,0,0,80,0,0,80,0,0,80,0,0,80,150,0,100
112,0,11,100,12,19,100,57,64,100,65,89,120,20,30,100,43,56,80,89,102,95,90,103,95,12,15,60,31,42,100,37,47,80,4,8,80,31,42,80,0,0,80,0,0,80,0,0,80,0,0,80,0,0,80,0,0,80,170,0,100
113,0,7,100,8,15,100,23,36,100,52,67,120,16,22,100,37,51,80,52,52,95,68,81,95,8,15,60,23,36,100,37,41,80,42,45,80,46,51,80,0,0,80,0,0,80,0,0,80,0,0,80,0,0,80,0,0,80,160,0,100
114,0,7,100,8,15,100,0,7,115,46,61,120,16,22,100,37,51,80,46,46,95,62,75,95,8,15,60,23,33,100,34,38,80,38,38,80,39,45,80,0,0,80,0,0,80,0,0,80,0,0,80,0,0,80,0,0,80,140,0,100
115,0,7,100,8,15,100,41,56,100,72,90,120,16,24,100,41,56,80,72,72,95,91,104,95,8,15,60,25,40,100,57,59,80,60,64,80,65,71,80,0,0,80,0,0,80,0,0,80,0,0,80,0,0,80,0,0,80,140,-5,100
116,0,7,100,8,15,100,37,48,100,49,64,120,16,22,100,37,48,80,49,49,95,65,78,95,8,15,60,23,36,100,0,0,80,0,0,80,0,0,80,0,0,80,0,0,80,0,0,80,0,0,80,0,0,80,0,0,80,125,0,100
117,0,11,100,12,19,100,66,81,100,82,104,120,20,33,100,47,65,80,82,82,95,105,120,95,12,15,60,16,22,100,34,38,80,39,42,80,43,46,80,0,0,80,0,0,80,0,0,80,0,0,80,0,0,80,0,0,80,165,-5,100
118,0,7,100,8,15,100,70,85,100,86,101,120,16,30,100,52,69,190,86,86,95,102,115,95,8,15,60,31,51,100,52,59,190,60,69,80,47,53,80,44,56,80,56,64,80,65,70,80,0,0,80,0,0,80,0,0,80,150,0,100
201,0,11,100,12,19,100,32,50,70,77,92,120,20,31,100,51,76,80,77,77,95,93,106,95,12,15,60,32,50,100,0,4,80,4,8,80,32,50,80,0,0,80,0,0,80,0,0,80,0,0,80,0,0,80,0,0,80,175,0,100
201_1,0,11,100,12,19,100,32,50,70,77,92,120,20,31,100,51,76,80,77,77,95,93,106,95,12,15,60,32,50,100,0,4,80,4,8,80,32,50,80,0,0,80,0,0,80,0,0,80,0,0,80,0,0,80,0,0,80,175,0,100
202,0,7,100,8,15,100,66,74,100,75,90,120,16,26,100,54,65,80,75,75,95,91,104,95,8,15,60,27,39,100,40,46,80,46,49,80,50,53,80,0,0,80,0,0,80,0,0,80,0,0,80,0,0,80,0,0,80,160,0,100
203,0,7,100,8,15,100,53,73,100,80,95,120,16,24,100,74,79,80,80,80,95,96,109,95,8,15,60,25,37,100,38,52,80,4,8,80,25,37,80,0,0,80,0,0,80,0,0,80,0,0,80,0,0,80,0,0,80,160,0,100
204,0,7,100,8,13,100,37,51,150,63,78,120,14,22,100,37,62,80,63,63,95,79,92,95,8,15,60,23,36,100,51,62,80,4,8,80,23,36,80,0,0,80,0,0,80,0,0,80,0,0,80,0,0,80,0,0,80,130,0,100
205,0,7,100,8,15,100,47,63,115,64,79,120,16,26,100,47,63,80,64,64,95,80,93,95,8,15,60,27,38,100,47,48,80,49,54,80,55,63,80,39,46,80,0,0,80,0,0,80,0,0,80,0,0,80,0,0,80,145,0,100
251,0,7,100,8,15,100,27,38,150,58,73,120,16,26,100,39,57,80,58,58,95,74,88,95,8,15,60,27,38,100,39,47,80,48,54,80,55,57,80,31,35,80,0,0,80,0,0,80,0,0,80,0,0,80,0,0,80,165,0,100
206,0,11,100,12,19,100,75,85,150,86,101,120,20,33,100,49,74,80,86,86,95,102,115,95,12,15,60,34,48,100,55,62,80,4,8,80,34,48,80,0,0,80,0,0,80,0,0,80,0,0,80,0,0,80,0,0,80,160,0,100
207,0,7,100,8,15,100,76,83,100,84,99,120,16,24,100,51,75,80,84,84,95,100,113,95,8,15,60,41,50,100,25,38,80,39,39,80,22,24,80,0,0,80,0,0,80,0,0,80,0,0,80,0,0,80,0,0,80,165,-10,100
208,0,7,100,8,15,100,41,56,100,72,90,120,16,24,100,41,56,80,72,72,95,91,104,95,8,15,60,25,40,100,57,59,80,60,64,80,65,71,80,0,0,80,0,0,80,0,0,80,0,0,80,0,0,80,0,0,80,140,-5,100
209,0,7,100,8,15,100,56,70,100,71,86,120,16,29,100,43,55,80,71,71,95,87,100,95,8,15,60,30,42,100,0,4,80,4,8,80,30,42,80,0,0,80,0,0,80,0,0,80,0,0,80,0,0,80,0,0,80,155,-12,100
210,0,7,100,8,15,100,23,44,100,74,89,120,16,22,100,45,54,80,74,74,95,90,103,95,8,15,60,23,44,100,55,63,80,64,64,80,65,73,80,0,0,80,0,0,80,0,0,80,0,0,80,0,0,80,0,0,80,160,0,100
211,0,7,100,8,15,100,0,7,100,66,81,120,16,23,100,49,65,80,66,66,95,82,95,95,8,15,60,34,48,100,24,28,80,28,28,80,29,33,80,0,0,80,0,0,80,0,0,80,0,0,80,0,0,80,0,0,80,150,0,100
212,0,7,100,8,15,100,0,7,100,52,67,120,16,25,100,37,51,80,52,52,95,68,81,95,8,15,60,26,36,100,0,4,80,4,8,80,26,36,80,0,0,80,0,0,80,0,0,80,0,0,80,0,0,80,0,0,80,190,0,100
213,0,7,100,8,15,100,37,50,100,78,93,120,16,25,100,51,77,120,78,78,95,94,107,95,8,15,60,26,36,100,0,4,80,4,8,80,26,36,80,0,0,80,0,0,80,0,0,80,0,0,80,0,0,80,0,0,80,150,0,100
214,0,7,100,8,15,100,34,50,100,54,74,120,16,24,100,37,53,80,54,54,95,75,89,95,8,15,60,23,36,100,0,4,80,4,8,80,23,36,80,0,0,80,0,0,80,0,0,80,0,0,80,0,0,80,0,0,80,145,0,100
215,0,7,100,8,15,100,46,55,100,56,74,120,16,22,100,32,45,80,56,56,95,75,88,95,8,15,60,23,31,100,36,46,80,4,8,80,23,31,80,0,0,80,0,0,80,0,0,80,0,0,80,0,0,80,0,0,80,145,0,100
216,0,11,100,12,19,100,59,71,100,93,108,120,20,31,100,72,92,80,93,93,95,109,122,95,12,15,60,32,45,100,46,58,80,59,71,80,32,45,80,0,0,80,0,0,80,0,0,80,0,0,80,0,0,80,0,0,80,145,0,100
301,0,7,100,8,15,100,47,61,100,62,77,120,16,22,100,47,61,80,62,62,95,78,91,95,8,15,60,23,35,100,36,46,80,4,8,80,23,35,80,0,0,80,0,0,80,0,0,80,0,0,80,0,0,80,0,0,80,160,-8,100
302,0,7,100,8,15,100,24,40,100,76,91,120,16,26,100,56,75,80,76,76,95,92,105,95,8,15,60,47,60,100,27,33,80,33,36,80,37,40,80,41,47,80,48,51,80,52,55,80,0,0,80,0,0,80,0,0,80,150,0,100
303,0,7,100,8,15,100,53,63,100,64,79,120,16,23,100,0,8,80,64,64,95,80,93,95,8,15,60,24,34,100,35,38,80,39,42,80,43,52,80,0,0,80,0,0,80,0,0,80,0,0,80,0,0,80,0,0,80,180,-8,100
304,0,7,100,8,15,100,0,7,150,62,77,120,16,24,100,37,61,80,62,62,95,78,91,95,8,15,60,16,24,100,25,30,80,31,34,80,34,36,80,0,0,80,0,0,80,0,0,80,0,0,80,0,0,80,0,0,80,160,0,100
305,0,7,100,8,15,100,75,84,100,85,100,120,16,24,100,57,74,80,85,85,95,104,114,95,8,15,60,16,24,100,25,33,80,34,34,80,35,38,80,39,45,80,45,45,80,46,57,80,0,0,80,0,0,80,0,0,80,170,0,100
306,0,7,100,8,15,100,75,86,100,87,102,120,16,25,100,50,74,80,87,87,95,103,116,95,8,15,60,26,38,100,39,49,80,4,8,80,26,38,80,0,0,80,0,0,80,0,0,80,0,0,80,0,0,80,0,0,80,140,-8,100
307,0,7,100,8,15,100,25,32,100,71,86,120,16,24,100,52,70,80,90,90,95,87,100,95,8,15,60,25,32,100,33,51,80,4,8,80,25,32,80,0,0,80,0,0,80,0,0,80,0,0,80,0,0,80,0,0,80,160,0,100
307_1,0,7,100,8,15,100,25,32,115,71,86,120,16,24,100,52,70,80,90,90,95,87,100,95,8,15,60,25,32,100,33,51,80,4,8,80,25,32,80,0,0,80,0,0,80,0,0,80,0,0,80,0,0,80,0,0,80,160,0,100
308,0,7,100,8,15,100,51,61,115,62,77,120,16,24,100,51,61,80,62,62,95,78,91,95,8,15,80,51,61,100,35,40,80,40,40,80,41,50,80,25,31,80,31,32,80,33,34,80,0,0,80,0,0,80,0,0,80,140,0,100
309,0,7,100,8,15,100,46,54,100,55,80,120,16,23,100,46,54,80,55,55,95,81,94,95,8,15,60,24,36,100,46,47,80,47,47,80,46,47,80,37,45,80,0,0,80,0,0,80,0,0,80,0,0,80,0,0,80,165,0,100
310,0,7,100,8,15,100,23,39,100,54,69,120,16,22,100,40,53,80,54,54,95,70,83,95,8,15,60,40,53,100,23,27,80,27,28,80,29,39,80,0,0,80,0,0,80,0,0,80,0,0,80,0,0,80,0,0,80,155,0,100
311,0,7,100,8,15,100,50,57,100,58,79,120,16,22,100,30,43,80,58,58,95,80,93,95,8,15,60,23,31,100,32,36,80,36,37,80,38,49,80,32,36,80,36,37,80,38,39,80,0,0,80,0,0,80,0,0,80,150,0,100
312,0,7,100,8,15,100,39,52,100,63,78,120,16,23,100,39,52,80,63,63,95,79,92,95,8,15,60,24,38,100,53,55,80,56,56,80,57,62,80,0,0,80,0,0,80,0,0,80,0,0,80,0,0,80,0,0,80,160,0,100
313,0,11,100,12,17,100,0,7,100,60,75,120,18,30,100,31,45,80,60,60,95,76,89,95,12,15,60,27,41,100,46,49,80,50,56,80,57,59,80,0,0,80,0,0,80,0,0,80,0,0,80,0,0,80,0,0,80,130,-10,100
