resindex,actionid,triFlyEftTime,FlyEftX,FlyEftY,WhiteMaskStart,WhiteMaskStill,PauseStartTime,PauseTime
101,2,550,0,60,0,500,0,500
101,4,550,0,60,0,500,0,500
102,4,550,0,60,0,500,0,500
103,4,550,0,60,0,500,0,500
104,4,550,0,60,0,500,0,500
105,4,550,0,60,0,500,0,500
106,4,550,0,60,0,500,0,500
107,4,550,0,60,0,500,0,500
108,4,550,0,60,0,500,0,500
109,4,550,0,60,0,500,0,500
110,4,550,0,60,0,500,0,500
111,4,550,0,60,0,500,0,500
112,4,550,0,60,0,500,0,500
113,4,550,0,60,0,500,0,500
114,4,550,0,60,0,500,0,500
115,4,550,0,60,0,500,0,500
116,4,550,0,60,0,500,0,500
117,4,550,0,60,0,500,0,500
201,4,550,0,60,0,500,0,500
201_1,4,550,0,60,0,500,0,500
202,4,550,0,60,0,500,0,500
203,4,550,0,60,0,500,0,500
204,4,550,0,60,0,500,0,500
205,4,550,0,60,0,500,0,500
2051,4,550,0,60,0,500,0,500
206,4,550,0,60,0,500,0,500
207,4,550,0,60,0,500,0,500
208,4,550,0,60,0,500,0,500
209,4,550,0,60,0,500,0,500
210,4,550,0,60,0,500,0,500
211,4,550,0,60,0,500,0,500
212,4,550,0,60,0,500,0,500
213,4,550,0,60,0,500,0,500
214,4,550,0,60,0,500,0,500
215,4,550,0,60,0,500,0,500
301,4,550,0,60,0,500,0,500
302,4,550,0,60,0,500,0,500
303,4,550,0,60,0,500,0,500
304,4,550,0,60,0,500,0,500
305,4,550,0,60,0,500,0,500
306,4,550,0,60,0,500,0,500
307,4,550,0,60,0,500,0,500
308,4,550,0,60,0,500,0,500
309,4,550,0,60,0,500,0,500
310,4,550,0,60,0,500,0,500
311,4,550,0,60,0,500,0,500
312,4,550,0,60,0,500,0,500
313,4,550,0,60,0,500,0,500
314,4,550,0,60,0,500,0,500
401,4,550,0,60,0,500,0,500
402,4,550,0,60,0,500,0,500
403,4,550,0,60,0,500,0,500
404,4,550,0,60,0,500,0,500
405,4,550,0,60,0,500,0,500
406,4,550,0,60,0,500,0,500
407,4,550,0,60,0,500,0,500
408,4,550,0,60,0,500,0,500
409,4,550,0,60,0,500,0,500
410,4,550,0,60,0,500,0,500
411,4,550,0,60,0,500,0,500
412,4,550,0,60,0,500,0,500
413,4,550,0,60,0,500,0,500
414,4,550,0,60,0,500,0,500
501,4,550,0,60,0,500,0,500
502,4,550,0,60,0,500,0,500
512,4,550,0,60,0,500,0,500
503,4,550,0,60,0,500,0,500
504,4,550,0,60,0,500,0,500
601,4,550,0,60,0,500,0,500
602,4,550,0,60,0,500,0,500
603,4,550,0,60,0,500,0,500
604,4,550,0,60,0,500,0,500
605,4,550,0,60,0,500,0,500
606,4,550,0,60,0,500,0,500
801,4,550,0,60,0,500,0,500
802,4,550,0,60,0,500,0,500
803,4,550,0,60,0,500,0,500
901,4,550,0,60,0,500,0,500
902,4,550,0,60,0,500,0,500
507,4,550,0,60,0,500,0,500
607,4,550,0,60,0,500,0,500
608,4,550,0,60,0,500,0,500
703,4,550,0,60,0,500,0,500
415,4,550,0,60,0,500,0,500
609,4,550,0,60,0,500,0,500
505,4,550,0,60,0,500,0,500
506,4,550,0,60,0,500,0,500
