id,game,grade,title_show,title,description,type,show,sort,rmb,diamond,extra,time,vipexp,start,continued,cd,picture,floor_pic,floor_pic_type1,chara_type,floor_pic_type2,introduce,grade_show,grade_hide,effect_show,jump,effect_show,wai_effect_show,text1,text2,givemoneyshow,text_cehua,point
10010001,1001,1,1000000钻石,充值1000000钻石,需充值1000人民币,1,1,9,1000,1000000,2000000,1,1000000,0,0,0,icon_vip_01,0,2,0,2,首充|2|2000000|1,0,0,1,0,1,0,0,0,1000000,0,com.qxyx.mlyz.1000
10010002,1001,2,500000钻石,充值500000钻石,需充值500人民币,1,1,8,500,500000,1000000,1,500000,0,0,0,icon_vip_02,0,2,0,2,首充|2|1000000|1,0,0,1,0,1,0,0,0,500000,0,com.qxyx.mlyz.500
10010003,1001,3,300000钻石,充值300000钻石,需充值300人民币,1,1,7,300,300000,600000,1,300000,0,0,0,icon_vip_03,0,2,0,2,首充|2|600000|1,0,0,1,0,1,0,0,0,300000,0,com.qxyx.mlyz.300
10010004,1001,4,200000钻石,充值200000钻石,需充值200人民币,1,1,6,200,200000,400000,1,200000,0,0,0,icon_vip_04,0,2,0,2,首充|2|400000|1,0,0,1,0,1,0,0,0,200000,0,com.qxyx.mlyz.200
10010005,1001,5,100000钻石,充值100000钻石,需充值100人民币,1,1,5,100,100000,900000,1,100000,0,0,0,icon_vip_05,bg_times_02,2,10倍|首充,2,首充|2|900000|1,0,0,1,0,1,1,2,0,100000,0,com.qxyx.mlyz.100
10010006,1001,6,30000钻石,充值30000钻石,需充值30人民币,1,1,4,30,30000,60000,1,30000,0,0,0,icon_vip_06,0,2,0,2,首充|2|60000|1,0,0,1,0,1,0,0,0,30000,0,com.qxyx.mlyz.30
10010007,1001,7,10000钻石,充值10000钻石,需充值10人民币,1,1,3,10,10000,20000,1,10000,0,0,0,icon_vip_10,0,2,0,2,首充|2|20000|1,0,0,1,0,1,0,0,0,10000,0,com.qxyx.mlyz.10
10010008,1001,8,2000000钻石,充值2000000钻石,需充值2000人民币,1,1,10,2000,2000000,4000000,1,2000000,0,0,0,icon_vip_06,0,2,0,2,首充|2|4000000|1,0,0,1,0,1,0,0,0,2000000,0,com.qxyx.mlyz.2000
10010009,1001,9,5000000钻石,充值5000000钻石,需充值5000人民币,1,1,11,5000,5000000,10000000,1,5000000,0,0,0,icon_vip_10,0,2,0,2,首充|2|10000000|1,0,0,1,0,1,0,0,0,5000000,0,com.qxyx.mlyz.5000
10010101,1001,101,普通月卡,充值5000钻石,需充值1人民币,2,1,1,1,5000,100901,30,1000,0,0,0,icon_vip_08,bg_times_01,1,推荐,1,15|3|倍返利,0,0,1,Monthly_CardUI,1,0,0,0,100,0,com.qxyx.mlyz.1
10010102,1001,102,超级月卡,充值150000钻石,需充值30人民币,2,1,2,30,150000,100902,999,30000,0,0,0,icon_vip_07,bg_times_01,1,推荐,1,25|3|倍返利,0,0,1,Monthly_CardUI,1,0,0,0,400,0,com.qxyx.mlyz.30
10010103,1001,103,霸服爽抽,充值15000钻石,需充值15人民币,2,0,3,15,15000,100903,3650,15000,0,0,0,icon_vip_08,bg_times_01,1,推荐,1,15|3|倍返利,0,0,1,Monthly_CardUI,1,0,0,0,100,0,com.qxyx.mlyz.15
