id,heroid,hero_star,skillhave1,skillhave2,skillhave3,skillhave4,skillhave5,skillhave6,type1,value1
1,1001,0,10010001,10010401,10010101,10010201,10010301,0,99,10000
2,1001,1,10010001,10010401,10010102,10010201,10010301,0,99,20000
3,1001,2,10010001,10010401,10010102,10010202,10010301,0,99,30000
4,1001,3,10010001,10010401,10010102,10010202,10010302,0,99,40000
5,1001,4,10010001,10010402,10010102,10010202,10010302,0,99,50000
6,1001,5,10010001,10010402,10010103,10010202,10010302,0,99,60000
7,1001,6,10010001,10010402,10010103,10010203,10010302,0,99,70000
8,1001,7,10010001,10010402,10010103,10010203,10010303,0,99,80000
9,1001,8,10010001,10010403,10010103,10010203,10010303,0,99,90000
10,1001,9,10010001,10010403,10010104,10010203,10010303,0,99,100000
11,1001,10,10010001,10010403,10010104,10010203,10010303,0,99,110000
12,1001,11,10010001,10010403,10010104,10010203,10010303,0,99,120000
13,1001,12,10010001,10010403,10010104,10010203,10010303,0,99,130000
14,1001,13,10010001,10010403,10010104,10010203,10010303,0,99,140000
15,1001,14,10010001,10010403,10010104,10010203,10010303,0,99,150000
16,1001,15,10010001,10010403,10010104,10010203,10010303,0,99,160000
17,1002,0,10020001,10020401,10020101,10020201,10020301,0,99,10000
18,1002,1,10020001,10020401,10020102,10020201,10020301,0,99,20000
19,1002,2,10020001,10020401,10020102,10020202,10020301,0,99,30000
20,1002,3,10020001,10020401,10020102,10020202,10020302,0,99,40000
21,1002,4,10020001,10020402,10020102,10020202,10020302,0,99,50000
22,1002,5,10020001,10020402,10020103,10020202,10020302,0,99,60000
23,1002,6,10020001,10020402,10020103,10020203,10020302,0,99,70000
24,1002,7,10020001,10020402,10020103,10020203,10020303,0,99,80000
25,1002,8,10020001,10020403,10020103,10020203,10020303,0,99,90000
26,1002,9,10020001,10020403,10020104,10020203,10020303,0,99,100000
27,1002,10,10020001,10020403,10020104,10020203,10020303,0,99,110000
28,1002,11,10020001,10020403,10020104,10020203,10020303,0,99,120000
29,1002,12,10020001,10020403,10020104,10020203,10020303,0,99,130000
30,1002,13,10020001,10020403,10020104,10020203,10020303,0,99,140000
31,1002,14,10020001,10020403,10020104,10020203,10020303,0,99,150000
32,1002,15,10020001,10020403,10020104,10020203,10020303,0,99,160000
33,1003,0,10030001,10030401,10030101,10030201,10030301,0,99,10000
34,1003,1,10030001,10030401,10030102,10030201,10030301,0,99,20000
35,1003,2,10030001,10030401,10030102,10030202,10030301,0,99,30000
36,1003,3,10030001,10030401,10030102,10030202,10030302,0,99,40000
37,1003,4,10030001,10030402,10030102,10030202,10030302,0,99,50000
38,1003,5,10030001,10030402,10030103,10030202,10030302,0,99,60000
39,1003,6,10030001,10030402,10030103,10030203,10030302,0,99,70000
40,1003,7,10030001,10030402,10030103,10030203,10030303,0,99,80000
41,1003,8,10030001,10030403,10030103,10030203,10030303,0,99,90000
42,1003,9,10030001,10030403,10030104,10030203,10030303,0,99,100000
43,1003,10,10030001,10030403,10030104,10030203,10030303,0,99,110000
44,1003,11,10030001,10030403,10030104,10030203,10030303,0,99,120000
45,1003,12,10030001,10030403,10030104,10030203,10030303,0,99,130000
