id,mapid,line,row,numberofplies,difficulty,isshow,element,name,limit_param,upper_param,limit_Robot,minimum_limit,limit_min,upper_min,limitrobot_min,minimum_min,param1,param2,select1,select2,select3,select4,cart_lv,cart_quality,showprize,showprizenum,treasure_item1,treasure_num1,treasure_item2,treasure_num2,treasure_item3,treasure_num3,prize1,num1,prize2,num2,prize3,num3,prize4,num4,prize5,num5,lottery1,lottery2,lottery3,brave_item,brave_num,intr,intr2,relique_p1,relique_p2,relique_p3,first_robot_quality,first_robot_lv,first_robot_group,vshop_p1,vshop_p2,vshop_p3,vshop_p4
110010131,1,1,3,1,1,0,1,起点,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110010221,1,2,2,1,1,1,6,号令火炬,0,0,0,0,0,0,0,0,0,0,1,1|2,1|3,1|4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,点燃火炬，召唤一名英雄协助你完成本次冒险,点燃火炬，召唤一名英雄协助你完成本次冒险,0,0,0,0,0,0,0,0,0,0
110010241,1,2,4,1,1,0,2,普通怪,3500,3900,1000,2000,1500,1900,500,500,0,0,0,0,0,0,0,0,70000001,1,0,0,0,0,0,0,91000051,105,0,0,0,0,0,0,0,0,0,0,0,0,0,战胜我，你就可以拿到数不尽的宝物,战胜我，你就可以拿到数不尽的宝物,9000,1000,0,1|1|1|1|1,2|2|2|2|2,11|11|11|13|13,2,0,0,8
110010311,1,3,1,1,1,0,2,普通怪,3900,4300,1400,2400,1900,2300,900,900,0,0,0,0,0,0,0,0,70000001,1,0,0,0,0,0,0,91000051,110,0,0,0,0,0,0,0,0,0,0,0,0,0,战胜我，你就可以拿到数不尽的宝物,战胜我，你就可以拿到数不尽的宝物,9000,1000,0,1|1|1|1|1,3|3|3|3|3,11|11|11|13|13,2,0,0,8
110010331,1,3,3,1,1,1,6,号令火炬,0,0,0,0,0,0,0,0,0,0,1,1|2,1|3,1|4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,点燃火炬，召唤一名英雄协助你完成本次冒险,点燃火炬，召唤一名英雄协助你完成本次冒险,0,0,0,0,0,0,0,0,0,0
110010351,1,3,5,1,1,0,3,精英怪,4200,4800,1700,2700,2200,2800,1200,1200,0,0,0,0,0,0,0,0,70000001,1,0,0,0,0,0,0,91000051,110,0,0,0,0,0,0,0,0,0,0,0,0,0,战胜我，你就可以拿到数不尽的宝物,战胜我，你就可以拿到数不尽的宝物,0,8000,2000,1|1|1|1|1,13|13|13|13|13,11|11|11|13|13,0,1,0,9
110010421,1,4,2,1,1,0,3,精英怪,4800,5400,2300,3300,2800,3400,1800,1800,0,0,0,0,0,0,0,0,70000001,1,0,0,0,0,0,0,91000051,115,0,0,0,0,0,0,0,0,0,0,0,0,0,战胜我，你就可以拿到数不尽的宝物,战胜我，你就可以拿到数不尽的宝物,0,8000,2000,1|1|1|1|1,14|14|14|14|14,11|11|11|13|13,0,1,0,9
110010441,1,4,4,1,1,1,6,号令火炬,0,0,0,0,0,0,0,0,0,0,1,1|2,1|3,1|4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,点燃火炬，召唤一名英雄协助你完成本次冒险,点燃火炬，召唤一名英雄协助你完成本次冒险,0,0,0,0,0,0,0,0,0,0
110010511,1,5,1,1,1,0,2,普通怪,4700,5100,2200,3200,2700,3100,1700,1700,0,0,0,0,0,0,0,0,70000001,1,0,0,0,0,0,0,91000051,120,0,0,0,0,0,0,0,0,0,0,0,0,0,战胜我，你就可以拿到数不尽的宝物,战胜我，你就可以拿到数不尽的宝物,9000,1000,0,1|1|1|1|1,5|5|5|5|5,11|11|11|13|13,2,0,0,8
110010531,1,5,3,1,1,0,2,普通怪,4700,5100,2200,3200,2700,3100,1700,1700,0,0,0,0,0,0,0,0,70000001,1,0,0,0,0,0,0,91000051,120,0,0,0,0,0,0,0,0,0,0,0,0,0,战胜我，你就可以拿到数不尽的宝物,战胜我，你就可以拿到数不尽的宝物,9000,1000,0,1|1|1|1|1,5|5|5|5|5,11|11|11|13|13,2,0,0,8
110010551,1,5,5,1,1,0,3,精英怪,5400,6000,2900,3900,3400,4000,2400,2400,0,0,0,0,0,0,0,0,70000001,1,0,0,0,0,0,0,91000051,120,0,0,0,0,0,0,0,0,0,0,0,0,0,战胜我，你就可以拿到数不尽的宝物,战胜我，你就可以拿到数不尽的宝物,0,8000,2000,1|1|1|1|1,16|16|16|16|16,11|11|11|13|13,0,1,0,9
110010621,1,6,2,1,1,0,2,普通怪,5100,5500,2600,3600,3100,3500,2100,2100,0,0,0,0,0,0,0,0,70000001,1,0,0,0,0,0,0,91000051,125,0,0,0,0,0,0,0,0,0,0,0,0,0,战胜我，你就可以拿到数不尽的宝物,战胜我，你就可以拿到数不尽的宝物,9000,1000,0,1|1|1|1|1,8|8|8|8|8,11|11|11|13|13,2,0,0,8
110010641,1,6,4,1,1,1,7,复苏清泉,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,流动的清泉如同流动的生命，品尝甘甜的泉水能使疲惫的人获得活力。使所有未战败的英雄回复50%的生命。,流动的清泉，能让存活英雄恢复50%生命。,0,0,0,0,0,0,0,0,0,0
110010711,1,7,1,1,1,0,3,精英怪,6000,6600,3500,4500,4000,4600,3000,3000,0,0,0,0,0,0,0,0,70000001,1,0,0,0,0,0,0,91000051,130,0,0,0,0,0,0,0,0,0,0,0,0,0,战胜我，你就可以拿到数不尽的宝物,战胜我，你就可以拿到数不尽的宝物,0,8000,2000,1|1|1|1|1,18|18|18|18|18,11|11|11|13|13,0,1,0,9
110010731,1,7,3,1,1,0,2,普通怪,5500,5900,3000,4000,3500,3900,2500,2500,0,0,0,0,0,0,0,0,70000001,1,0,0,0,0,0,0,91000051,130,0,0,0,0,0,0,0,0,0,0,0,0,0,战胜我，你就可以拿到数不尽的宝物,战胜我，你就可以拿到数不尽的宝物,9000,1000,0,1|1|1|1|1,10|10|10|10|10,11|11|11|13|13,2,0,0,8
110010751,1,7,5,1,1,0,2,普通怪,5500,5900,3000,4000,3500,3900,2500,2500,0,0,0,0,0,0,0,0,70000001,1,0,0,0,0,0,0,91000051,130,0,0,0,0,0,0,0,0,0,0,0,0,0,战胜我，你就可以拿到数不尽的宝物,战胜我，你就可以拿到数不尽的宝物,9000,1000,0,1|1|1|1|1,10|10|10|10|10,11|11|11|13|13,2,0,0,8
110010821,1,8,2,1,1,1,7,复苏清泉,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,流动的清泉如同流动的生命，品尝甘甜的泉水能使疲惫的人获得活力。使所有未战败的英雄回复50%的生命。,流动的清泉，能让存活英雄恢复50%生命。,0,0,0,0,0,0,0,0,0,0
