id,group,lv,growth_type1,growth_value1,growth_type2,growth_value2,growth_type3,growth_value3
1,1,1,1,29184,2,736,3,72
2,1,2,1,29976,2,756,3,72
3,1,3,1,30780,2,776,3,74
4,1,4,1,31584,2,796,3,76
5,1,5,1,32388,2,816,3,78
6,1,6,1,33192,2,836,3,80
7,1,7,1,33996,2,856,3,82
8,1,8,1,34800,2,876,3,84
9,1,9,1,35604,2,896,3,86
10,1,10,1,36396,2,916,3,88
11,1,11,1,39756,2,1000,3,98
12,1,12,1,40704,2,1024,3,100
13,1,13,1,41652,2,1048,3,102
14,1,14,1,42600,2,1072,3,104
15,1,15,1,43548,2,1096,3,106
16,1,16,1,44496,2,1120,3,108
17,1,17,1,45444,2,1144,3,112
18,1,18,1,46392,2,1168,3,114
19,1,19,1,47340,2,1192,3,116
20,1,20,1,48288,2,1216,3,118
21,1,21,1,57048,2,1436,3,140
22,1,22,1,58284,2,1468,3,142
23,1,23,1,59532,2,1500,3,146
24,1,24,1,60768,2,1532,3,148
25,1,25,1,62016,2,1564,3,152
26,1,26,1,63252,2,1592,3,156
27,1,27,1,64488,2,1624,3,158
28,1,28,1,65736,2,1656,3,162
29,1,29,1,66972,2,1688,3,164
30,1,30,1,68208,2,1720,3,168
31,1,31,1,69456,2,1748,3,170
32,1,32,1,70692,2,1780,3,174
33,1,33,1,71928,2,1812,3,176
34,1,34,1,73176,2,1844,3,180
35,1,35,1,74412,2,1876,3,182
36,1,36,1,75648,2,1908,3,186
37,1,37,1,76896,2,1936,3,188
38,1,38,1,78132,2,1968,3,192
39,1,39,1,79380,2,2000,3,194
40,1,40,1,80616,2,2032,3,198
41,1,41,1,96672,2,2436,3,238
42,1,42,1,98412,2,2480,3,242
43,1,43,1,100164,2,2524,3,246
44,1,44,1,101916,2,2568,3,250
45,1,45,1,103668,2,2612,3,254
46,1,46,1,105420,2,2656,3,260
47,1,47,1,107172,2,2700,3,264
48,1,48,1,108924,2,2744,3,268
49,1,49,1,110676,2,2788,3,272
50,1,50,1,112428,2,2832,3,276
51,1,51,1,114180,2,2876,3,280
52,1,52,1,115932,2,2920,3,286
53,1,53,1,117684,2,2964,3,290
54,1,54,1,119424,2,3012,3,294
55,1,55,1,121176,2,3056,3,298
56,1,56,1,122928,2,3100,3,302
57,1,57,1,124680,2,3144,3,306
58,1,58,1,126432,2,3188,3,310
59,1,59,1,128184,2,3232,3,316
60,1,60,1,129936,2,3276,3,320
61,1,61,1,153288,2,3864,3,378
62,1,62,1,155688,2,3924,3,384
63,1,63,1,158100,2,3984,3,390
64,1,64,1,160512,2,4048,3,396
65,1,65,1,162912,2,4108,3,400
66,1,66,1,165324,2,4168,3,406
67,1,67,1,167724,2,4228,3,412
68,1,68,1,170136,2,4288,3,418
69,1,69,1,172548,2,4348,3,424
70,1,70,1,174948,2,4412,3,430
71,1,71,1,177360,2,4472,3,436
72,1,72,1,179772,2,4532,3,442
73,1,73,1,182172,2,4592,3,448
74,1,74,1,184584,2,4652,3,454
75,1,75,1,186996,2,4712,3,460
76,1,76,1,189396,2,4776,3,466
77,1,77,1,191808,2,4836,3,472
78,1,78,1,194208,2,4896,3,478
79,1,79,1,196620,2,4956,3,484
80,1,80,1,199032,2,5016,3,490
81,1,81,1,231132,2,5828,3,570
82,1,82,1,234636,2,5916,3,578
83,1,83,1,238140,2,6004,3,586
84,1,84,1,241632,2,6092,3,596
85,1,85,1,245136,2,6180,3,604
86,1,86,1,248640,2,6268,3,612
87,1,87,1,252144,2,6356,3,622
88,1,88,1,255648,2,6444,3,630
89,1,89,1,259152,2,6532,3,638
90,1,90,1,262656,2,6624,3,646
91,1,91,1,266148,2,6712,3,656
92,1,92,1,269652,2,6800,3,664
93,1,93,1,273156,2,6888,3,672
94,1,94,1,276660,2,6976,3,682
95,1,95,1,280164,2,7064,3,690
96,1,96,1,283668,2,7152,3,698
97,1,97,1,287160,2,7240,3,708
98,1,98,1,290664,2,7328,3,716
99,1,99,1,294168,2,7416,3,724
100,1,100,1,297672,2,7504,3,734
101,1,101,1,341448,2,8608,3,842
102,1,102,1,346404,2,8736,3,854
103,1,103,1,351372,2,8860,3,866
104,1,104,1,356328,2,8984,3,878
105,1,105,1,361296,2,9108,3,890
106,1,106,1,366252,2,9236,3,902
107,1,107,1,371220,2,9360,3,914
108,1,108,1,376176,2,9484,3,928
109,1,109,1,381132,2,9612,3,940
110,1,110,1,386100,2,9736,3,952
