id,mean_star1,mean_star2,star1,star2,star3,star4,common_cart
1,0,10,3,3,3,3,2
2,10,20,3,3,3,3,2
3,20,30,3,3,3,3,2
4,30,40,4,4,4,4,2
5,40,50,4,4,4,4,2
6,50,60,5,5,5,5,2
7,60,70,6,6,6,6,2
8,70,80,7,7,7,7,2
9,80,90,8,8,8,8,4
10,90,100,9,9,9,9,4
11,100,110,10,10,10,10,4
12,110,120,11,11,11,11,4
13,120,130,12,12,12,12,4
14,130,140,13,13,13,13,4
15,140,150,14,14,14,14,4
16,150,160,15,15,15,15,4
17,160,170,16,16,16,16,4
18,170,180,17,17,17,17,4
19,180,190,18,18,18,18,4
20,190,200,19,19,19,19,4
21,200,210,20,20,20,20,4
22,210,220,21,21,21,21,4
23,220,230,22,22,22,22,4
24,230,240,23,23,23,23,4
25,240,250,24,24,24,24,4
26,250,260,25,25,25,25,4
27,260,270,26,26,26,26,4
28,270,280,27,27,27,27,4
29,280,290,28,28,28,28,4
30,290,300,29,29,29,29,4
31,300,310,30,30,30,30,4
32,310,320,31,31,31,31,4
33,320,330,32,32,32,32,4
34,330,340,33,33,33,33,4
35,340,350,34,34,34,34,4
36,350,360,35,35,35,35,4
37,360,370,36,36,36,36,4
38,370,9999,37,37,37,37,4
