id,group,sort,txt,item1,num1,item2,num2,item3,num3,item4,num4
1,1,1,第一天豪华礼包,91000002,300,42010001,10,91000001,50000,0,0
2,1,2,第二天豪华礼包,91000002,300,13000001,120,91000001,100000,0,0
3,1,3,第三天豪华礼包,91000002,500,42010001,10,91000001,150000,0,0
4,1,4,第四天豪华礼包,91000002,500,13000002,120,91000001,200000,0,0
5,1,5,第五天豪华礼包,91000002,1000,42010001,10,91000001,250000,0,0
6,1,6,第六天豪华礼包,91000002,1000,13000001,240,91000001,300000,0,0
7,1,7,第七天豪华礼包,91000002,1500,13000002,180,91000001,400000,0,0
8,2,1,第一天豪华礼包,40000003,30,40000004,25,30000003,1,42010001,10
9,2,2,第二天豪华礼包,91000002,400,42010001,10,91000001,100000,0,0
10,2,3,第三天豪华礼包,91000002,300,30020045,20,91000001,200000,0,0
11,2,4,第四天豪华礼包,91000002,600,42010001,10,91000001,300000,0,0
12,2,5,第五天豪华礼包,91000002,800,42010001,10,91000001,400000,0,0
13,2,6,第六天豪华礼包,91000002,1000,42010001,10,91000001,500000,0,0
14,2,7,第七天豪华礼包,91000002,1200,42010001,20,30000003,2,0,0
