id,txt,frequency,ranking,item,num
1,巅峰竞技场达到64强,1,64,91000001,1
2,巅峰竞技场达到8强,1,8,91000001,1
3,巅峰竞技场达到4强,1,4,91000001,1
4,巅峰竞技场获得1次冠军,1,1,91000001,1
5,巅峰竞技场获得2次冠军,2,1,91000001,1
6,巅峰竞技场获得3次冠军,3,1,91000001,1
7,巅峰竞技场获得4次冠军,4,1,91000001,1
8,巅峰竞技场获得5次冠军,5,1,91000001,1
9,巅峰竞技场获得6次冠军,6,1,91000001,1
10,巅峰竞技场获得7次冠军,7,1,91000001,1
11,巅峰竞技场获得8次冠军,8,1,91000001,1
12,巅峰竞技场获得9次冠军,9,1,91000001,1
13,巅峰竞技场获得10次冠军,10,1,91000001,1
14,巅峰竞技场获得11次冠军,11,1,91000001,1
15,巅峰竞技场获得12次冠军,12,1,91000001,1
16,巅峰竞技场获得13次冠军,13,1,91000001,1
17,巅峰竞技场获得14次冠军,14,1,91000001,1
18,巅峰竞技场获得15次冠军,15,1,91000001,1
