id,levelindex,levelid,unlock_item,unlock_shop,unlock_txt,sort
1,0,0,79000008,0,0,17
2,1,500110,91000032,0,0,4
3,2,500215,21000101,0,0,18
4,3,500315,21000102,0,0,19
5,4,500420,21000103,0,0,20
6,5,500520,21000104,0,0,21
7,6,500630,21000105,0,0,22
8,7,500730,21000106,0,0,23
9,8,500830,81400602,0,0,3
10,9,500930,21001001,0,0,11
11,10,501030,21001002,0,0,12
12,11,501130,21001003,0,0,13
13,12,501230,21001004,0,0,14
14,13,501330,21001005,0,0,15
15,14,501430,21001006,0,0,16
16,15,501530,76000003,0,0,2
17,20,502030,21010001,0,0,5
18,23,502330,21010002,0,0,6
19,26,502630,21010003,0,0,7
20,29,502930,21010004,0,0,8
21,30,503030,31000105,0,0,1
22,32,503230,21010005,0,0,9
23,36,503630,21010006,0,0,10
