play,id,type,min_order,max_order,txt,item1,num1,item2,num2,item3,num3,item4,num4,item5,num5,item6,num6,base_itemid,base_num,mail_type,bag
1,100001,1,0,0,国战胜利奖励：,91000001,100000,60000222,5,60000224,5,0,0,0,0,0,0,0,0,101,0
1,100002,2,0,0,国战失败奖励：,91000001,50000,60000222,2,60000224,3,0,0,0,0,0,0,0,0,102,0
1,101001,3,1,1,连斩第1名奖励：,91000001,100000,60000222,4,60000224,4,0,0,0,0,0,0,0,0,103,0
1,101002,3,2,2,连斩第2名奖励：,91000001,80000,60000222,3,60000224,3,0,0,0,0,0,0,0,0,103,0
1,101003,3,3,3,连斩第3名奖励：,91000001,50000,60000222,2,60000224,2,0,0,0,0,0,0,0,0,103,0
1,101006,3,4,35,参与奖：,91000001,20000,60000222,1,60000224,1,0,0,0,0,0,0,0,0,103,0
3,300001,1,0,0,军团战胜利奖励：,91000001,300000,60000214,9,91000032,3000,0,0,0,0,0,0,0,0,401,0
3,300002,2,0,0,军团战失败奖励：,91000001,200000,60000214,6,91000032,2000,0,0,0,0,0,0,0,0,402,0
3,300003,4,0,0,军团战参与奖励：,91000001,100000,60000214,3,91000032,1000,0,0,0,0,0,0,0,0,403,0
2,200001,5,1,1,矿点争夺战第1名奖励,91000001,100000,91000031,10000,30101000,100,0,0,0,0,0,0,0,0,201,0
2,200002,5,2,2,矿点争夺战第2名奖励,91000001,80000,91000031,8000,30101000,80,0,0,0,0,0,0,0,0,202,0
2,200003,5,3,3,矿点争夺战第3名奖励,91000001,60000,91000031,6000,30101000,60,0,0,0,0,0,0,0,0,203,0
2,200011,6,0,0,矿点争夺战全场最佳奖励,91000001,50000,91000031,5000,30101000,50,0,0,0,0,0,0,0,0,211,0
4,400001,7,1,1,孤山夺宝阵营第1名奖励,91000001,300000,60000200,5,80000011,3,0,0,0,0,0,0,0,0,301,0
4,400002,7,2,2,孤山夺宝阵营第2名奖励,91000001,200000,60000200,3,80000011,2,0,0,0,0,0,0,0,0,302,0
4,400003,7,3,3,孤山夺宝阵营第3名奖励,91000001,100000,60000200,1,80000011,1,0,0,0,0,0,0,0,0,303,0
