drop_id,drop_group,item_id,role_name,drop_name,drop_cards_num,chance,alert,haveitem,havechance,wishchance,time_generals_notice
1,3001,11101601,秘境修士,绿色全卡组,1,1,0,0,0,0,0
2,3001,11101701,秘境护卫,绿色全卡组,1,1,0,0,0,0,0
3,3001,11201401,兽人战士,绿色全卡组,1,1,0,0,0,0,0
4,3001,11201501,兽人驯兽师,绿色全卡组,1,1,0,0,0,0,0
5,3001,11301301,灵俑护卫,绿色全卡组,1,1,0,0,0,0,0
6,3001,11301401,灵俑英豪,绿色全卡组,1,1,0,0,0,0,0
7,3001,11401301,自然之力,绿色全卡组,1,1,0,0,0,0,0
8,3001,11401401,绿盟武士,绿色全卡组,1,1,0,0,0,0,0
9,3002,11101201,北境之锤,蓝色全卡组,1,1,0,0,0,0,0
10,3002,11101301,剑咏吟游,蓝色全卡组,1,1,0,0,0,0,0
11,3002,11101401,狩魔鹰眼,蓝色全卡组,1,1,0,0,0,0,0
12,3002,11101501,魔导女爵,蓝色全卡组,1,1,0,0,0,0,0
13,3002,11201101,黑寡妇,蓝色全卡组,1,1,0,0,0,0,0
14,3002,11201201,图腾之怒,蓝色全卡组,1,1,0,0,0,0,0
15,3002,11201301,符文猎手,蓝色全卡组,1,1,0,0,0,0,0
16,3002,11301001,裁决判官,蓝色全卡组,1,1,0,0,0,0,0
17,3002,11301101,瞬杀罗刹,蓝色全卡组,1,1,0,0,0,0,0
18,3002,11301201,崇邪外道,蓝色全卡组,1,1,0,0,0,0,0
19,3002,11401001,贯天之箭,蓝色全卡组,1,1,0,0,0,0,0
20,3002,11401101,持戒护法,蓝色全卡组,1,1,0,0,0,0,0
21,3002,11401201,密林智者,蓝色全卡组,1,1,0,0,0,0,0
22,3003,11100101,天命骑士,紫色全卡组,1,5,0,0,0,10,0
23,3003,11100201,水占巫女,紫色全卡组,1,5,0,0,0,10,0
24,3003,11100301,天谴毒师,紫色全卡组,1,5,0,0,0,10,0
25,3003,11100401,漫游灾星,紫色全卡组,1,5,0,0,0,10,0
26,3003,11100501,不落之壁,紫色全卡组,1,5,0,0,0,10,0
27,3003,11100601,贵族之刃,紫色全卡组,1,5,0,0,0,10,0
28,3003,11100701,惩戒骑士,紫色全卡组,1,5,0,0,0,10,0
29,3003,11100801,仙铃信使,紫色全卡组,1,5,0,0,0,10,0
30,3003,11100901,绝影柔弓,紫色全卡组,1,5,0,0,0,10,0
31,3003,11101001,奇想学徒,紫色全卡组,1,5,0,0,0,10,0
32,3003,11101101,诸海之灾,紫色全卡组,1,5,0,0,0,10,0
33,3003,11101202,北境之锤,紫色全卡组,1,5,0,0,0,10,0
34,3003,11101302,剑咏吟游,紫色全卡组,1,5,0,0,0,10,0
35,3003,11101402,狩魔鹰眼,紫色全卡组,1,5,0,0,0,10,0
36,3003,11101502,魔导女爵,紫色全卡组,1,5,0,0,0,10,0
37,3003,11101801,关羽,紫色全卡组,1,5,0,0,0,10,0
38,3003,11200101,狂刃怒兽,紫色全卡组,1,5,0,0,0,10,0
39,3003,11200201,熔炉铁皇,紫色全卡组,1,5,0,0,0,10,0
40,3003,11200301,燎原暗箭,紫色全卡组,1,5,0,0,0,10,0
41,3003,11200401,炎魂祭司,紫色全卡组,1,5,0,0,0,10,0
42,3003,11200501,独行骑手,紫色全卡组,1,5,0,0,0,10,0
43,3003,11200601,街头霸王,紫色全卡组,1,5,0,0,0,10,0
44,3003,11200701,胜利之矛,紫色全卡组,1,5,0,0,0,10,0
45,3003,11200801,圣焰王女,紫色全卡组,1,0,0,0,0,0,0
46,3003,11200901,林中女巫,紫色全卡组,1,5,0,0,0,10,0
47,3003,11201001,刀锋龙卷,紫色全卡组,1,5,0,0,0,10,0
48,3003,11201102,黑寡妇,紫色全卡组,1,5,0,0,0,10,0
49,3003,11201202,图腾之怒,紫色全卡组,1,5,0,0,0,10,0
50,3003,11201302,符文猎手,紫色全卡组,1,5,0,0,0,10,0
51,3003,11201601,峰峦霸主,紫色全卡组,1,5,0,0,0,10,0
52,3003,11300101,不朽剑魔,紫色全卡组,1,5,0,0,0,10,0
53,3003,11300201,猎魂巫妖,紫色全卡组,1,5,0,0,0,10,0
54,3003,11300301,古代圣王,紫色全卡组,1,5,0,0,0,10,0
55,3003,11300401,月之暗面,紫色全卡组,1,5,0,0,0,10,0
56,3003,11300501,龙王之手,紫色全卡组,1,5,0,0,0,10,0
57,3003,11300601,禁军射手,紫色全卡组,1,5,0,0,0,10,0
58,3003,11300701,鬼面金刚,紫色全卡组,1,5,0,0,0,10,0
59,3003,11300801,叛逆修罗,紫色全卡组,1,5,0,0,0,10,0
60,3003,11300901,即身罗汉,紫色全卡组,1,5,0,0,0,10,0
61,3003,11301002,裁决判官,紫色全卡组,1,5,0,0,0,10,0
62,3003,11301102,瞬杀罗刹,紫色全卡组,1,5,0,0,0,10,0
63,3003,11301202,崇邪外道,紫色全卡组,1,5,0,0,0,10,0
64,3003,11400101,神愈之光,紫色全卡组,1,5,0,0,0,10,0
65,3003,11400201,秘教刺客,紫色全卡组,1,5,0,0,0,10,0
66,3003,11400301,野性猎手,紫色全卡组,1,5,0,0,0,10,0
67,3003,11400401,魔城巫后,紫色全卡组,1,5,0,0,0,10,0
68,3003,11400501,永恒之树,紫色全卡组,1,5,0,0,0,10,0
69,3003,11400601,疾行神将,紫色全卡组,1,5,0,0,0,10,0
70,3003,11400701,绝世剑舞,紫色全卡组,1,5,0,0,0,10,0
71,3003,11400801,放浪狂战,紫色全卡组,1,5,0,0,0,10,0
72,3003,11400901,缚法游人,紫色全卡组,1,5,0,0,0,10,0
73,3003,11401002,贯天之箭,紫色全卡组,1,5,0,0,0,10,0
74,3003,11401102,持戒护法,紫色全卡组,1,5,0,0,0,10,0
75,3003,11401202,密林智者,紫色全卡组,1,5,0,0,0,10,0
76,3003,11401501,秘法精灵,紫色全卡组,1,5,0,0,0,10,0
77,3003,11500101,降魔之剑,紫色全卡组,1,1,0,0,0,1,0
78,3003,11500201,永劫双生,紫色全卡组,1,0,0,0,0,0,0
79,3003,11500301,至尊伟力,紫色全卡组,1,1,0,0,0,1,0
80,3003,11500401,焚烈圣炎,紫色全卡组,1,1,0,0,0,1,0
81,3003,11500601,宙斯,紫色全卡组,1,1,0,0,0,1,0
82,3003,11500701,齐天大圣,紫色全卡组,1,1,0,0,0,1,0
83,3003,11600101,魔域斗罗,紫色全卡组,1,1,0,0,0,1,0
84,3003,11600201,全视之眼,紫色全卡组,1,1,0,0,0,1,0
85,3003,11600301,乱咒法皇,紫色全卡组,1,0,0,0,0,0,0
86,3003,11500501,湿婆,紫色全卡组,1,1,0,0,0,1,0
87,3003,11600901,哈奴曼,紫色全卡组,1,1,0,0,0,1,0
88,10001,11100101,天命骑士,水卡紫色卡组,1,1,1,0,0,2,0
89,10001,11100201,水占巫女,水卡紫色卡组,1,1,1,0,0,2,0
90,10001,11100301,天谴毒师,水卡紫色卡组,1,1,1,0,0,2,0
91,10001,11100401,漫游灾星,水卡紫色卡组,1,1,1,0,0,2,0
92,10001,11100501,不落之壁,水卡紫色卡组,1,1,1,0,0,2,0
93,10001,11100601,贵族之刃,水卡紫色卡组,1,1,1,0,0,2,0
94,10001,11100701,惩戒骑士,水卡紫色卡组,1,1,1,0,0,2,0
95,10001,11100801,仙铃信使,水卡紫色卡组,1,1,1,0,0,2,0
96,10001,11100901,绝影柔弓,水卡紫色卡组,1,1,1,0,0,2,0
97,10001,11101001,奇想学徒,水卡紫色卡组,1,1,1,0,0,2,0
98,10001,11101101,诸海之灾,水卡紫色卡组,1,1,1,0,0,2,0
99,10001,11101202,北境之锤,水卡紫色卡组,1,1,1,0,0,2,0
100,10001,11101302,剑咏吟游,水卡紫色卡组,1,1,1,0,0,2,0
101,10001,11101402,狩魔鹰眼,水卡紫色卡组,1,1,1,0,0,2,0
102,10001,11101502,魔导女爵,水卡紫色卡组,1,1,1,0,0,2,0
103,10001,11101801,关羽,水卡紫色卡组,1,1,1,0,0,2,0
104,20001,11200101,狂刃怒兽,火卡紫色卡组,1,1,1,0,0,2,0
105,20001,11200201,熔炉铁皇,火卡紫色卡组,1,1,1,0,0,2,0
106,20001,11200301,燎原暗箭,火卡紫色卡组,1,1,1,0,0,2,0
107,20001,11200401,炎魂祭司,火卡紫色卡组,1,1,1,0,0,2,0
108,20001,11200501,独行骑手,火卡紫色卡组,1,1,1,0,0,2,0
109,20001,11200601,街头霸王,火卡紫色卡组,1,1,1,0,0,2,0
110,20001,11200701,胜利之矛,火卡紫色卡组,1,1,1,0,0,2,0
111,20001,11200801,圣焰王女,火卡紫色卡组,1,0,0,0,0,0,0
112,20001,11200901,林中女巫,火卡紫色卡组,1,1,1,0,0,2,0
113,20001,11201001,刀锋龙卷,火卡紫色卡组,1,1,1,0,0,2,0
114,20001,11201102,黑寡妇,火卡紫色卡组,1,1,1,0,0,2,0
115,20001,11201202,图腾之怒,火卡紫色卡组,1,1,1,0,0,2,0
116,20001,11201302,符文猎手,火卡紫色卡组,1,1,1,0,0,2,0
117,20001,11201601,峰峦霸主,火卡紫色卡组,1,1,1,0,0,2,0
118,30001,11300101,不朽剑魔,雷卡紫色卡组,1,1,1,0,0,2,0
119,30001,11300201,猎魂巫妖,雷卡紫色卡组,1,1,1,0,0,2,0
120,30001,11300301,古代圣王,雷卡紫色卡组,1,1,1,0,0,2,0
121,30001,11300401,月之暗面,雷卡紫色卡组,1,1,1,0,0,2,0
122,30001,11300501,龙王之手,雷卡紫色卡组,1,1,1,0,0,2,0
123,30001,11300601,禁军射手,雷卡紫色卡组,1,1,1,0,0,2,0
124,30001,11300701,鬼面金刚,雷卡紫色卡组,1,1,1,0,0,2,0
125,30001,11300801,叛逆修罗,雷卡紫色卡组,1,1,1,0,0,2,0
126,30001,11300901,即身罗汉,雷卡紫色卡组,1,1,1,0,0,2,0
127,30001,11301002,裁决判官,雷卡紫色卡组,1,1,1,0,0,2,0
128,30001,11301102,瞬杀罗刹,雷卡紫色卡组,1,1,1,0,0,2,0
129,30001,11301202,崇邪外道,雷卡紫色卡组,1,1,1,0,0,2,0
130,40001,11400101,神愈之光,土卡紫色卡组,1,1,1,0,0,2,0
131,40001,11400201,秘教刺客,土卡紫色卡组,1,1,1,0,0,2,0
132,40001,11400301,野性猎手,土卡紫色卡组,1,1,1,0,0,2,0
133,40001,11400401,魔城巫后,土卡紫色卡组,1,1,1,0,0,2,0
134,40001,11400501,永恒之树,土卡紫色卡组,1,1,1,0,0,2,0
135,40001,11400601,疾行神将,土卡紫色卡组,1,1,1,0,0,2,0
136,40001,11400701,绝世剑舞,土卡紫色卡组,1,1,1,0,0,2,0
137,40001,11400801,放浪狂战,土卡紫色卡组,1,1,1,0,0,2,0
138,40001,11400901,缚法游人,土卡紫色卡组,1,1,1,0,0,2,0
139,40001,11401002,贯天之箭,土卡紫色卡组,1,1,1,0,0,2,0
140,40001,11401102,持戒护法,土卡紫色卡组,1,1,1,0,0,2,0
141,40001,11401202,密林智者,土卡紫色卡组,1,1,1,0,0,2,0
142,40001,11401501,秘法精灵,土卡紫色卡组,1,1,1,0,0,2,0
143,10002,11101201,北境之锤,水卡蓝色卡组,1,1,1,0,0,2,0
144,10002,11101301,剑咏吟游,水卡蓝色卡组,1,1,1,0,0,2,0
145,10002,11101401,狩魔鹰眼,水卡蓝色卡组,1,1,1,0,0,2,0
146,10002,11101501,魔导女爵,水卡蓝色卡组,1,1,1,0,0,2,0
147,20002,11201101,黑寡妇,火卡蓝色卡组,1,1,1,0,0,2,0
148,20002,11201201,图腾之怒,火卡蓝色卡组,1,1,1,0,0,2,0
149,20002,11201301,符文猎手,火卡蓝色卡组,1,1,1,0,0,2,0
150,30002,11301001,裁决判官,雷卡蓝色卡组,1,1,1,0,0,2,0
151,30002,11301101,瞬杀罗刹,雷卡蓝色卡组,1,1,1,0,0,2,0
152,30002,11301201,崇邪外道,雷卡蓝色卡组,1,1,1,0,0,2,0
153,40002,11401001,贯天之箭,土卡蓝色卡组,1,1,1,0,0,2,0
154,40002,11401101,持戒护法,土卡蓝色卡组,1,1,1,0,0,2,0
155,40002,11401201,密林智者,土卡蓝色卡组,1,1,1,0,0,2,0
156,10003,11101601,秘境修士,水卡绿色卡组,1,1,1,0,0,2,0
157,10003,11101701,秘境护卫,水卡绿色卡组,1,1,1,0,0,2,0
158,20003,11201401,兽人战士,火卡绿色卡组,1,1,1,0,0,2,0
159,20003,11201501,兽人驯兽师,火卡绿色卡组,1,1,1,0,0,2,0
160,30003,11301301,灵俑护卫,雷卡绿色卡组,1,1,1,0,0,2,0
161,30003,11301401,灵俑英豪,雷卡绿色卡组,1,1,1,0,0,2,0
162,40003,11401301,自然之力,土卡绿色卡组,1,1,1,0,0,2,0
163,40003,11401401,绿盟武士,土卡绿色卡组,1,1,1,0,0,2,0
164,50001,11100101,天命骑士,首次掉落组,1,0,0,0,0,0,0
165,50001,11100201,水占巫女,首次掉落组,1,1,0,0,0,1,0
166,50001,11100301,天谴毒师,首次掉落组,1,0,0,0,0,0,0
167,50001,11100401,漫游灾星,首次掉落组,1,0,0,0,0,0,0
168,50001,11100501,不落之壁,首次掉落组,1,0,0,0,0,0,0
169,50001,11100601,贵族之刃,首次掉落组,1,0,0,0,0,0,0
170,50001,11100701,惩戒骑士,首次掉落组,1,0,0,0,0,0,0
171,50001,11100801,仙铃信使,首次掉落组,1,0,0,0,0,0,0
172,50001,11100901,绝影柔弓,首次掉落组,1,1,0,0,0,1,0
173,50001,11101001,奇想学徒,首次掉落组,1,0,0,0,0,0,0
174,50001,11101101,诸海之灾,首次掉落组,1,0,0,0,0,0,0
175,50001,11101202,北境之锤,首次掉落组,1,0,0,0,0,0,0
176,50001,11101302,剑咏吟游,首次掉落组,1,0,0,0,0,0,0
177,50001,11101402,狩魔鹰眼,首次掉落组,1,0,0,0,0,0,0
178,50001,11101502,魔导女爵,首次掉落组,1,0,0,0,0,0,0
179,50001,11200101,狂刃怒兽,首次掉落组,1,0,0,0,0,0,0
180,50001,11200201,熔炉铁皇,首次掉落组,1,0,0,0,0,0,0
181,50001,11200301,燎原暗箭,首次掉落组,1,0,0,0,0,0,0
182,50001,11200401,炎魂祭司,首次掉落组,1,0,0,0,0,0,0
183,50001,11200501,独行骑手,首次掉落组,1,1,0,0,0,1,0
184,50001,11200601,街头霸王,首次掉落组,1,0,0,0,0,0,0
185,50001,11200701,胜利之矛,首次掉落组,1,1,0,0,0,1,0
186,50001,11200801,圣焰王女,首次掉落组,1,0,0,0,0,0,0
187,50001,11200901,林中女巫,首次掉落组,1,1,0,0,0,1,0
188,50001,11201001,刀锋龙卷,首次掉落组,1,0,0,0,0,0,0
189,50001,11201102,黑寡妇,首次掉落组,1,0,0,0,0,0,0
190,50001,11201202,图腾之怒,首次掉落组,1,0,0,0,0,0,0
191,50001,11201302,符文猎手,首次掉落组,1,0,0,0,0,0,0
192,50001,11300101,不朽剑魔,首次掉落组,1,1,0,0,0,1,0
193,50001,11300201,猎魂巫妖,首次掉落组,1,1,0,0,0,1,0
194,50001,11300301,古代圣王,首次掉落组,1,0,0,0,0,0,0
195,50001,11300401,月之暗面,首次掉落组,1,1,0,0,0,1,0
196,50001,11300501,龙王之手,首次掉落组,1,1,0,0,0,1,0
197,50001,11300601,禁军射手,首次掉落组,1,1,0,0,0,1,0
198,50001,11300701,鬼面金刚,首次掉落组,1,0,0,0,0,0,0
199,50001,11300801,叛逆修罗,首次掉落组,1,0,0,0,0,0,0
200,50001,11300901,即身罗汉,首次掉落组,1,0,0,0,0,0,0
201,50001,11301002,裁决判官,首次掉落组,1,0,0,0,0,0,0
202,50001,11301102,瞬杀罗刹,首次掉落组,1,0,0,0,0,0,0
203,50001,11301202,崇邪外道,首次掉落组,1,0,0,0,0,0,0
204,50001,11400101,神愈之光,首次掉落组,1,0,0,0,0,0,0
205,50001,11400201,秘教刺客,首次掉落组,1,0,0,0,0,0,0
206,50001,11400301,野性猎手,首次掉落组,1,1,0,0,0,1,0
207,50001,11400401,魔城巫后,首次掉落组,1,1,0,0,0,1,0
208,50001,11400501,永恒之树,首次掉落组,1,1,0,0,0,1,0
209,50001,11400601,疾行神将,首次掉落组,1,0,0,0,0,0,0
210,50001,11400701,绝世剑舞,首次掉落组,1,0,0,0,0,0,0
211,50001,11400801,放浪狂战,首次掉落组,1,1,0,0,0,1,0
212,50001,11400901,缚法游人,首次掉落组,1,0,0,0,0,0,0
213,50001,11401002,贯天之箭,首次掉落组,1,0,0,0,0,0,0
214,50001,11401102,持戒护法,首次掉落组,1,0,0,0,0,0,0
215,50001,11401202,密林智者,首次掉落组,1,0,0,0,0,0,0
216,50001,11500101,降魔之剑,首次掉落组,1,0,0,0,0,0,0
217,50001,11500201,永劫双生,首次掉落组,1,0,0,0,0,0,0
218,50001,11500301,至尊伟力,首次掉落组,1,0,0,0,0,0,0
219,50001,11500401,焚烈圣炎,首次掉落组,1,0,0,0,0,0,0
220,50001,11600101,魔域斗罗,首次掉落组,1,0,0,0,0,0,0
221,50001,11600201,全视之眼,首次掉落组,1,0,0,0,0,0,0
222,50001,11600301,乱咒法皇,首次掉落组,1,0,0,0,0,0,0
223,3005,11100201,水占巫女,1轮真紫组,1,1,0,0,0,0,0
224,3005,11100601,贵族之刃,1轮真紫组,1,1,0,0,0,0,0
225,3006,11101302,魔导女爵,1轮假紫组,1,1,0,0,0,0,0
226,3006,11101502,凯旋之歌,1轮假紫组,1,1,0,0,0,0,0
227,3008,11100201,水占巫女,2轮真紫组,1,1,0,0,0,0,0
228,3008,11100601,贵族之刃,2轮真紫组,1,1,0,0,0,0,0
229,3008,11300401,暗域行者,2轮真紫组,1,1,0,0,0,0,0
230,3008,11300601,驱雷之手,2轮真紫组,1,1,0,0,0,0,0
231,3009,11101202,北境之锤,2轮假紫组,1,1,0,0,0,0,0
232,3009,11101302,剑咏吟游,2轮假紫组,1,1,0,0,0,0,0
233,3009,11101402,狩魔鹰眼,2轮假紫组,1,1,0,0,0,0,0
234,3009,11101502,魔导女爵,2轮假紫组,1,1,0,0,0,0,0
235,3010,11201102,黑寡妇,2轮假紫组,1,1,0,0,0,0,0
236,3010,11201202,图腾之怒,2轮假紫组,1,1,0,0,0,0,0
237,3010,11201302,符文猎手,2轮假紫组,1,1,0,0,0,0,0
238,3011,11100701,艾默瑞德,4轮真紫组,1,1,0,0,0,0,0
239,3011,11101101,赫萨米,4轮真紫组,1,1,0,0,0,0,0
240,3011,11200101,雷欧玛彻,4轮真紫组,1,1,0,0,0,0,0
241,3011,11200501,莱德奈特,4轮真紫组,1,1,0,0,0,0,0
242,3012,11200701,雅提亚,4轮真紫组,1,1,0,0,0,0,0
243,3012,11300101,萨瑟斯,4轮真紫组,1,1,0,0,0,0,0
244,3012,11300301,洛瑞克,4轮真紫组,1,1,0,0,0,0,0
245,3012,11300901,迪亚,4轮真紫组,1,1,0,0,0,0,0
246,3016,11400501,尤格恩塔,6轮真紫组,1,1,0,0,0,0,0
247,3016,11400601,止奥,6轮真紫组,1,1,0,0,0,0,0
248,3016,11400801,德里奥,6轮真紫组,1,1,0,0,0,0,0
249,3016,11300301,洛瑞克,6轮真紫组,1,1,0,0,0,0,0
250,3016,11300901,迪亚,6轮真紫组,1,1,0,0,0,0,0
251,3017,11301002,裁决判官,6轮假紫组,1,1,0,0,0,0,0
252,3017,11301102,瞬杀罗刹,6轮假紫组,1,1,0,0,0,0,0
253,3017,11301202,崇邪外道,6轮假紫组,1,1,0,0,0,0,0
254,3018,11401002,贯天之箭,6轮假紫组,1,1,0,0,0,0,0
255,3018,11401102,持戒护法,6轮假紫组,1,1,0,0,0,0,0
256,3018,11401202,密林智者,6轮假紫组,1,1,0,0,0,0,0
257,3019,11100701,惩戒骑士,7轮真紫组,1,1,0,0,0,0,0
258,3019,11100801,仙铃信使,7轮真紫组,1,1,0,0,0,0,0
259,3019,11100901,绝影柔弓,7轮真紫组,1,1,0,0,0,0,0
260,3019,11101001,奇想学徒,7轮真紫组,1,1,0,0,0,0,0
261,3020,11401002,贯天之箭,7轮假紫组,1,1,0,0,0,0,0
262,3020,11401102,持戒护法,7轮假紫组,1,1,0,0,0,0,0
263,3020,11401202,密林智者,7轮假紫组,1,1,0,0,0,0,0
264,3021,11400101,神愈之光,8轮真紫组,1,1,0,0,0,0,0
265,3022,11401202,密林智者,9轮假紫组,1,1,0,0,0,0,0
266,3024,11600101,魅惑魔女,10轮神魔组,1,1,0,0,0,0,0
267,3024,11500101,审判利刃,10轮神魔组,1,1,0,0,0,0,0
268,100001,11101601,秘境修士,绿色全卡组,1,1,0,0,0,0,0
269,100001,11101701,秘境护卫,绿色全卡组,1,1,0,0,0,0,0
270,100001,11201401,兽人战士,绿色全卡组,1,1,0,0,0,0,0
