id,type,group,txt,icon,levelmin,levelmax,weight,rotatetime
1,1,101,我的商品中有你英雄需要的装备，我已经为你标记出来了。,tubiao76_ui,0,0,0,0
2,1,101,[1]冒险通关 4-24[0]后，刷新商店将有机会出现更高级的货物,0,0,110424,0,0
3,1,101,[1]冒险通关 6-40[0]后，刷新商店将有机会出现更高级的货物,0,110424,110640,0,0
4,1,101,[1]冒险通关 9-11[0]后，刷新商店将有机会出现更高级的货物,0,110640,110911,0,0
5,1,101,[1]冒险通关 11-32[0]后，刷新商店将有机会出现更高级的货物,0,110911,111132,0,0
6,1,101,[1]冒险通关 13-31[0]后，刷新商店将有机会出现更高级的货物,0,111132,111331,0,0
7,1,101,[1]冒险通关 15-19[0]后，刷新商店将有机会出现更高级的货物,0,111331,111519,0,0
8,1,101,[1]冒险通关 19-19[0]后，刷新商店将有机会出现更高级的货物,0,111519,111919,0,0
9,1,101,[1]冒险通关 25-60[0]后，刷新商店将有机会出现更高级的货物,0,111919,112560,0,0
10,1,102,我的商品中有你英雄需要的装备，我已经为你标记出来了。,tubiao76_ui,0,0,0,0
11,1,102,[1]冒险通关 4-4[0]后，刷新商店将有机会出现更高级的货物,0,0,110424,0,0
12,1,102,[1]冒险通关 5-11[0]后，刷新商店将有机会出现更高级的货物,0,110424,110640,0,0
13,1,102,[1]冒险通关 6-40[0]后，刷新商店将有机会出现更高级的货物,0,110640,110911,0,0
14,1,102,[1]冒险通关 9-1[0]后，刷新商店将有机会出现更高级的货物,0,110911,111132,0,0
15,1,102,[1]冒险通关 10-21[0]后，刷新商店将有机会出现更高级的货物,0,111132,111331,0,0
16,1,102,[1]冒险通关 12-40[0]后，刷新商店将有机会出现更高级的货物,0,111331,111719,0,0
17,1,102,[1]冒险通关 20-60[0]后，刷新商店将有机会出现更高级的货物,0,111719,112060,0,0
18,1,102,[1]冒险通关 25-60[0]后，刷新商店将有机会出现更高级的货物,0,112060,112560,0,0
19,2,101,我们能通过法阵将经验共享给其他英雄,0,0,0,1000,0
20,2,101,继续提升我们的等级吧！,0,0,0,1000,0
21,2,101,等级最高的五名英雄将自动成为命运核心,0,0,0,1000,0
22,2,101,槽位中的最低等级将由我们中的最低等级来决定,0,0,0,1000,0
23,3,7001,虚空来客首位新英雄[1]星辰领主 - 阿特兰斯[0]神秘降临！,0,0,0,0,0
24,4,101,每天上线领取挂机收益，轻松不肝，一键收获！,0,0,0,1,30
25,4,101,如果遇到圣焰部落英雄，派遣怒涛联邦英雄就可以击溃他们！,0,0,0,1,30
26,4,101,神峰秘境英雄的克星就是圣焰部落英雄！,0,0,0,1,30
27,4,101,避免怒涛联邦英雄和雷鸣之城英雄正面交锋！,0,0,0,1,30
28,4,101,神峰秘境是对付雷鸣之城敌人的最好办法！,0,0,0,1,30
29,4,101,抽卡多多，英雄多多！,0,0,0,1,30
30,4,101,天哪！你又抽到精英卡了！,0,0,0,1,30
31,5,101,挂机解锁[8]普通品质装备[0],0,0,110204,0,0
32,5,102,挂机解锁[8]稀有品质装备[0],0,110204,110404,0,0
33,5,103,商店出售[8]稀有+品质装备[0],0,110404,110424,0,0
34,5,104,挂机解锁[8]稀有+品质装备[0],0,110424,110612,0,0
35,5,105,商店出售[8]精英品质装备[0],0,110612,110640,0,0
36,5,106,挂机解锁[8]精英品质装备[0],0,110640,110820,0,0
37,5,107,商店出售[8]精英+品质装备[0],0,110820,110911,0,0
38,5,108,挂机解锁[8]精英+品质装备[0],0,110911,111040,0,0
39,5,109,商店出售[8]史诗品质装备[0],0,111040,111132,0,0
40,5,110,挂机解锁[8]史诗品质装备[0],0,111132,111319,0,0
41,5,111,商店出售[8]史诗+品质装备[0],0,111319,111331,0,0
42,5,112,挂机解锁[8]神器碎片[0],0,111331,111340,0,0
43,5,113,挂机解锁[8]史诗+品质装备[0],0,111340,111440,0,0
44,5,114,杂货店出售[8]传说品质装备[0],0,111440,111519,0,0
45,5,115,挂机解锁[8]传说品质装备[0],0,111519,111640,0,0
46,5,116,军团商店出售[8]传说品质装备[0],0,111640,111719,0,0
47,5,117,挂机解锁[8]低级特殊宝石[0],0,111719,111740,0,0
48,5,118,挂机解锁[8]高级特殊宝石[0],0,111740,111840,0,0
49,5,119,杂货店出售[8]T1装备升阶材料[0],0,111840,111919,0,0
50,5,120,挂机解锁[8]种族特殊宝石[0],0,111919,111940,0,0
51,5,121,挂机解锁[8]T1装备升阶材料[0],0,111940,112060,0,0
52,5,122,挂机解锁[8]T2装备升阶材料[0],0,112060,112560,0,0
53,6,101,我是[8]蔚蓝虚空[0]商店的主人，我将在地牢刷新后离开，请抓紧时间购买我的货物吧！（[8]通过地牢普通关卡有几率激活蔚蓝虚空商店[0]）,0,0,0,0,0
54,7,101,我是[8]紫金虚空[0]商店的主人，我将在地牢刷新后离开，请抓紧时间购买我的货物吧！（[8]通过地牢精英关卡有几率激活紫金虚空商店[0]）,0,0,0,0,0
55,8,101,我是[8]璨金虚空[0]商店的主人，我将在地牢刷新后离开，请抓紧时间购买我的货物吧！（[8]通过地牢boss关卡有几率激活璨金虚空商店[0]）,0,0,0,0,0
